Name,CANONICAL_SMILES,CLASS
hep0001,COc1cc(-n2c(-c3ccc([N+](=O)[O-])cc3)cccc2=O)cc(OC)c1OC,1
hep0002,COc1cc(-n2c(-c3ccc4c(c3)OCO4)cccc2=O)cc(OC)c1OC,1
hep0003,COc1ccc(-c2cccc(=O)n2-c2cc(OC)c(OC)c(OC)c2)cc1,1
hep0004,COc1ccc(-c2cccc(=O)n2-c2cc(OC)c(OC)c(OC)c2)cc1O,1
hep0005,COc1ccc2c(c1)Cc1c(Nc3ccccc3)n[nH]c1-2,1
hep0006,CCCCCOC(=O)N1COC2C(C)OC(OC3CC(O)(C(=O)CO)C=C4C(=O)c5c(c(O)c6c(OC)cccc6c5O)C(=O)C43)CC21,1
hep0007,CCOC(=O)N1COC2C(C)OC(OC3CC(O)(C(=O)CO)C=C4C(=O)c5c(c(O)c6c(OC)cccc6c5O)C(=O)C43)CC21,1
hep0008,CCCCCCCCCC[n+]1ccc2c3ccccc3n(CCCc3ccccc3)c2c1,1
hep0009,C=C1CC(O)C(Br)C(C)(C)C12CCC(C)(Br)C(Cl)C2,1
hep0010,CC1(C)CC(Br)CC(C)(O)C12C=CC(=CBr)CC2,1
hep0011,C=C1CC(O)C(Br)C(C)(C)C12CCC(C)=C(Cl)C2,1
hep0012,CCOC(=O)c1sc(NNS(=O)(=O)c2ccc(C)cc2)nc1C,1
hep0013,Cc1ccc(S(=O)(=O)NNc2nc(C)cs2)cc1,1
hep0014,CC(=O)OC1CCC2(C)C(CCC3(C)C2CC=C2C4C(C)C(C)CCC4(C(=O)NCCNC(=O)C(N)Cc4ccccc4)CCC23C)C1(C)C,1
hep0015,C=C(C)C1CC(O)C2(C(=O)OC3OC(COC4OC(CO)C(OC5OC(C)C(O)C(O)C5O)C(O)C4O)C(O)C(O)C3O)CCC3(C)C(CC4OC(=O)CC(O)C5(C)C(C(=C)C)CCC3(C)C45)C12,1
hep0016,C=C(C)C1CCC2(C(=O)OC3OC(COC4OC(CO)C(OC5OC(C)C(O)C(O)C5O)C(O)C4O)C(O)C(O)C3O)CCC3(C)C(CC4OC(=O)CC(O)C5(C)C(C(=C)C)CCC3(C)C45)C12,1
hep0017,C=C(C)C1CC(O)C2(C(=O)O)CCC3(C)C(CC(O)C4C5(C)C(CC(=O)O)OC(C)(C)C5CCC43C)C12,1
hep0018,C=C(C)C1CC(O)C2(C(=O)O)CCC3(C)C(CC4OC(=O)CC(O)C5(C)C(C(=C)C)CCC3(C)C45)C12,1
hep0019,C=C(C)C1CC(O)C2(C(=O)OC3OC(CO)C(O)C(O)C3O)CCC3(C)C(CC4OC(=O)CC(O)C5(C)C(C(=C)C)CCC3(C)C45)C12,1
hep0020,C=C(C)C1CC(O)C2(C(=O)OC3OC(CO)C(O)C(O)C3O)CCC3(C)C(CCC4C5(C)C(CC(=O)O)OC(C)(C)C5CCC43C)C12,1
hep0021,C=C(C)C1CCC2(C(=O)OC3OC(COC4OC(CO)C(O)C(O)C4O)C(O)C(O)C3O)CCC3(C)C(CC4OC(=O)CC(O)C5(C)C(C(=C)C)CCC3(C)C45)C12,1
hep0022,C=C(C)C1CCC2(C(=O)OC3OC(CO)C(O)C(O)C3O)CCC3(C)C(CCC4C(C)(CCC(=O)O)C(C(=C)C)CCC43C)C12,1
