Name,SMILES,Property
ames0001,O=C1NC(=O)C(=N#N)C=N1,1
ames0002,Cc1cccc(c1C)N(=O)=O,1
ames0003,OC1C=Cc2c(ccc3c(Br)c4ccccc4cc23)C1O,1
ames0004,Cc1cc2c(nc(N)n2C)c3ncc(nc13)c4ccccc4,1
ames0005,Oc1cc2c3ccccc3ccc2c4ccccc14,1
ames0006,CC(=O)N(O)c1ccc(Oc2ccccc2)cc1,1
ames0007,CCNC(=O)Nc1ncc(s1)N(=O)=O,1
ames0008,Oc1ccc2c3ccc(O)c4C(=O)C=C[C@@](O)([C@@H]5[C@H]6O[C@H]6C(=O)c1c25)c34,1
ames0009,Fc1cnc2ccc3cccnc3c2c1,1
ames0010,OC(=O)C[C@H]([C@H](CC(=O)O)C(=O)O)C(=O)O,1
ames0011,CCCCOc1ccc(cc1)N=O,1
ames0012,CC1CC2C(Cc3c[nH]c4cccc2c34)N(C)C1,1
ames0013,CCCC(=O)\N=C\1/SN(C(=O)CCC)c2ccc(cc12)N(=O)=O,1
ames0014,C[C@@H]1C=Cc2c1ccc3c2ccc4ccccc34,1
ames0015,Cc1ccc(cc1)S(=O)(=O)NN,1
ames0016,O=N(=O)c1cccc2c1ccc3cccc(c23)N(=O)=O,1
ames0017,NC(CS\C(=C(/Cl)\C(Cl)(Cl)Cl)\Cl)C(=O)O,1
ames0018,O=C(ON(OCc1ccccc1)C(=O)c2ccccc2)c3ccc(cc3)N(=O)=O,1
ames0019,COc1cccc(N)c1,1
ames0020,Nc1ccc2c3ccccc3c4cccc1c24,1
ames0021,Nc1ccc(cc1C#N)N(=O)=O,1
ames0022,COC1=CC(=O)c2c([nH]cc3c4cnccc4nc23)C1=O,1
ames0023,ClCC1=C(Br)C(=O)OC1,1
ames0024,OS(=O)(=O)C1=CC(=O)C(=O)c2ccccc12,1
ames0025,CCN(=O)(CC)CCNc1ccc(CO)c2Sc3ccccc3C(=O)c12,1
ames0026,COC(=O)[C@]12O[C@@]1(C)[C@@](O)(NC2=O)C(C)C,1
ames0027,CN(Cc1cccc(C)c1)N=O,1
ames0028,CCN(CC)c1ccc(cc1)N(=O)=O,1
ames0029,Fc1ccc(cc1)\C(=C\C=C\c2ccccc2)\C#N,1
ames0030,Nc1ncnc2c1nc(c3ccc(cc3)N(=O)=O)n2c4ccc(cc4)N(=O)=O,1
ames0031,Cc1cccc(c1)C(=O)Cl,1
ames0032,O[C@@H]1C=Cc2c(cc3ccc4c(ccc5ccc2c3c45)N(=O)=O)[C@H]1O,1
ames0033,c1ccc2nccnc2c1,1
ames0034,CC(C)CCCC(C)C1CCC2C3C(OO)C=C4CC(O)CCC4(C)C3CCC12C,1
ames0035,Clc1ccc(cc1)C(Cl)(Cl)Cl,1
ames0036,OC1C2OC2c3c(ccc4ccccc34)C1O,1
ames0037,Cn1c(N)nc2c3cnccc3ccc12,1
ames0038,Nc1ccc(Sc2ccccc2)cc1,1
ames0039,FC(F)(F)C(=O)Nc1nc(cs1)c2oc(cc2)N(=O)=O,1
ames0040,O1[C@@H]2C=Cc3c(cc4ccc5cccc6ccc3c4c56)[C@H]12,1
ames0041,Oc1ccc2c(ccc3c4ccccc4c1c23)N(=O)=O,1
ames0042,CCCC[C@@H](CC)COC(=O)c1ccc(N(C)C)c(c1)N(=O)=O,1
ames0043,NC(CCC(=O)NC(CSC(=O)NCCCl)C(=O)NCC(=O)O)C(=O)O,1
ames0044,ClC(=C(Cl)\C(=C(/Cl)\SSc1ccccc1N(=O)=O)\Cl)Cl,1
ames0045,Nc1ccc2ccc3ccccc3c2c1,1
ames0046,OCN1[C@H](O)[C@@H](O)N(CO)C1=O,1
ames0047,Oc1ccc2c3ccccc3c4cc5ccccc5cc4c2c1,1
ames0048,O=N(=O)c1ccc2ccc3ccc(c4ccc1c2c34)N(=O)=O,1
ames0049,Nc1cccc2nc3ccccc3c(N)c12,1
ames0050,C[n+]1c2ccccc2nc3ccccc13,1
ames0051,CC(C)(N=O)N(=O)=O,1
ames0052,CCOP(=O)(OCC)[C@@H](C)NC(=O)N(CCCl)N=O,1
ames0053,OC(=O)c1ccc(\C=N\n2nnc3c4ccccc4nc3c2O)cc1,1
ames0054,Nc1cccc(c1)c2ccccc2,1
ames0055,O=N(=O)c1ccc2c(Cc3ccccc23)c1,1
ames0056,COc1cc2CCN(Cc2cc1OC)N=O,1
ames0057,Oc1cccc2Oc3c4[C@@H]5C=CO[C@H]5Oc4cc(O)c3C(=O)c12,1
ames0058,Cc1c(\C=N\OCc2cccc(c2)N(=O)=O)c3cc(ccc3n1Cc4ccccc4)N(=O)=O,1
ames0059,C[C@@H](O)[C@H](NC(=O)[C@H](C)[C@H](O)[C@H](C)NC(=O)[C@@H](NC(=O)c1nc(nc(N)c1C)[C@H](CC(=O)N)NC[C@H](N)C(=O)N)[C@@H](O[C@H]2O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]2O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](OC(=O)N)[C@H]3O)c4c[nH]cn4)C(=O)NCCc5nc(cs5)c6nc(cs6)C(=O)NCCCN[C@H](C)c7ccccc7,1
ames0060,CC(C)OS(=O)(=O)C,1
ames0061,O=C1c2ccc3ccccc3c2c4c1ccc5ccccc45,1
ames0062,Oc1c(Cl)cc(Cl)cc1S(=O)c2cc(Cl)cc(Cl)c2O,1
ames0063,O1[C@@H]2[C@H]1c3c4ccccc4cc5c6ccccc6cc2c35,1
ames0064,O=N(=O)c1cc2ccc3cc4ccccc4c5ccc(c1)c2c35,1
ames0065,CC1\C=C(\C=C)/C(=O)OC2CC[N+]3(C)CC=C(COC(=O)C1(C)OC(=O)C)C23O,1
ames0066,CCN(CC)c1ccc2nc3ccc(cc3[o+]c2c1)N(CC)CC,1
ames0067,COc1ccc(N(CCCl)CCCl)c2cc(oc12)N(=O)=O,1
ames0068,O=Cc1ccc(cc1N(=O)=O)N(=O)=O,1
ames0069,ClC(COCC(Cl)C(Cl)(Cl)Cl)C(Cl)(Cl)Cl,1
ames0070,CCN(CC)CCn1nc2c3ccc(Cl)cc3Sc4c(CO)ccc1c24,1
ames0071,CC(=O)OCc1c2cccc3ccc4cc5cccc6ccc1c(c56)c4c23,1
ames0072,OC1C=Cc2c(C1O)c3cc4ccccc4cc3c5ccccc25,1
ames0073,Nc1cccc(c1)N(=O)=O,1
ames0074,Cn1cnc2ccc(cc12)N(=O)=O,1
ames0075,O=N(=O)C1=Cc2c3c1cccc3cc4ccc5ccccc5c24,1
ames0076,Nc1ccc2nc3ccccc3c(N)c2c1,1
ames0077,O=N(=O)c1ccc2[nH]cnc2c1,1
ames0078,O=Cc1ccccc1N(=O)=O,1
ames0079,O=N(=O)c1cccc2c(cccc12)C#N,1
ames0080,C(C1CO1)c2ccc(cc2)c3ccccc3,1
ames0081,ClCCNCCCNc1c2ccccc2nc3c1ccc4cccnc34,1
ames0082,COc1cc(NS(=O)(=O)C)ccc1Nc2c3ccc(cc3nc4c(C)cccc24)N=N#N,1
ames0083,CC1(CO1)c2ccccc2,1
ames0084,C[N+](C)(C)CC1CO1,1
ames0085,O=C1Oc2c3CCCN4CCCc(cc2C=C1)c34,1
ames0086,ClCc1cc2c3ccccc3c4cccc(c1)c24,1
ames0087,Nc1ccc2cc(cc(O)c2c1N=Nc3ccc(cc3)c4ccc(cc4)N=Nc5c(N)ccc6cc(cc(O)c56)S(=O)(=O)O)S(=O)(=O)O,1
ames0088,CC[n+]1c(c2ccccc2)c3cc(N)ccc3c4ccc(N)cc14,1
ames0089,O=N(=O)c1cccc2cc(c3ccccc3c12)N(=O)=O,1
ames0090,OS(=O)(=O)Oc1ccc2ccc3cc4ccccc4c5ccc1c2c35,1
ames0091,Nc1ccc2snc(Cl)c2c1,1
ames0092,Cc1ccc(cc1)[N+]#N,1
ames0093,COc1cccc2C(=O)c3c(O)c4CC(O)(CC(O)c4c(O)c3C(=O)c12)C(=O)CO,1
ames0094,OC(=O)CI,1
ames0095,Nc1ccc(O)c2C(=O)c3c(N)ccc(O)c3C(=O)c12,1
ames0096,CC(=O)ON(C(=O)C)c1ccc(Sc2ccccc2)cc1,1
ames0097,ClC(=C(Cl)SSc1ccccc1N(=O)=O)Cl,1
ames0098,BrCCCCBr,1
ames0099,CCC12OC1O2,1
ames0100,Cc1c(c2ccccc2c3ccc4ccccc4c13)N(=O)=O,1
ames0101,CCc1cccc(CC)c1N=O,1
ames0102,CCCCCCCCCC(=O)\N=C\1/SN(C(=O)CCCCCCCCC)c2ccc(cc12)N(=O)=O,1
ames0103,NC(CCC(=O)NC(CS)C(=O)NCC(=O)O)C(=O)O,1
ames0104,O1[C@H]2C=Cc3cccnc3[C@@H]12,1
ames0105,COc1cc(OC)c2nc3occc3c(OC)c2c1,1
ames0106,Cc1ccc2[nH]c3c(C)ccc(C)c3c2c1,1
ames0107,CC(N)(CN=N#N)C(=O)O,1
ames0108,O1[C@@H]2C=CC=C[C@H]12,1
ames0109,ClC1=C(COC1=O)C(Br)Br,1
ames0110,CCCC\C=C\C=C\C=C\C=C\C=C\OCC(O)CO,1
ames0111,Cc1cc2ccccc2c3cc(c4ccccc4c13)N(=O)=O,1
ames0112,COc1cccc(CN2C3C2c4ccccc4c5ccccc35)c1,1
ames0113,C\C=C/C=C\C=O,1
ames0114,CC(=O)O[C@@H]1Cc2c3ccc4ccccc4c3cc5ccc(C)c1c25,1
ames0115,CC(=O)OCc1cc(ccc1OC(=O)C)C(=O)C,1
ames0116,NC(=O)N(CCC(=O)O)N=O,1
ames0117,Nc1ccc(\C=C\c2ccc(cc2)C#N)cc1,1
ames0118,CN1CC(O)c2cc3OCOc3c4c5ccccc5CC1c24,1
ames0119,CCCCON(OC(=O)C)C(=O)c1ccc(C)cc1,1
ames0120,Cc1cccn2c1nc3ccc(NO)nc23,1
ames0121,Nc1ccc2c3cccc4cccc(c2c1)c34,1
ames0122,c1cnc2c(c1)ccc3c2ccc4cccnc34,1
