Name,SMILES,Property
BBB001,COc1ccc(cc1)C2Sc3ccccc3N(CCN(C)C)C(=O)C2OC(=O)C,1
BBB002,CC(C(=O)O)c1ccc(c(F)c1)c2ccccc2,1
BBB003,CC(C)(C)c1nc(cc(n1)C(F)(F)F)N2CCN(CCCSC3=NC=CC(=O)N3)CC2,1
BBB004,CC1=C(CCN2CCC(=C(c3ccc(F)cc3)c4ccc(F)cc4)CC2)C(=O)N5C=CSC5=N1,1
BBB005,Clc1cccc(c1)N2CCN(CCCN3N=C4C=CC=CN4C3=O)CC2,1
BBB006,C=C,1
BBB007,CC(C)Oc1cc2sc(C)nc2cc1CNC3CCCNC3c4ccccc4,1
BBB008,Brc1cccc(Br)c1N=C2NCCN2,1
BBB009,COc1ccc(cc1CNC2CCCNC2c3ccccc3)c4nccs4,1
BBB010,COc1ccccc1CNC2C3CCN(CC3)C2C(c4ccccc4)c5ccccc5,1
BBB011,O=C1C=CC(=NN1CCN2CCCCC2)c3c(nn4ccccc34)c5ccccc5,1
BBB012,Clc1ccc2Oc3ccccc3C4CNCC4c2c1,1
BBB013,OC12CNCC1c3ccccc3Oc4ccc(Cl)cc24,1
BBB014,COc1cc(CNC2CCCNC2c3ccccc3)c4OCCc4c1,1
BBB015,CC(Cl)(Cl)Cl,1
BBB016,Clc1cc(Br)cc(Cl)c1N=C2NCCN2,1
BBB017,CC(C)Oc1ccc(OC(F)(F)F)cc1CNC2CCCNC2c3ccccc3,1
BBB018,COc1ccc(cc1CNC2C3CCN(CC3)C2C(c4ccccc4)c5ccccc5)C(C)(C)C,1
BBB019,CSc1ccc2Sc3ccccc3N(CCC4CCCCN4C)c2c1,1
BBB020,CN1C(=O)C(O)N=C(c2ccccc2Cl)c3cc(Cl)ccc13,1
BBB021,Clc1cc(Cl)c(N=C2NCCN2)c(Cl)c1,1
BBB022,Nc1nnc(c(N)n1)c2cccc(Cl)c2Cl,1
BBB023,COc1ccc(cc1CNC2C3CCN(CC3)C2C(c4ccccc4)c5ccccc5)C(C)C,1
BBB024,COc1cc2sc(C)nc2cc1CNC3CCCNC3c4ccccc4,1
BBB025,COc1cc2oc(C)nc2cc1CNC3CCCNC3c4ccccc4,1
BBB026,CN(C)c1ccccc1Sc2ccc(CCF)cc2N,1
BBB027,OC(CNCC(O)C1CCc2cc(F)ccc2O1)C3CCc4cc(F)ccc4O3,1
BBB028,Brc1cc(Br)c(N=C2NCCN2)c(Br)c1,1
BBB029,CN(C1CCN(CC(O)COc2ccc(F)c(F)c2)CC1)c3nc4ccccc4s3,1
BBB030,Clc1ccc2Oc3ccccc3N=C(N4CCNCC4)c2c1,1
BBB031,CCC12CCN(CC3(O)CC3)C(Cc4ccc(O)cc14)C2(C)C,1
BBB032,CCOC(=O)C1(CCN(C)CC1)c2ccccc2,1
BBB033,Oc1ccc2CC3N(CC4CC4)CCC56C(Oc1c25)c7[nH]c8ccccc8c7CC36O,1
BBB034,COc1ccc2nccc(C(O)C3CC4CCN3CC4C=C)c2c1,1
BBB035,CN(C1CCC2(CCCO2)CC1N3CCCC3)C(=O)Cc4ccccc4,1
BBB036,COc1ccc(cc1)C(CN(C)C)C2(O)CCCCC2,1
BBB037,COc1cc2sc(nc2cc1CNC3CCCNC3c4ccccc4)C5CC5,1
BBB038,COc1ccc(OC(F)(F)F)cc1CNC2CCCNC2c3ccccc3,1
BBB039,CCC(C)Nc1ccc(I)c(NC(C)CC)c1,1
BBB040,CNCCC(Oc1ccccc1C)c2ccccc2,1
BBB041,CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24,1
BBB042,CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC(O)CC(O)CC(=O)O)C12,1
BBB043,OCCN1CCN(CCCN2c3ccccc3Sc4ccc(Cl)cc24)CC1,1
BBB044,OCCOCCN1CCN(CC1)C2=Nc3ccccc3Sc4ccccc24,1
BBB045,COc1cccc(CC2CCN(CC2)C3CCC(CC3)(OC)c4ccc5OCOc5c4)c1,1
BBB046,CSc1ccc2Sc3ccccc3N(CCC4CCCCN4)c2c1,1
BBB047,CN1CCN(CC1)C2=Nc3ccccc3Nc4sc(C)cc24,1
BBB048,CN(C1CCN(CC(O)COc2ccc(F)cc2)CC1)c3nc4ccccc4s3,1
BBB049,CN1CCN(CC1)C2=Nc3ccccc3Oc4ccc(Cl)cc24,1
BBB050,CCCN1CC(C)N(CC1C)C(c2ccc(cc2)C(=O)N(CC)CC)c3cccc(OC)c3,1
BBB051,COc1cc2sc(nc2cc1CNC3CCCNC3c4ccccc4)C(C)(C)C,1
BBB052,COc1ccccc1CNC2CCCNC2c3ccccc3,1
BBB053,FC(F)Oc1ccc(OC(F)(F)F)cc1CNC2CCCNC2c3ccccc3,1
BBB054,COc1ccc(cc1CNC2C3CCN(CC3)C2C(c4ccccc4)c5ccccc5)C(C)(C)O,1
BBB055,CCC(=O)C(C(C)N(C)C)(c1ccccc1)c2ccccc2,1
BBB056,COc1ccc(cc1CNC2CCCNC2c3ccccc3)C(C)C,1
BBB057,CC(C)(C)c1ccc(OC(F)(F)F)c(CNC2CCCNC2c3ccccc3)c1,1
BBB058,COc1ccc(cc1CNC2CCCNC2c3ccccc3)C(C)(C)C,1
BBB059,CN(C)CCC=C1c2ccccc2COc3ccccc13,1
BBB060,CC12NC(Cc3ccccc13)c4ccccc24,1
BBB061,CCc1cccc(NC(=Nc2cccc(CC)c2)C)c1,1
BBB062,CN(C)COC(c1ccccc1)c2ccccc2,1
BBB063,COc1cc2sc(nc2cc1CNC3CCCNC3c4ccccc4)c5ccccc5,1
BBB064,CNCCCC12CCC(c3ccccc13)c4ccccc24,1
BBB065,CCC(C)N1CCN(CC1)c2ccc(I)cc2,1
BBB066,CC(C)CN1CCN(CC1)c2ccc(I)cc2,1
BBB067,CC1CCN(CCCN2c3ccccc3Sc4ccc(cc24)C(F)(F)F)CC1,1
BBB068,CCCCN1CC2Cc3cc(OC)c(OC)cc3C2C1,1
BBB069,CC(C)NCC(O)COc1cccc(C)c1,1
BBB070,Clc1ccc2NC(=O)CC(=O)N(c3ccccc3)c2c1,1
BBB071,FC(F)(F)CC(Cl)Br,1
BBB072,COC(C)(C)C,1
BBB073,OC1N=C(c2ccccc2Cl)c3cc(Cl)ccc3NC1=O,1
BBB074,CSc1ccc2Sc3ccccc3N(CCC4CCCNC4)c2c1,1
BBB075,CN1CCN(CC1)C2=C3C=C(C)SC3=Nc4ccccc4N2,1
BBB076,CC[CH][C]([CH2])CC,1
BBB077,CCC(=C(c1ccccc1)c2ccc(OCCN(C)C)cc2)c3ccccc3,1
BBB078,CN(C)CCOC(c1ccccc1)c2ccccc2,1
BBB079,CCCN1CC(CSC)CC2C1Cc3c[nH]c4cccc2c34,1
BBB080,CCC(NC(=O)c1c(C)c(nc2ccccc12)c3ccccc3)c4ccccc4,1
BBB081,FCOC(C(F)(F)F)C(F)(F)F,1
BBB082,COc1ccc2CN(C)CCC34C=CC(O)CC3Oc1c24,1
BBB083,C1CNC(C1)c2cccnc2,1
BBB084,ClCC(Cl)(Cl)Cl,1
BBB085,CCN(CC)CC(=O)Nc1c(C)cccc1C,1
BBB086,ClC=C(Cl)Cl,1
BBB087,CN1CCCC1c2cccnc2,1
BBB088,CN1C(=O)CC(=O)N(c2ccccc2)c3cc(Cl)ccc13,1
BBB089,FC(F)(F)C(Cl)Br,1
BBB090,CNCCC(Oc1ccc(cc1)C(F)(F)F)c2ccccc2,1
BBB091,CCCCCCC1(CC)C(=O)NC(=O)NC1=O,1
BBB092,Cc1ncc2CN=C(c3ccccc3F)c4cc(Cl)ccc4n12,1
BBB093,FS(F)(F)(F)(F)F,1
BBB094,c1ccccc1,1
BBB095,ClC(=C(Cl)Cl)Cl,1
BBB096,Cc1ccccc1,1
BBB097,CC(C)(C)NCC(O)COc1ccccc1C#N,1
BBB098,Cc1ccc(C)cc1,1
BBB099,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,1
BBB100,OCCOCCN1CCN(CC1)C(c2ccccc2)c3ccc(Cl)cc3,1
BBB101,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,1
BBB102,CC(C)OC(=O)C,1
BBB103,CC1CC2=C(CCC(=O)C2)C3CCC4(C)C(CCC4(O)C#C)C13,1
BBB104,Cc1ccccc1C,1
BBB105,CCCCOC(=O)c1ccc(N)cc1,1
BBB106,FC(F)OC(Cl)C(F)(F)F,1
BBB107,CC(C)(C)c1ccccc1,1
BBB108,C(CNc1nccs1)COc2cccc(CN3CCCCC3)c2,1
BBB109,CC(C)COC(=O)C,1
