Name,SMILES,Property
CYP2C9_0001,C\C(=C(\C#N)/C(=O)Nc1cc(Br)ccc1Br)\O,1
CYP2C9_0002,CC(=O)C[C@@H](C1=C(O)c2ccccc2OC1=O)c3ccc(cc3)[N+](=O)[O-],1
CYP2C9_0003,CCOC(=O)C1=C(O)C(=O)N(Cc2ccccc2)C1,1
CYP2C9_0004,OC1=C([C@H](CC(=O)c2ccccc2)c3ccccc3)C(=O)Oc4ccccc14,1
CYP2C9_0005,CC(C)c1ccc(cc1)C(C2=C(O)c3ccccc3OC2=O)C4=C(O)c5ccccc5OC4=O,1
CYP2C9_0006,CN1C(=C(O)c2ccccc2S1(=O)=O)C(=O)Nc3ccccn3,1
CYP2C9_0007,OC1=C(CC2=C(O)c3ccccc3OC2=O)C(=O)Oc4ccccc14,1
CYP2C9_0008,CC(C)n1c(\C=C/[C@@H](O)C[C@@H](O)CC(=O)O)c(c2ccc(F)cc2)c3ccccc13,1
CYP2C9_0009,CCCCCN(CCCCC)C(=O)[C@H](CCC(=O)O)NC(=O)c1ccc(Cl)c(Cl)c1,1
CYP2C9_0010,Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl,1
CYP2C9_0011,OCC1OC(C=CC1Oc2ccc(C=O)cc2)C#Cc3ccccc3,1
CYP2C9_0012,CCOC(=O)OCC1OC(C=CC1Oc2cccc(c2)N(C)C)C#Cc3ccccc3,1
CYP2C9_0013,Cc1cc(F)ccc1OC2C=CC(OC2CO)c3ccc4OCOc4c3,1
CYP2C9_0014,COc1ccc(OC2C(O)COC2\C=C\C#Cc3ccc(F)cc3F)cc1,1
CYP2C9_0015,CCOC(=O)OCC1OC([C@H](C=C1)c2cc(ccc2O)c3ccccc3)c4ccc(cc4)C(=O)C,1
CYP2C9_0016,CC(=O)c1ccc(cc1)C2OC(CO)C(Oc3ccc(cc3)c4ccccc4)C=C2,1
CYP2C9_0017,CC(=O)OCC1OC(C=CC1OC(=O)C)C#Cc2ccc(F)cc2F,1
CYP2C9_0018,COc1ccc(OC2C=CC(OC2CO)C#Cc3ccc(Br)cc3)c(c1)C(C)(C)C,1
CYP2C9_0019,N#CCCN(CC#Cc1ccccc1)OCc2ccccc2,1
CYP2C9_0020,COC(=O)NC(c1cccc(C)c1)[C@@]2(CCOC2=O)C(=O)C,1
CYP2C9_0021,CC12CC(C)(C(CC1=O)c3ccc(Br)cc3)C(=C2)\C=C\c4ccc(Br)cc4,1
CYP2C9_0022,CC(O)CCCCCCC\C=C\C=C\C(=O)N\C=C\C(=O)OCC=C,1
CYP2C9_0023,COC(=O)NC(\C(=C(/C)\NCc1ccccc1)\C(=O)OC)c2ccc(F)cc2,1
CYP2C9_0024,COc1ccc(\C=C\N(CCc2ccc(OC)c(OC)c2)C(=O)C)cc1,1
CYP2C9_0025,CC(=C)C(O)\C=C\c1ccc(Br)cc1,1
