Name,SMILES,Property
CYP2D6_0001,OC1=C(C(=O)C2CC2)C(=O)Nc3cc(Cl)ccc13,1
CYP2D6_0002,C[N+](C)(CCCOc1ccccc1)c2ccccc2,1
CYP2D6_0003,OC1=C(C(=O)Nc2cc(Cl)ccc12)c3cccc(Oc4ccccc4)c3,1
CYP2D6_0004,CCCN1CCO[C@H]2[C@@H]1COc3ccc(O)cc23,1
CYP2D6_0005,OCC1OC(C=CC1Oc2cc(Cl)cc(Cl)c2)c3ccc4OCOc4c3,1
CYP2D6_0006,OCC1OC(\C=C/c2ccccc2)C=CC1Oc3ccc4OCOc4c3,1
CYP2D6_0007,COc1ccc(cc1)C#CC2OC(CO)C(Oc3cc(C)cc(C)c3)C=C2,1
CYP2D6_0008,CC(=O)OCC1OC(C=CC1OC(=O)C)C#Cc2ccc(C)cc2C,1
CYP2D6_0009,COC(=O)NC(\C(=C(/C)\NCc1ccccc1)\C(=O)OC)c2ccc3ccccc3c2,1
CYP2D6_0010,CCCCCCCC1=CC2=CC(=O)C(C)(O)C(=O)C2=CN1CCCC,1
CYP2D6_0011,COC(=O)NC(\C(=C(/C)\NCc1ccccc1)\C(=O)OC)c2ccc(F)cc2,1
CYP2D6_0012,CC1CCC2N([C@@H]1c3ccccc3Br)C(=O)C4CCC(C)C(N4C2=O)c5ccccc5Br,1
CYP2D6_0013,CC(=O)OCC1OC(C=CC1OC(=O)C)C#CCCCc2ccccc2,1
CYP2D6_0014,CC(=O)OC[C@@H]1O[C@@H](O\N=C/2\C[C@@H](O)[C@@H](O)[C@H]3[C@@H]2CC[C@H]4[C@H]3C(=O)N(C5CCCCC5)C4=O)[C@H](OC(=O)C)[C@H](OC(=O)C)[C@@H]1OC(=O)C,1
CYP2D6_0015,CC(C)(C)N1C(=O)[C@H]2CC[C@@H]3[C@H]([C@H](O)[C@H](O)C/C/3=N/OCCCC#C)[C@@H]2C1=O,1
CYP2D6_0016,CCOC(=O)CCN1C(=O)[C@H]2CC[C@@H]3[C@H]([C@H](O)[C@H](O)C/C/3=N/O[C@@H]4O[C@@H](COC(=O)C)[C@@H](OC(=O)C)[C@@H](OC(=O)C)[C@H]4OC(=O)C)[C@@H]2C1=O,1
CYP2D6_0017,CCOC(=O)CCN1C(=O)[C@H]2CC[C@H]3[C@H]([C@H](O)[C@H](O)C/C/3=N/O[C@@H]4O[C@@H](COC(=O)C)[C@@H](OC(=O)C)[C@@H](OC(=O)C)[C@H]4OC(=O)C)[C@@H]2C1=O,1
CYP2D6_0018,O[C@@H]1C\C(=N\OCCCC#C)\[C@@H]2CC[C@H]3[C@H]([C@H]2[C@@H]1O)C(=O)N(C3=O)c4cccc(Oc5ccccc5)c4,1
CYP2D6_0019,CC(=O)OC[C@@H]1O[C@@H](O\N=C/2\C[C@@H](O)[C@@H](O)[C@H]3[C@@H]2CC[C@H]4[C@H]3C(=O)N(Cc5ccc6OCOc6c5)C4=O)[C@H](OC(=O)C)[C@H](OC(=O)C)[C@@H]1OC(=O)C,1
CYP2D6_0020,CC(=O)OC[C@@H]1O[C@@H](O\N=C/2\C[C@@H](O)[C@@H](O)[C@H]3[C@H]2CC[C@H]4[C@H]3C(=O)N(Cc5ccccc5)C4=O)[C@H](OC(=O)C)[C@H](OC(=O)C)[C@@H]1OC(=O)C,1
CYP2D6_0021,CC(=O)OC[C@@H]1O[C@@H](O\N=C/2\C[C@@H](O)[C@@H](O)[C@H]3[C@@H]2CC[C@@H]4[C@@H]3C(=O)N(C4=O)c5ccc(F)cc5F)[C@H](OC(=O)C)[C@H](OC(=O)C)[C@@H]1OC(=O)C,1
CYP2D6_0022,CC(=O)OC[C@@H]1O[C@@H](O\N=C/2\C[C@@H](O)[C@@H](O)[C@H]3[C@@H]2CC[C@H]4[C@H]3C(=O)N(Cc5ccccc5)C4=O)[C@H](OC(=O)C)[C@H](OC(=O)C)[C@@H]1OC(=O)C,1
CYP2D6_0023,COCOc1cc(OC)ccc1C(=O)\C=C/c2ccc3OCOc3c2,1
CYP2D6_0024,Nc1ccccc1C(=O)\C=C/c2ccc3OCOc3c2,1
CYP2D6_0025,Fc1ccc(cc1)C(=O)\C=C/c2ccc3OCOc3c2,1
CYP2D6_0026,COCOc1ccc(Br)cc1C(=O)\C=C/c2ccc3OCOc3c2,1
CYP2D6_0027,COc1cc(O)c(C(=O)\C=C/c2ccc3OCOc3c2)c(OC)c1,1
CYP2D6_0028,Brc1ccc(cc1)c2ccc3N(CCCc3n2)C(=O)NCCC[N+]4=CC=N[C@H]4c5ccccc5,1
CYP2D6_0029,CO[C@H](\C=N/OCC[C@H]1O[C@@H](COC(=O)C)[C@@H](OC(=O)C)C=C1)[C@H](C)\C=C/CC(=O)OC,1
CYP2D6_0030,CC(=O)OC[C@H]1O[C@@H](O\N=C(/C)\CCN2CCc3nc(c4ccccc4)c(cc3C2)c5ccccc5)[C@H](OC(=O)C)[C@@H](OC(=O)C)[C@H]1OC(=O)C,1
CYP2D6_0031,CCc1cc2CN(CC\C(=N\O[C@@H]3O[C@H](COC(=O)C)[C@H](OC(=O)C)[C@H](OC(=O)C)[C@H]3OC(=O)C)\C)CCc2nc1CC,1
