Name,SMILES,Property
CYP3A4_00001,COc1ccc(cc1)C2=C(O)c3c(OC2=O)cc4OC(C)(C)C=Cc4c3OC,1
CYP3A4_00002,CO[C@@H]1C[C@H](O[C@H]2[C@@H](C)[C@H](O[C@@H]3O[C@@H](C)C[C@H]([C@@H]3OC(=O)C)N(C)C)[C@H](C)C[C@]4(CO4)C(=O)[C@H](C)[C@H](OC(=O)C)[C@H](C)[C@H](C)OC(=O)[C@@H]2C)O[C@H](C)[C@@H]1OC(=O)C,1
CYP3A4_00003,CC[C@@H]([C@H]1O[C@@](CC)(C[C@H]1C)[C@@H]2CC[C@@](O)(CC)[C@H](C)O2)C(=O)[C@H](C)[C@H](O)[C@H](C)CCc3ccc(C)c(O)c3C(=O)O,1
CYP3A4_00004,Cc1c2C(=O)C(=O)c3c4CCCC(C)(C)c4ccc3c2oc1S(=O)(=O)O,1
CYP3A4_00005,CCCC(C)C1(CC)C(=O)NC(=NC1=O)S,1
CYP3A4_00006,CN1C[C@H](C=C2[C@@H]1Cc3c[nH]c4cccc2c34)C(=O)N[C@@]5(C)O[C@]6(O)C7CCCN7C(=O)[C@@H](Cc8ccccc8)N6C5=O,1
CYP3A4_00007,CC(C)[C@]1(NC(=O)[C@H]2CN(C)[C@@H]3Cc4c[nH]c5cccc(C3=C2)c45)O[C@@]6(O)C7CCCN7C(=O)[C@H](Cc8ccccc8)N6C1=O,1
CYP3A4_00008,CC(C)C1N2C(=O)[C@@](NC(=O)[C@H]3CN(C)[C@@H]4Cc5c[nH]c6cccc(C4=C3)c56)(O[C@@]2(O)C7CCCN7C1=O)C(C)C,1
CYP3A4_00009,CC(=O)OC1CCC2(C)C3CCC4(C)C(CC5CCCCC45C(=O)C)C3CC(=O)[C@@]2(O)C1,1
CYP3A4_00010,C[C@]12CCCC(=C)[C@@H]1CC3C(C2)OC(=O)C3=C,1
CYP3A4_00011,COCC\N=C\1/OC(=O)N2C(=O)C3=C4C(C[C@@H]5[C@H]([C@H]4[C@@]12Cc6ccccc6)C(=O)N(C5=O)c7ccccc7)[C@@H]8[C@H]([C@H]3C)C(=O)N(C8=O)c9ccccc9,1
CYP3A4_00012,C[C@@H]1[C@H]2[C@@H](C3C[C@@H]4[C@H]([C@@H]5C3=C1C(=O)N6C(=O)O\C(=N/CCc7c[nH]c8ccccc78)\[C@]56Cc9ccccc9)C(=O)N(C4=O)c%10ccccc%10)C(=O)N(C2=O)c%11ccccc%11,1
CYP3A4_00013,Cc1c(sc2nc3ccc(N)cc3n12)C(=O)NC4CCCCC4,1
CYP3A4_00014,Nc1nc(c2ccc(Cl)c(Cl)c2)c(s1)c3ccncc3,1
CYP3A4_00015,C(c1ccncc1)c2cnc[nH]2,1
CYP3A4_00016,Cc1c2ccccc2c(CSC(=N)N)c3ccccc13,1
CYP3A4_00017,CC(C)c1ccc2c(CC[C@H]3[C@](C)(CN)CCC[C@]23C)c1,1
CYP3A4_00018,COc1cccc(CCc2ccccc2OCC[C@@H]3C[C@@H](O)CN3C)c1,1
CYP3A4_00019,CC(C)(C)c1cc(\C=C(\C#N)/[N+]#[C-])cc(c1O)C(C)(C)C,1
CYP3A4_00020,OCC1OC(C=CC1Oc2cc(Cl)cc(Cl)c2)c3ccc4OCOc4c3,1
CYP3A4_00021,OCC1OC(\C=C/c2ccccc2)C=CC1Oc3ccc4OCOc4c3,1
CYP3A4_00022,Cc1cc(F)ccc1OC2C=CC(CC=C)OC2CO,1
CYP3A4_00023,CC(=O)c1ccc(cc1)C2OC(CO)C(Oc3ccc(F)cc3C)C=C2,1
CYP3A4_00024,CCOC(=O)OCC1OC(C=CC1Oc2cccc(c2)N(C)C)C#Cc3ccccc3,1
CYP3A4_00025,CC(=O)c1ccc(OC2C=CC(OC2CO)C#Cc3ccc(Br)cc3)cc1,1
CYP3A4_00026,COc1ccc(cc1)C#CC2OC(CO)C(Oc3cc(C)cc(C)c3)C=C2,1
CYP3A4_00027,Cc1cc(F)ccc1OC2C=CC(OC2CO)c3ccc4OCOc4c3,1
CYP3A4_00028,CCCCC#CC1OC(CO)C(Oc2ccc(OC)cc2)C=C1,1
CYP3A4_00029,COc1ccc(OC2C(O)COC2\C=C\C#Cc3ccc(F)cc3F)cc1,1
CYP3A4_00030,CC(C)(C)c1ccc(OC2C(O)COC2\C=C\C#Cc3ccccc3)cc1,1
CYP3A4_00031,Cc1cc(C)cc(\C=C\C2OCC(O)C2Oc3ccc(cc3)C4CCCC4)c1,1
CYP3A4_00032,CCOC(=O)OCC1OC([C@H](C=C1)c2cc(ccc2O)c3ccccc3)c4ccc(cc4)C(=O)C,1
CYP3A4_00033,Cc1cc(C)cc(c1)C#CC2OC(CO)C(Oc3ccc(cc3)C4CCCC4)C=C2,1
CYP3A4_00034,COc1ccc(OC2C=CC(OC2CO)C#Cc3ccc(F)cc3F)cc1,1
CYP3A4_00035,CC(C)(C)c1ccc(OC2C=CC(OC2CO)C#Cc3ccccc3)cc1,1
CYP3A4_00036,CCOC(=O)OCC1OC(C=CC1OC(=O)OCC)c2cc(C)cc(C)c2,1
CYP3A4_00037,CCOC(=O)OCC1OC(C=CC1OC(=O)OCC)C#Cc2ccc(F)cc2F,1
CYP3A4_00038,CC(=O)OCC1OC(C=CC1OC(=O)C)c2cc(C)cc(C)c2,1
CYP3A4_00039,CC(=O)OCC1OC(C=CC1OC(=O)C)C#Cc2ccc(F)cc2F,1
CYP3A4_00040,CC(=O)OCC1OC(C=CC1OC(=O)C)C#Cc2ccc(C)cc2C,1
CYP3A4_00041,COc1ccc(OC2C=CC(OC2CO)C#Cc3ccc(Br)cc3)c(c1)C(C)(C)C,1
CYP3A4_00042,CCOC(=O)OCC1OC(CCc2ccccc2)CCC1Oc3ccc(OC)cc3,1
CYP3A4_00043,CN(C)c1cccc(OC2C=CC(OC2CO)C#Cc3ccccc3)c1,1
CYP3A4_00044,CCOC(=O)OCC1OC(C=CC1OC(=O)OCC)C#Cc2ccccc2,1
CYP3A4_00045,N#CCCN(CC#Cc1ccccc1)OCc2ccccc2,1
CYP3A4_00046,COCOC(C(CC(C)Cc1cc(Br)cc(OCc2ccccc2)c1OC)OC)C(C)C#CC,1
CYP3A4_00047,C\C=C\OC(=O)NC(c1ccccc1)[C@@]2(CCOC2=O)C(=O)C,1
CYP3A4_00048,COC(=O)C(C(NC(=O)NCc1ccccc1)c2ccccc2)C(=O)C,1
CYP3A4_00049,CCOC(=O)[C@@]1(CCCC1=O)C(NC(=O)O\C=C\C)c2ccccc2,1
CYP3A4_00050,COC(=O)NC(c1cccc(C)c1)[C@@]2(CCOC2=O)C(=O)C,1
CYP3A4_00051,COC(=O)NC(C(C(=O)C)C(=O)OCC=C)c1cccc(F)c1,1
CYP3A4_00052,COc1ccc(\C=C\C(O)C(=C)C)cc1,1
CYP3A4_00053,CCCCCCC#Cc1cc(OC)c(OC)cc1C(N2CC(C)c3ccccc23)N4CC(C)c5ccccc45,1
CYP3A4_00054,COC(=O)C(CC#C)(C(C[N+](=O)[O-])c1ccccc1)C(=O)OC,1
CYP3A4_00055,CC12CC(C)(C(CC1=O)c3ccc(Br)cc3)C(=C2)\C=C\c4ccc(Br)cc4,1
CYP3A4_00056,COC(CC\C=C(/C)\C(=O)N)C(OCc1ccc(OC)cc1)\C(=C/CCCC=C)\C,1
CYP3A4_00057,COC(=O)NC(C(C(=O)C)C(=O)OCC=C)c1cccc(C)c1,1
CYP3A4_00058,COC(=O)NC(C(C(=O)C)C(=O)OCC=C)c1ccc(F)cc1,1
CYP3A4_00059,Cc1ccc(\C=C\C2=CC3(C)CC2(C)C(CC3=O)c4ccc(C)cc4)cc1,1
CYP3A4_00060,CC(O)CCCCCCC\C=C\C=C\C(=O)N\C=C\C(=O)OCC=C,1
CYP3A4_00061,COC(=O)NC(C(C(=O)C)C(=O)OCC=C)c1ccc(Cl)cc1,1
CYP3A4_00062,CCCCCCC(=O)Cc1cc(OC)c(OC)cc1\C=C(\C(=O)C)/C(=O)OC,1
CYP3A4_00063,COc1ccc(\C=C\N(CCc2ccc(OC)c(OC)c2)C(=O)c3ccccn3)cc1,1
CYP3A4_00064,COc1ccc(\C=C\NC(=O)c2ccc(OC)cc2)cc1,1
CYP3A4_00065,CCCCCCCC#Cc1ccccc1\C=N\S(=O)c2ccc(C)cc2,1
CYP3A4_00066,COC(=O)[C@@]1(CCCC1=O)C(NC(=O)O\C=C\C)c2ccccc2,1
CYP3A4_00067,COC(=O)NC(C(C(=O)C)C(=O)OC)c1occc1,1
CYP3A4_00068,COC(=O)NC(C(C(=O)C)C(=O)OCC=C)c1ccccc1,1
CYP3A4_00069,COC(=O)NC(\C(=C(/C)\NCc1ccccc1)\C(=O)OC)c2ccc(F)cc2,1
CYP3A4_00070,COc1ccc(\C=C\N(CCc2ccc(OC)c(OC)c2)C(=O)C)cc1,1
CYP3A4_00071,CC(C)(C)OC1C2C(CC(O)CC=C)C3C(C2CC(O)CC=C)C13,1
CYP3A4_00072,COc1ccc(\C=C\N(CCc2ccc(OC)c(OC)c2)C(=O)C(F)(F)F)cc1,1
CYP3A4_00073,COC(=O)C1C(C2C(=O)c3c(OC)cc(OC)cc3O[C@@]12c4ccc(OC)cc4)c5ccccc5,1
CYP3A4_00074,CC(=C)C(O)\C=C\c1ccc(Br)cc1,1
CYP3A4_00075,CCCCCCC1Cc2cc(OC)c(OC)cc2C(O1)C(C(=O)OCC)C(=O)OCC,1
CYP3A4_00076,COc1cccc(\C=C\C(O)C(=C)C)c1,1
CYP3A4_00077,COc1cccc(\C=C\C2=CC3(C)CC2(C)C(CC3=O)c4cccc(OC)c4)c1,1
CYP3A4_00078,COC(=O)NC(CC(=O)C)c1ccc2OCOc2c1,1
CYP3A4_00079,CC12CC(C)(C(CC1=O)\C=C\c3ccccc3)C(=C2)\C=C\C=C\c4ccccc4,1
CYP3A4_00080,COC(=O)NC(C(C(=O)C)C(=O)OCC=C)c1cccs1,1
CYP3A4_00081,COc1ccc(\C=C\NC(=O)Cc2ccc(OC)c(OC)c2)cc1,1
CYP3A4_00082,COC(=O)N(CCc1ccc(OC)c(OC)c1)\C=C\c2ccc(OC)cc2,1
CYP3A4_00083,CC(=C)C(O)\C=C\c1ccc(C)cc1,1
CYP3A4_00084,COc1ccc(\C=C\C2=CC3(C)CC2(C)C(CC3=O)c4ccc(OC)cc4)cc1,1
CYP3A4_00085,CC(=CCC1(CC=C(C)C)C(=O)C(=C2OC(C)(C)CCC2(CC=C(C)C)C1=O)C(=O)c3ccccc3)C,1
CYP3A4_00086,COC(=O)NC(C(C(=O)C)C(=O)OCC=C)c1cccc(c1)C(F)(F)F,1
CYP3A4_00087,COc1ccc(OC2C=CC(CC=C)OC2COC(=O)c3ccc(Br)cc3)cc1,1
CYP3A4_00088,COc1ccc(OC2C=CC(CC=C)OC2CO)cc1,1
CYP3A4_00089,CCCCCCC#CC1OC(COC(=O)OCC)C(OC(=O)OCC)C=C1,1
CYP3A4_00090,COc1ccc(OC2C=CC(OC2CO)c3ccccc3)c(c1)C(C)(C)C,1
CYP3A4_00091,CC(=O)OCC1OC(C=CC1OC(=O)C)C#Cc2ccccc2Cl,1
CYP3A4_00092,CCOC(C(C)C(OC)[C@@H](C)\C=C\CC(=O)OC)c1cc(OC)cc(c1OC)[N+](=O)[O-],1
CYP3A4_00093,COC1C(C)\C(=C/CCOCC#CC)\c2ccccc12,1
CYP3A4_00094,COc1ccc(OCC2CC3C(CCC(C)C3c4ccc(Br)cc4)C(=O)O2)cc1,1
CYP3A4_00095,CC1CCC2N(CC(COC=C)OC2=O)C1c3ccc(Br)cc3,1
CYP3A4_00096,CCC(=O)[C@]12O[C@@]3(C4C1CCOC4=O)N(Cc5ccccc5)C(=C(C(N3C2=O)c6ccccc6)C(=O)OC)C,1
CYP3A4_00097,CCN1C(=C(C(N2C(=O)[C@@](O)(C(C(=C12)C(=O)c3ccccc3)c4ccccc4)C(=O)OC)c5ccccc5)C(=O)OC)C,1
CYP3A4_00098,COc1ccc(OCC2CN3C(CCC(C)C3c4ccc(Br)cc4)C(=O)O2)cc1,1
CYP3A4_00099,COc1cc(cc(OC)c1OC)C2N3C(Cc4c2[nH]c5ccccc45)C(=O)N6C(CCC(C)C6c7cccc(CC=C)c7)C3=O,1
CYP3A4_00100,CC1CCC2N([C@H]1c3cccc(c3)N4CCOCC4)C(=O)C5CCC(C)C(N5C2=O)c6cccc(Br)c6,1
CYP3A4_00101,COCC#Cc1ccc(cc1)C2C(C)CCC3N2C(=O)C4CCC(C)C(N4C3=O)c5ccc(cc5)C#CCOC,1
CYP3A4_00102,CC1CCC2N([C@H]1c3cccc(c3)N4CCOCC4)C(=O)C5CCC(C)C(N5C2=O)c6cccc(c6)N7CCOCC7,1
CYP3A4_00103,COC(=O)C1=C(C)N(Cc2ccccc2)[C@@]34O[C@](C5CCOC(=O)C35)(C(=O)OC)C(=O)N4C1c6ccccc6,1
CYP3A4_00104,COC(=O)C1=C(C)N(Cc2ccccc2)C3=C4C(CCOC4=O)[C@@](O)(C(=O)OC)C(=O)N3C1c5ccccc5,1
CYP3A4_00105,COc1ccc(OCC2Cc3c(CO2)c4CN(CCOc5ccccc5)CCc4nc3c6ccccc6)cc1,1
CYP3A4_00106,CC(C)CCN1CCc2nc(COc3ccccc3)c4CC(C)OCc4c2C1,1
CYP3A4_00107,CCCCc1nc2CCN(CCC(C)C)Cc2c3COC(C)Cc13,1
CYP3A4_00108,CCCCC1CN2C(CCC(C)C2c3ccc(Br)cc3)C(=O)O1,1
CYP3A4_00109,COc1ccc(OC2C=CC(OC2CO)C#Cc3ccccc3)cc1,1
CYP3A4_00110,CCCCC#CC1OC(COC(=O)OCC)C(Oc2ccc(cc2)C(=O)OC)C=C1,1
CYP3A4_00111,CCCCC#CC1OC(COC(=O)OCC)C(Oc2cc(OC)c(OC)c(OC)c2)C=C1,1
CYP3A4_00112,CC(=O)OCC1OC(C=CC1OC(=O)C)C#Cc2ccccc2,1
CYP3A4_00113,COc1ccc(OC2C=CC(OC2CO)c3ccccc3)cc1,1
CYP3A4_00114,CC(=O)OCC1OC(C=CC1OC(=O)C)C#CCCc2ccccc2,1
CYP3A4_00115,CC(=O)OCC1OC(C=CC1OC(=O)C)C#CCCCc2ccccc2,1
CYP3A4_00116,CCCCC#CC1OC(COC(=O)C)C(OC(=O)C)C=C1,1
CYP3A4_00117,O[C@@H]1CC(=O)[C@H]2CC[C@@H]3[C@H]([C@@H]2[C@@H]1O)C(=O)N(Cc4ccc5OCOc5c4)C3=O,1
CYP3A4_00118,O[C@@H]1[C@@H]2O[C@@H]2C(=O)C3=CC[C@@H]4[C@@H]([C@H]13)C(=O)N(Cc5ccc6OCOc6c5)C4=O,1
CYP3A4_00119,O[C@@H](COCc1occc1)CO\N=C\2/[C@@H]3CCN4N([C@H]3[C@H](O)[C@H]5O[C@H]25)C(=O)N(Cc6cc7OCOc7cc6Cl)C4=O,1
CYP3A4_00120,CC(C)CO\N=C\1/[C@@H]2CCN3N([C@H]2[C@H](O)[C@H]4O[C@H]14)C(=O)N(Cc5cc6OCOc6cc5Cl)C3=O,1
CYP3A4_00121,O[C@@H]1[C@H]2O[C@@H]2\C(=N\OCc3ccccc3)\[C@@H]4CCN5N([C@@H]14)C(=O)N(Cc6cc7OCOc7cc6Cl)C5=O,1
CYP3A4_00122,CC[C@H](N1C(=O)N2CC[C@@H]3[C@H]([C@H](O)[C@H]4O[C@@H]4/C/3=N/OC[C@@H](O)COCc5occc5)N2C1=O)c6ccccc6,1
CYP3A4_00123,O[C@@H]1C\C(=N\OCCCC#C)\[C@@H]2CC[C@H]3[C@H]([C@H]2[C@@H]1O)C(=O)N(C4CCCCC4)C3=O,1
CYP3A4_00124,CC(C)(C)N1C(=O)[C@H]2CC[C@@H]3[C@H]([C@H](O)[C@H](O)C/C/3=N/OC[C@@H](O)COCc4occc4)[C@@H]2C1=O,1
CYP3A4_00125,C[C@H](N1C(=O)[C@H]2CC[C@@H]3[C@H]([C@H](O)[C@H](O)C/C/3=N/OC[C@@H](O)COCc4occc4)[C@@H]2C1=O)c5ccccc5,1
CYP3A4_00126,C[C@H](N1C(=O)[C@H]2CC[C@@H]3[C@H]([C@H](O)[C@H](O)C/C/3=N/OCCCC#C)[C@@H]2C1=O)c4ccccc4,1
CYP3A4_00127,C[C@H](N1C(=O)[C@H]2CC[C@H]3[C@H]([C@H](O)[C@H](O)C/C/3=N/OC[C@@H](O)COCc4occc4)[C@@H]2C1=O)c5ccccc5,1
CYP3A4_00128,C[C@H](N1C(=O)[C@H]2CC[C@H]3[C@H]([C@H](O)[C@H](O)C/C/3=N/OCCCC#C)[C@@H]2C1=O)c4ccccc4,1
CYP3A4_00129,C[C@H](N1C(=O)[C@H]2CC[C@H]3[C@H]([C@H](O)[C@H](O)C/C/3=N/OC\C=C(/C)\CCC=C(C)C)[C@@H]2C1=O)c4ccccc4,1
CYP3A4_00130,O[C@@H]1C\C(=N\NC(=O)OCc2ccccc2)\[C@@H]3CC[C@H]4[C@H]([C@H]3[C@@H]1O)C(=O)N(Cc5ccc6OCOc6c5)C4=O,1
CYP3A4_00131,COc1ccc(COC(=O)N\N=C/2\C[C@@H](O)[C@@H](O)[C@H]3[C@H]2CC[C@H]4[C@H]3C(=O)N(Cc5ccc6OCOc6c5)C4=O)cc1,1
CYP3A4_00132,CCOC(=O)N\N=C/1\C[C@@H](O)[C@@H](O)[C@H]2[C@H]1CC[C@H]3[C@H]2C(=O)N(Cc4ccc5OCOc5c4)C3=O,1
CYP3A4_00133,O[C@@H](COCc1occc1)CO\N=C/2\C[C@@H](O)[C@@H](O)[C@H]3[C@H]2CC[C@H]4[C@H]3C(=O)N(Cc5ccc6OCOc6c5)C4=O,1
CYP3A4_00134,O[C@@H]1C\C(=N\OCCCC#C)\[C@@H]2CC[C@H]3[C@H]([C@H]2[C@@H]1O)C(=O)N(Cc4ccc5OCOc5c4)C3=O,1
CYP3A4_00135,CC(=CCC\C(=C\CO\N=C/1\C[C@@H](O)[C@@H](O)[C@H]2[C@H]1CC[C@H]3[C@H]2C(=O)N(Cc4ccc5OCOc5c4)C3=O)\C)C,1
CYP3A4_00136,O[C@@H]1C\C(=N\OCc2ccccc2)\[C@@H]3CC[C@H]4[C@H]([C@H]3[C@@H]1O)C(=O)N(Cc5ccc6OCOc6c5)C4=O,1
CYP3A4_00137,O[C@@H]1C\C(=N\OCCCC#C)\[C@@H]2CC[C@H]3[C@H]([C@H]2[C@@H]1O)C(=O)N(C3=O)c4cccc(Oc5ccccc5)c4,1
CYP3A4_00138,CC(=O)OC[C@@H]1O[C@@H](O\N=C/2\C[C@@H](O)[C@@H](O)[C@H]3[C@@H]2CC[C@H]4[C@H]3C(=O)N(Cc5ccc6OCOc6c5)C4=O)[C@H](OC(=O)C)[C@H](OC(=O)C)[C@@H]1OC(=O)C,1
CYP3A4_00139,O[C@@H]1C\C(=N\NC(=O)OCc2ccccc2)\[C@H]3CC[C@H]4[C@H]([C@H]3[C@@H]1O)C(=O)N(Cc5ccc6OCOc6c5)C4=O,1
CYP3A4_00140,COc1ccc(COC(=O)N\N=C/2\C[C@@H](O)[C@@H](O)[C@H]3[C@@H]2CC[C@H]4[C@H]3C(=O)N(Cc5ccc6OCOc6c5)C4=O)cc1,1
CYP3A4_00141,O[C@@H](COCc1occc1)CO\N=C/2\C[C@@H](O)[C@@H](O)[C@H]3[C@@H]2CC[C@H]4[C@H]3C(=O)N(Cc5ccc6OCOc6c5)C4=O,1
CYP3A4_00142,O[C@@H]1C\C(=N\OCCCC#C)\[C@H]2CC[C@H]3[C@H]([C@H]2[C@@H]1O)C(=O)N(Cc4ccc5OCOc5c4)C3=O,1
CYP3A4_00143,CC(=CCC\C(=C\CO\N=C/1\C[C@@H](O)[C@@H](O)[C@H]2[C@@H]1CC[C@H]3[C@H]2C(=O)N(Cc4ccc5OCOc5c4)C3=O)\C)C,1
CYP3A4_00144,CC(C)CO\N=C/1\C[C@@H](O)[C@@H](O)[C@H]2[C@@H]1CC[C@H]3[C@H]2C(=O)N(Cc4ccc5OCOc5c4)C3=O,1
CYP3A4_00145,O[C@@H]1C\C(=N\OCc2ccccc2)\[C@H]3CC[C@H]4[C@H]([C@H]3[C@@H]1O)C(=O)N(Cc5ccc6OCOc6c5)C4=O,1
CYP3A4_00146,COc1ccc(COC(=O)N\N=C/2\C[C@@H](O)[C@@H](O)[C@H]3[C@@H]2CC[C@H]4[C@H]3C(=O)N(C4=O)c5cccc(Oc6ccccc6)c5)cc1,1
CYP3A4_00147,O[C@@H]1C\C(=N\OCCCC#C)\[C@H]2CC[C@H]3[C@H]([C@H]2[C@@H]1O)C(=O)N(C3=O)c4cccc(Oc5ccccc5)c4,1
CYP3A4_00148,O[C@@H]1C\C(=N\OCCCC#C)\[C@@H]2CC[C@@H]3[C@@H]([C@H]2[C@@H]1O)C(=O)N(C3=O)c4ccc(F)cc4F,1
CYP3A4_00149,O[C@@H](COCc1occc1)CO\N=C/2\C[C@@H](O)[C@@H](O)[C@H]3[C@H]2CC[C@H]4[C@H]3C(=O)N(Cc5ccccc5)C4=O,1
CYP3A4_00150,O[C@@H]1C\C(=N\OCCCC#C)\[C@H]2CC[C@@H]3[C@@H]([C@H]2[C@@H]1O)C(=O)N(C3=O)c4ccc(F)cc4F,1
CYP3A4_00151,O[C@@H]1C\C(=N\OCCCC#C)\[C@H]2CC[C@H]3[C@H]([C@H]2[C@@H]1O)C(=O)N(Cc4ccccc4)C3=O,1
CYP3A4_00152,Cc1ccc(cc1)S(=O)(=O)N[C@@H](CCc2ccccc2)CC(=O)C(C)(C)C,1
CYP3A4_00153,CCCCOC(OCCCC)[C@H](O)CSc1ccc2ccccc2c1,1
CYP3A4_00154,COCOc1cc(OC)ccc1C(=O)\C=C/c2ccc3OCOc3c2,1
CYP3A4_00155,Nc1ccccc1C(=O)\C=C/c2ccc3OCOc3c2,1
CYP3A4_00156,Fc1ccc(cc1)C(=O)\C=C/c2ccc3OCOc3c2,1
CYP3A4_00157,COCOc1ccc(Br)cc1C(=O)\C=C/c2ccc3OCOc3c2,1
CYP3A4_00158,COc1cc(O)c(C(=O)\C=C/c2ccc3OCOc3c2)c(OC)c1,1
CYP3A4_00159,COCOc1ccc(Br)cc1C(=O)[C@H]2O[C@H]2c3cccc(OC)c3,1
