Name,SMILES,Property
hep0001,COc1cc(cc(OC)c1OC)N2C(=O)C=CC=C2c3ccc(cc3)[N+](=O)[O-],1
hep0002,COc1cc(cc(OC)c1OC)N2C(=O)C=CC=C2c3ccc4OCOc4c3,1
hep0003,COc1ccc(cc1)C2=CC=CC(=O)N2c3cc(OC)c(OC)c(OC)c3,1
hep0004,COc1ccc(cc1O)C2=CC=CC(=O)N2c3cc(OC)c(OC)c(OC)c3,1
hep0005,COc1ccc2c(Cc3c(Nc4ccccc4)[nH]nc23)c1,1
hep0006,CCCCCOC(=O)N1CO[C@@H]2[C@H](C)O[C@H](C[C@H]12)O[C@H]3C[C@@](O)(Cc4c(O)c5C(=O)c6cccc(OC)c6C(=O)c5c(O)c34)C(=O)CO,1
hep0007,CCOC(=O)N1CO[C@@H]2[C@H](C)O[C@H](C[C@H]12)O[C@H]3C[C@@](O)(Cc4c(O)c5C(=O)c6cccc(OC)c6C(=O)c5c(O)c34)C(=O)CO,1
hep0008,CCCCCCCCCC[n+]1ccc2c3ccccc3n(CCCc4ccccc4)c2c1,1
hep0009,C[C@@]1(Br)CC[C@]2(C[C@H]1Cl)C(=C)C[C@@H](O)[C@@H](Br)C2(C)C,1
hep0010,CC1(C)C[C@@H](Br)C[C@](C)(O)[C@]12CC\C(=C/Br)\C=C2,1
hep0011,CC1=C(Cl)C[C@]2(CC1)C(=C)C[C@H](O)[C@H](Br)C2(C)C,1
hep0012,CCOC(=O)c1sc(NNS(=O)(=O)c2ccc(C)cc2)nc1C,1
hep0013,Cc1ccc(cc1)S(=O)(=O)NNc2nc(C)cs2,1
hep0014,C[C@@H]1CC[C@@]2(CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](OC(=O)C)C(C)(C)[C@@H]5CC[C@@]34C)[C@@H]2[C@H]1C)C(=O)NCCNC(=O)[C@@H](N)Cc6ccccc6,1
