Name,SMILES,Property
DILI0001,OC(c1cnccc1)=O,1
DILI0002,[O-][N+](c1ccc(c2ccc(C=NN3C(=O)NC(=O)C3)o2)cc1)=O,1
DILI0003,OCC(COC(c1c(Nc2c(c3ncc2)ccc(Cl)c3)cccc1)=O)O,1
DILI0004,CC(NNC(c1ccncc1)=O)C,1
DILI0005,O=C(NCc1ccccc1)CCNNC(c2ccncc2)=O,1
DILI0006,CN1Cc(c2C(c3ccccc3)C1)c(N)ccc2,1
DILI0007,Nc1ccc(S(Nc2sccn2)(=O)=O)cc1,1
DILI0008,CCCCCCCCNC(C(c1ccc(SC(C)C)cc1)O)C,1
DILI0009,CN(CCCC1c(c2Nc(c13)cccc3)cc(Cl)cc2)C,1
DILI0010,OC(Cc1nc(c2ccc(Cl)cc2)sc1)=O,1
DILI0011,CC(NC1C(OC2C(O)C(O)C(O)C(C(O)=O)O2)C(OS(O)(=O)=O)C(CO)OC1O)=O,1
DILI0012,CC(C(=O)NC(=O)N1C2OC(CO)C(N=[N+]=[N-])C2)=C1,1
DILI0013,CC(N1CCN(c2ccc(OCC3OC(c4c(Cl)cc(Cl)cc4)(Cn5cncc5)OC3)cc2)CC1)=O,1
DILI0014,Nc1c2c(n(CCOCP(O)(O)=O)cn2)ncn1,1
DILI0015,CC(c1sc(c2c1)cccc2)N(C(N)=O)O,1
DILI0016,Nc1c(C(c2ccc(Br)cc2)=O)cccc1CC(O)=O,1
DILI0017,Cc1c(c2c(O)c(Br)c1)cccn2,1
DILI0018,Cc1n(c2ccc([N+]([O-])=O)cc2)cc([N+]([O-])=O)n1,1
DILI0019,CCOC1C(NC(C2N3N(C(=O)CCC(NC(c4c(c5ccn4)cccc5)=O)C3=O)CCC2)=O)CC(=O)O1,1
DILI0020,CCOC(C(c1ccc(c2ccccc2)cc1)=O)Nc3ccc(C(O)=O)cc3,1
DILI0021,CCCCN1C2(CCN(Cc3ccc(Oc4ccc(C(O)=O)cc4)cc3)CC2)C(=O)NC(C(C5CCCCC5)O)C1=O,1
DILI0022,CN(Cc1ccc(CSCCNC(NCc2cc(c3cc2)OCO3)=C[N+]([O-])=O)o1)C,1
DILI0023,CN(NN=C1C(C(N)=O)=NC=N1)C,1
DILI0024,[O-][N+](c1ccc(C=NN2C(=O)NC(=O)C2)o1)=O,1
DILI0025,CON=C(c1ccc(c2ccc(c3ccc(C(N)=NOC)cc3)o2)cc1)N,1
DILI0026,CN1CCC(Nc2nc(c3cn2)c(Nc4cc(Cl)c(F)cc4)ncn3)CC1,1
DILI0027,NC1C(N)CCCC1,1
DILI0028,CC(NN(c1cc(C)c(C)cc1)C2=O)=C2NN=C3C(=O)C(c4cc(C(O)=O)ccc4)=CC=C3,1
DILI0029,CCCC(C(O)=O)CCC,1
DILI0030,CC(C(OC(Cc1ccc(Cl)cc1)(C)C)=O)N,1
DILI0031,OC(COc1c(c2n(Cc3ccccc3)n1)cccc2)=O,1
DILI0032,Cc1c(c2ncc1)NC(=O)c(c3N2C4CC4)cccn3,1
DILI0033,CC1(C(=O)N(c2cc(C(F)(F)F)c([N+]([O-])=O)cc2)C(=O)N1)C,1
DILI0034,Cc1cc(NS(c2ccc(N)cc2)(=O)=O)no1,1
DILI0035,CN1CC(CN2c(c3Sc(c24)cccc4)cccc3)CCC1,1
