Name,SMILES,Property
mmp0001,Oc1c(Cl)ccc(Cl)c1,1
mmp0002,CC=O,1
mmp0003,ClC1(C(C(Cl)(C2(Cl)C3=O)C45Cl)(Cl)C2(C(Cl)(C34Cl)C15Cl)Cl)Cl,1
mmp0004,Nc1ccc(O)cc1,1
mmp0005,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,1
mmp0006,OC(C(Cc1c(c2[nH]c1)cccc2)=O)=O,1
mmp0007,Oc1ccc([N+]([O-])=O)cc1,1
mmp0008,CCOP(Oc1ccc([N+]([O-])=O)cc1)(OCC)=S,1
mmp0009,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,1
mmp0010,O=CCc1ccccc1,1
mmp0011,Oc1c(O)c(O)ccc1,1
mmp0012,O[Se](O)=O,1
mmp0013,NCCS(O)(=O)=O,1
mmp0014,Oc1c(Br)cc(Br)cc1Br,1
mmp0015,Oc1c([N+]([O-])=O)cc([N+]([O-])=O)cc1,1
mmp0016,Cc1c(c(c2c3c(c(c4cc3)cccc4)c5)c5cc1)CC2,1
mmp0017,Cc1c(Cl)ccc(O)c1,1
mmp0018,Oc1c(O)cc(C=C(C#N)C#N)cc1,1
mmp0019,CCCSc1cc(c2cc1)[nH]c(NC(OC)=O)n2,1
mmp0020,CC1(c(c2C(C)(C)CC1)ccc(C(Nc3ccc(C(O)=O)cc3)=O)c2)C,1
mmp0021,COC(C(C(c1c([N+]([O-])=O)cccc1)C(C(OCC(C)=O)=O)=C(C)N2)=C2C)=O,1
mmp0022,CCCCN(c1c([N+]([O-])=O)cc(C(F)(F)F)cc1[N+]([O-])=O)CC,1
mmp0023,CC(N1S(=O)(=O)Nc(c2C1=O)cccc2)C,1
mmp0024,CCc1c(C(c2cc(Br)c(O)c(Br)c2)=O)c(c3o1)cccc3,1
mmp0025,S=C=NCc1ccccc1,1
mmp0026,CC(c1c(O)cc(C(C)(C)C)c(O)c1)(C)C,1
mmp0027,CC(Oc1ccc(C(c2ncccc2)c3ccc(OC(C)=O)cc3)cc1)=O,1
mmp0028,Oc1c(Sc2c(O)c(Cl)cc(Cl)c2)cc(Cl)cc1Cl,1
mmp0029,CCOc1n(Cc2ccc(c3c(c4n[nH]nn4)cccc3)cc2)c(c5n1)c(C(OC(OC(OC6CCCCC6)=O)C)=O)ccc5,1
mmp0030,CCOc1n(Cc2ccc(c3c(c4n[nH]nn4)cccc3)cc2)c(c5n1)c(C(O)=O)ccc5,1
mmp0031,CCCCCc1cc2c(c(c3C(C)(C)O2)cc(C)cc3)c(O)c1,1
mmp0032,Clc1cc(NN=C(C#N)C#N)ccc1,1
mmp0033,Oc1c(c2c(Cl)cc1Cl)nccc2,1
mmp0034,Cc1c(Cl)c(C)cc(O)c1,1
mmp0035,CCOP(Oc1c(Cl)cc(Cl)c(Cl)n1)(OCC)=S,1
mmp0036,CC1(CCCCC1)COc2ccc(CC3C(=O)NC(=O)S3)cc2,1
mmp0037,Oc1c(c2c(Cl)cc1I)nccc2,1
mmp0038,CC(CC(c1cc(Cc2c(Cl)cc(Cl)cc2)c(O)cc1)(C)C)(C)C,1
mmp0039,Oc1c(c2c(Cl)cc1)nccc2,1
mmp0040,CC1CC(C)(C)CC(OC(C(c2ccccc2)O)=O)C1,1
mmp0041,Oc1c(c2ccc1)C(=O)c(c3C2=O)c(O)ccc3,1
mmp0042,ClC(Cl)=C(c1ccc(Cl)cc1)c2ccc(Cl)cc2,1
mmp0043,Clc1ccc(C(C(Cl)(Cl)Cl)c2ccc(Cl)cc2)cc1,1
mmp0044,Oc1c(Cc2c(O)ccc(Cl)c2)cc(Cl)cc1,1
mmp0045,CCC(c1ccc(O)cc1)=C(c2ccc(O)cc2)CC,1
mmp0046,[O-][n+]1c(SSc2[n+]([O-])cccc2)cccc1,1
mmp0047,CCN(C(SSC(N(CC)CC)=S)=S)CC,1
mmp0048,CN(C(Nc1cc(Cl)c(Cl)cc1)=O)C,1
mmp0049,O=C1c(c2[Se]N1c3ccccc3)cccc2,1
mmp0050,Cc1cc(c2c(O)c1)C(=O)c(c3C2=O)cc(O)cc3O,1
mmp0051,ClC(C(C(Cl)(Cl)C12Cl)(Cl)C(C13)COS(=O)OC3)=C2Cl,1
mmp0052,CCCCCCOc1c(C(N)=O)cccc1,1
mmp0053,COC(Nc1[nH]c(c2n1)cc(Sc3ccccc3)cc2)=O,1
mmp0054,CC(C(c1ccc(Cl)cc1)C(OC(c2cc(Oc3ccccc3)ccc2)C#N)=O)C,1
mmp0055,CCC(c1c(O)cc(O)cc1O)=O,1
mmp0056,OC(c1c(Nc2cc(C(F)(F)F)ccc2)cccc1)=O,1
mmp0057,CC(C(Nc1cc(C(F)(F)F)c([N+]([O-])=O)cc1)=O)C,1
mmp0058,CC(c1sc(NS(c2ccccc2)(=O)=O)nn1)(C)C,1
mmp0059,CC(c1c(c2c(C=O)c(O)c1O)cc(C)c(c3c(O)c(c4cc3C)c(C=O)c(O)c(O)c4C(C)C)c2O)C,1
mmp0060,ClC1C2C(C(C(Cl)(Cl)C23Cl)(Cl)C(Cl)=C3Cl)C=C1,1
mmp0061,Oc1c(Cc2c(Cl)c(Cl)cc(Cl)c2O)c(Cl)c(Cl)cc1Cl,1
mmp0062,CCCCCCc1c(O)cc(O)cc1,1
mmp0063,CC(Cc1ccc(C(C(O)=O)C)cc1)C,1
mmp0064,OCc1c(c2[nH]c1)cccc2,1
mmp0065,Cc1c(CS(c2[nH]c(c3n2)cccc3)=O)nccc1OCC(F)(F)F,1
mmp0066,CC(C)=CCC(C(=O)C(=O)c(c12)cccc1)=C2O,1
mmp0067,Cc1c(C(Nc2ccc(C(F)(F)F)cc2)=O)cno1,1
mmp0068,CCCc1c(OCCCCc2n[nH]nn2)ccc(C(C)=O)c1O,1
mmp0069,CC(OC(C(C(OC(C)C)=O)=C1SC=CS1)=O)C,1
mmp0070,CC(CC(=O)N1c2ccccc2)=N1,1
mmp0071,COC(Nc1[nH]c(c2n1)cc(C(c3ccccc3)=O)cc2)=O,1
mmp0072,COc1ccc(C(C(Cl)(Cl)Cl)c2ccc(OC)cc2)cc1,1
mmp0073,COC(Nc1[nH]c(c2n1)cc(C(c3sccc3)=O)cc2)=O,1
mmp0074,ClC(C(c1c(Cl)cccc1)c2ccc(Cl)cc2)Cl,1
mmp0075,COC(C(C(c1cc([N+]([O-])=O)ccc1)C(C(OCCN(Cc2ccccc2)C)=O)=C(C)N3)=C3C)=O,1
mmp0076,Oc1c(C(Nc2c(Cl)cc([N+]([O-])=O)cc2)=O)cc(Cl)cc1,1
mmp0077,OC(c1c(Nc2cc(C(F)(F)F)ccc2)nccc1)=O,1
mmp0078,CS(Nc1c(Oc2ccccc2)cc([N+]([O-])=O)cc1)(=O)=O,1
mmp0079,COC(C(C(c1c([N+]([O-])=O)cccc1)C(C(OCC(C)C)=O)=C(C)N2)=C2C)=O,1
mmp0080,CCOC(C(C(c1cc([N+]([O-])=O)ccc1)C(C(OC)=O)=C(C)N2)=C2C)=O,1
mmp0081,[O-][N+](c1ccc(C=NN2C(=O)NC(=O)C2)o1)=O,1
mmp0082,CC(C(Cc1cc(O)c(O)cc1)C)Cc2cc(O)c(O)cc2,1
mmp0083,Oc1ccc(NC(c2c(O)cccc2)=O)cc1,1
mmp0084,Oc1ccc(Cl)cc1,1
mmp0085,Oc1ccc(C2(c3ccc(O)cc3)c(c4C(=O)O2)cccc4)cc1,1
mmp0086,Oc1ccc(S(O)(=O)=O)cc1,1
mmp0087,CCCCC1C(=O)N(c2ccccc2)N(c3ccccc3)C1=O,1
mmp0088,Oc1ccc(CCC(c2c(O)cc(O)cc2O)=O)cc1,1
mmp0089,O=Cc1c(C=O)cccc1,1
mmp0090,Clc1cc(c2cc1)C(c3ccccc3)=NCC(=O)N2CC4CC4,1
mmp0091,CC(c1ccc(OC2C(OS(OCC#C)=O)CCCC2)cc1)(C)C,1
mmp0092,CC(c1c(O)c(C(C)C)ccc1)C,1
mmp0093,CCCOC(c1cc(O)c(O)c(O)c1)=O,1
mmp0094,COc1ccc(CN(c2ncccc2)CCN(C)C)cc1,1
mmp0095,Oc1ccc(c2c(C(c3ccc(OCCN4CCCCC4)cc3)=O)c(c5s2)ccc(O)c5)cc1,1
mmp0096,Fc1ccc(C(CCCN2CCC3(C(=O)NCN3c4ccccc4)CC2)=O)cc1,1
mmp0097,CC(Nc1ccc(S(Nc2ccc([N+]([O-])=O)cc2)(=O)=O)cc1)=O,1
mmp0098,Clc1cc(Cl)c(Oc2ccc(Oc3c(Cl)cc(Cl)cn3)cc2)nc1,1
mmp0099,CN(C(SSC(N(C)C)=S)=S)C,1
mmp0100,Cc1c(Cl)ccc(Nc2c(C(O)=O)cccc2)c1,1
mmp0101,Oc1c(Oc2c(Cl)cc(Cl)cc2)ccc(Cl)c1,1
mmp0102,CCCN(c1c([N+]([O-])=O)cc(C(F)(F)F)cc1[N+]([O-])=O)CCC,1
mmp0103,CC(CC(c1ccc(OCCO)cc1)(C)C)(C)C,1
mmp0104,Cc1c(O)c(C)c(c2c1C)CCC(COc3ccc(CC4C(=O)NC(=O)S4)cc3)(C)O2,1
mmp0105,COc1c(Cc2c(c3n(C)c2)cc(NC(OC4CCCC4)=O)cc3)ccc(C(NS(c5c(C)cccc5)(=O)=O)=O)c1,1
mmp0106,CC1(C(O)CC2)C2C3C(c(c4CC3)ccc(O)c4)CC1,1
mmp0107,CCN(C(C1C=C(C2N(C)C1)c(c(c3[nH]c4)c4C2)ccc3)=O)CC,1
mmp0108,Nc1c(O)cccc1,1
mmp0109,CC1(C(=O)CC2)C2C3C(c(c4CC3)ccc(O)c4)CC1,1
mmp0110,CC(Nc1cc2c(c(c3C2)cccc3)cc1)=O,1
mmp0111,NC(C(O)=O)Cc1cc(I)c(Oc2cc(I)c(O)cc2)c(I)c1,1
mmp0112,CNc1ccc(O)cc1,1
mmp0113,CN(c1ccc(N=Nc2cc(C)ccc2)cc1)C,1
mmp0114,c1cc(c2cc1)cc3c(c(c4cc3)cccc4)c2,1
mmp0115,CCCCCCCCCCCCCCCC[N+](C)(C)C,1
mmp0116,CC1(C(C#C)(O)CC2)C2C3C(c(c4CC3)ccc(O)c4)CC1,1
mmp0117,ClC1C(Cl)C2C(C(C(Cl)(Cl)C23Cl)(Cl)C(Cl)=C3Cl)C1,1
mmp0118,C(c1ccccc1)=C(c2ccccc2)c3ccccc3,1
mmp0119,Oc1c(Cl)c(Cl)c(Cl)cc1Cl,1
mmp0120,CNC(Oc1c(c2ccc1)cccc2)=O,1
mmp0121,COC(C(=O)C=C1C(c(c2CCC1NC(C)=O)c(OC)c(OC)c(OC)c2)=C3)=C3,1
mmp0122,CCc1c(C(c2cc(I)c(O)c(I)c2)=O)c(c3o1)cccc3,1
mmp0123,[O-][N+](c1cc([N+]([O-])=O)c(F)cc1)=O,1
mmp0124,Oc1c(O)c(c2cc1)C(=O)c(c3C2=O)cccc3,1
mmp0125,ClC(C(c1ccc(Cl)cc1)c2ccc(Cl)cc2)Cl,1
mmp0126,CCc1ccc(C(c2ccc(CC)cc2)C(Cl)Cl)cc1,1
mmp0127,Cc1nc(c2cc1)c(O)c(Cl)cc2Cl,1
mmp0128,N(c1ccc(Nc2ccccc2)cc1)c3ccccc3,1
mmp0129,Cc1ccc(OP(Oc2ccccc2)(Oc3ccccc3)=O)cc1,1
mmp0130,Cc1ccc(OP(Oc2ccc(C)cc2)(Oc3ccc(C)cc3)=O)cc1,1
mmp0131,CCC(c1c(O)cc(C(CC)(C)C)c(O)c1)(C)C,1
mmp0132,CC(c1cc(Br)c(O)c(Br)c1)(c2cc(Br)c(O)c(Br)c2)C,1
mmp0133,CC(c1cc(Cl)c(O)c(Cl)c1)(c2cc(Cl)c(O)c(Cl)c2)C,1
mmp0134,Cc1c(O)ccc(C(c2cc(C)c(O)cc2)(C)C)c1,1
mmp0135,CC(c1ccc(O)cc1)(c2ccc(O)cc2)C,1
mmp0136,CC(c1ccc(Cl)cc1)(c2ccc(Cl)cc2)O,1
mmp0137,Clc1ccc(S(c2ccc(Cl)cc2)(=O)=O)cc1,1
