Name,SMILES,Property
pgpi0001,COc1cc(cc(OC)c1OC)C2=C(O)C(=O)c3c(O)cc(O)cc3O2,1
pgpi0002,CC(C)N=C1C=C2N(c3ccc(Cl)cc3)c4ccccc4N=C2C=C1Nc5ccc(Cl)cc5,1
pgpi0003,CC(C)(C)c1ccc(cc1)[C@H](O)CCCN2CCC(CC2)C(O)(c3ccccc3)c4ccccc4,1
pgpi0004,COc1ccc(CCN(C)CCC[C@](C#N)(C(C)C)c2ccc(OC)c(OC)c2)cc1OC,1
pgpi0005,OCCOCCN1CCN(CC1)C2=Nc3ccccc3Sc4ccccc24,1
pgpi0006,CC1(C)CNC(=NC1)NN=C(\C=C\c2ccc(cc2)C(F)(F)F)\C=C\c3ccc(cc3)C(F)(F)F,1
pgpi0007,COc1ccc2SCCN(Cc2c1)C(=O)CCN3CCC(Cc4ccccc4)CC3,1
pgpi0008,O[C@@H](COc1cccc2ncccc12)CN3CCN(CC3)C(=O)C(c4ccccc4)c5ccccc5,1
pgpi0009,CC(C)[C@@](CCCN(C)CCc1ccccc1)(C#N)c2ccccc2,1
pgpi0010,CCCCCCCCCCCCC(CCCN(C)CCc1cccc(OC)c1)(C#N)c2cccc(OC)c2,1
pgpi0011,COc1cc2CCN(Cc2cc1OC)c3nc(NCCc4cccc(OC)c4OC)nc5cc(OC)c(OC)cc35,1
pgpi0012,COc1ccc(CCNc2nc(N(C)Cc3ccccc3)c4cc(C)ccc4n2)cc1OC,1
pgpi0013,COc1ccc(C[C@@H](C)NCCC=C2c3ccccc3CCc4ccccc24)cc1OC,1
pgpi0014,COc1cc2CCN(CCc3ccc(cc3)n4nnc(n4)c5cc(OC)c(OC)cc5NC(=O)C6=CC(=O)c7ccccc7O6)Cc2cc1OC,1
pgpi0015,COc1cc(O)c2C(=O)C(=C(Oc2c1)c3ccc4O[C@H](CO)[C@H](Oc4c3)c5ccc(OC)c(OC)c5)O,1
pgpi0016,COC1=C(Oc2cc(O)cc(O)c2C1=O)c3ccc4O[C@H](CO)[C@@H](Oc4c3)c5ccc(OC)c(OC)c5,1
pgpi0017,COC1=C(Oc2cc(OC)cc(O)c2C1=O)c3ccc4O[C@H](CO)[C@H](Oc4c3)c5ccc(OC)c(OC)c5,1
pgpi0018,COc1ccc(CCN(C)CCC[C@](C#N)(C(C)C)c2cc(OC)c(OC)c(OC)c2)cc1OC,1
pgpi0019,COc1cc(OC)c2C(=O)C(=C(Oc2c1)c3ccc4O[C@H](CO)[C@H](Oc4c3)c5ccc(OC)c(OC)c5)O,1
pgpi0020,OC[C@H]1Oc2ccc(cc2O[C@H]1c3ccc(O)c(O)c3)C4=C(O)C(=O)c5c(O)cc(O)cc5O4,1
pgpi0021,COc1cc(ccc1O)[C@@H]2Oc3cc(ccc3O[C@H]2CO)[C@H]4Oc5cc(OCc6ccccc6)cc(O)c5C(=O)[C@@H]4O,1
pgpi0022,COc1cc(ccc1O)[C@@H]2Oc3cc(ccc3O[C@@H]2CO)C4=C(O)C(=O)c5c(O)cc(O)cc5O4,1
pgpi0023,COc1cc(ccc1O)[C@@H]2Oc3cc(ccc3O[C@@H]2CO)C4=C(O)C(=O)c5c(O)cc(OCc6ccccc6)cc5O4,1
pgpi0024,COc1cc(O)c2C(=O)C(=C(Oc2c1)c3ccc4O[C@H](CO)[C@H](Oc4c3)c5ccc(O)c(OC)c5)O,1
pgpi0025,COc1ccc(cc1OC)[C@@H]2Oc3cc(ccc3O[C@@H]2CO)C4=C(O)C(=O)c5c(O)cc(O)cc5O4,1
pgpi0026,COC1=C(Oc2cc(OC)cc(O)c2C1=O)c3ccc4O[C@H](CO)[C@H](Oc4c3)c5ccc(O)c(OC)c5,1
pgpi0027,COc1cc2OC(=CC(=O)c2c(OC)c1OC)c3ccccc3,1
pgpi0028,COc1cc2OC(=CC(=O)c2c(O)c1OC)c3ccccc3,1
pgpi0029,Oc1c2OCOc2cc3OC(=CC(=O)c13)c4ccccc4,1
pgpi0030,COc1c2OCOc2cc3OC(=CC(=O)c13)c4ccccc4,1
pgpi0031,CC(=O)Oc1c(Oc2ccccc2)cc3OC(=CC(=O)c3c1OC(=O)C)c4ccccc4,1
pgpi0032,Oc1cc2OC(=CC(=O)c2c(O)c1Oc3ccccc3)c4ccccc4,1
pgpi0033,COc1c2OC(Oc2cc3OC(=CC(=O)c13)c4ccccc4)(c5ccccc5)c6ccccc6,1
pgpi0034,CCCOc1c(O)cc2OC(=CC(=O)c2c1O)c3ccccc3,1
pgpi0035,CCOc1c(O)cc2OC(=CC(=O)c2c1O)c3ccccc3,1
pgpi0036,CC(=O)Oc1cc2OC(=CC(=O)c2c(O)c1OC(=O)C)c3ccccc3,1
pgpi0037,CCOc1c(O)c2C(=O)C=C(Oc2cc1OC)c3ccccc3,1
pgpi0038,CCCOc1c(OC)cc2OC(=CC(=O)c2c1OC)c3ccccc3,1
pgpi0039,COc1ccc(CCNCCC[C@](C#N)(C(C)C)c2ccc(OC)c(OC)c2)cc1OC,1
pgpi0040,CCCOc1cc2OC(=CC(=O)c2c(O)c1OCCC)c3ccccc3,1
pgpi0041,CCOc1cc2OC(=CC(=O)c2c(O)c1OCC)c3ccccc3,1
pgpi0042,CCCCCCCCOc1cc2OC(=CC(=O)c2c(O)c1OCCCCCCCC)c3ccccc3,1
pgpi0043,CCCCCOc1cc2OC(=CC(=O)c2c(O)c1OCCCCC)c3ccccc3,1
pgpi0044,CCCCOc1cc2OC(=CC(=O)c2c(O)c1OCCCC)c3ccccc3,1
pgpi0045,CCCCCOc1cc2OC(=CC(=O)c2c(OC)c1OCCCCC)c3ccccc3,1
pgpi0046,CCCCCCOc1cc2OC(=CC(=O)c2c(OC)c1OCCCCCC)c3ccccc3,1
pgpi0047,CCOc1cc2OC(=CC(=O)c2c(OC)c1OCC)c3ccccc3,1
pgpi0048,CCCCOc1cc2OC(=CC(=O)c2c(OC)c1OCCCC)c3ccccc3,1
pgpi0049,COc1cc2OC(=CC(=O)c2c(OC)c1OC(=O)C)c3ccccc3,1
pgpi0050,CO[C@H]1[C@H](C[C@H]2CN3CCc4c([nH]c5cc(OC)ccc45)[C@H]3C[C@H]2[C@@H]1C(=O)OC)OC(=O)c6cc(OC)c(OC)c(OC)c6,1
pgpi0051,CC(=O)Oc1c(OCc2ccccc2)cc3OC(=CC(=O)c3c1OC(=O)C)c4ccccc4,1
pgpi0052,CC(=O)Oc1cc2OC(=CC(=O)c2c(O)c1OCc3ccccc3)c4ccccc4,1
pgpi0053,CC(=O)Oc1cc2OC(=CC(=O)c2c(OCc3ccccc3)c1OC(=O)C)c4ccccc4,1
pgpi0054,CC(=O)Oc1c(O)c2C(=O)C=C(Oc2c(Br)c1OC(=O)C)c3ccccc3,1
pgpi0055,Cc1cccc(N2CCN(C[C@@H](O)COc3ccccc3C(=O)CCc4ccccc4)CC2)c1C,1
pgpi0056,Clc1ccccc1c2nc(N3CCCC3)c4ccccc4n2,1
pgpi0057,CCCN(C[C@H](O)COc1ccccc1C(=O)CCc2ccccc2)C(=O)c3ccccc3,1
pgpi0058,CCC(=O)c1ccccc1OC[C@@H](O)CN2CCC(O)(CC2)c3ccccc3,1
pgpi0059,O[C@H](COc1ccccc1C(=O)Cc2cccc3ccccc23)CN4CCC(O)(CC4)c5ccccc5,1
pgpi0060,CC(=O)c1cccc(OC[C@H](O)CN2CCN(CC2)c3ccc(F)cc3)c1,1
pgpi0061,O[C@H](COc1ccccc1C(=O)CCc2ccccc2)CN3CCN(CC3)C(=O)c4ccccc4,1
pgpi0062,COc1ccc(OC[C@@H](O)CN2CCN(CC2)c3ccc(F)cc3)cc1,1
pgpi0063,CC(C)[C@@H](NC[C@H](O)COc1ccccc1C(=O)CCc2ccccc2)c3ccccc3,1
pgpi0064,Cc1ccccc1N2CCN(C[C@H](O)COc3cc(Cl)c(Cl)cc3C(=O)CCc4ccccc4)CC2,1
pgpi0065,CC(C)(C)[C@@H](NC[C@H](O)COc1ccccc1C(=O)CCc2ccccc2)c3ccccc3,1
pgpi0066,O[C@H](COc1cccc2C(=C)[C@@H](C(=O)c12)c3ccccc3)CN4CCCCC4,1
pgpi0067,O[C@H](COc1cccc2C(=O)[C@@H](C(=C)c12)c3ccccc3)CN4CCCCC4,1
pgpi0068,Cc1cccc(N2CCN(C[C@@H](O)COc3cccc4C(=C)[C@H](C(=O)c34)c5ccccc5)CC2)c1C,1
pgpi0069,COCC(=O)O[C@@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc4cc(F)ccc4[C@@H]1C(C)C,1
pgpi0070,CC(=O)c1cccc(OC[C@@H](O)CN2CCN(CC2)c3cccc(C)c3C)c1,1
pgpi0071,CC(=O)c1cccc(OC[C@H](O)CN2CCN(CC2)c3ccccc3C)c1,1
pgpi0072,CC(=O)c1ccccc1OC[C@@H](O)CN2CCN(CC2)c3cccc(C)c3C,1
pgpi0073,O=C([C@@H]1Oc2ccccc2[C@H]1Cc3ccccc3)N4CCCCC4,1
pgpi0074,C([C@@H]1Oc2ccccc2[C@H]1Cc3ccccc3)N4CCCCC4,1
pgpi0075,CCCCOc1ccc(cc1)C(=O)Nc2ccc3nc(SCc4c(C)cc(C)c(C(=O)C)c4C)sc3c2,1
