Descriptor,Model,ROC_AUC,PR_AUC,Accuracy,Sensitivity,Specificity,GMean,Precision,F1,MCC,Kappa
Mordred,Bayesian,0.708,0.74,0.658,0.661,0.655,0.658,0.677,0.669,0.315,0.315
Mordred,KNN,0.842,0.82,0.77,0.8,0.738,0.768,0.77,0.785,0.54,0.539
Mordred,LightGBM,0.891,0.898,0.815,0.821,0.808,0.814,0.824,0.822,0.628,0.628
Mordred,LogisticRegression,0.851,0.848,0.782,0.788,0.775,0.781,0.793,0.791,0.563,0.563
Mordred,RandomForest,0.884,0.888,0.809,0.8,0.819,0.809,0.83,0.814,0.619,0.618
Mordred,XGBoost,0.89,0.898,0.815,0.822,0.806,0.814,0.823,0.823,0.628,0.628
Morgan,Bayesian,0.804,0.82,0.733,0.68,0.792,0.734,0.782,0.727,0.474,0.469
Morgan,KNN,0.843,0.837,0.772,0.728,0.82,0.772,0.816,0.769,0.549,0.545
Morgan,LightGBM,0.873,0.882,0.8,0.798,0.803,0.8,0.816,0.807,0.6,0.6
Morgan,LogisticRegression,0.86,0.869,0.786,0.779,0.793,0.786,0.805,0.792,0.571,0.571
Morgan,RandomForest,0.866,0.877,0.784,0.734,0.84,0.785,0.834,0.781,0.575,0.571
Morgan,XGBoost,0.881,0.891,0.805,0.795,0.816,0.805,0.826,0.81,0.61,0.609
Morgan,vNN,0.7847709468408633,0.864127952396138,0.7865319845261987,0.8231734317343173,0.7463684619474092,0.7837672452209072,0.7807154491025473,0.8013189797242876,0.5720864888923157,0.5710349823044362
