Descriptor,Model,Repeat,Fold,ROC_AUC,PR_AUC,Accuracy,Sensitivity,Specificity,GMean,Precision,F1,MCC,Kappa
Morgan,KNN,1,1,0.8531293565191871,0.6919224185824256,0.8747514910536779,0.6073446327683616,0.9567099567099568,0.7622681006862637,0.8113207547169812,0.6946688206785138,0.6281749780152185,0.6179240164458215
Morgan,KNN,1,2,0.8173624868540122,0.6294825533157582,0.854208084824387,0.5819209039548022,0.9376623376623376,0.7386780862709009,0.7410071942446043,0.6518987341772152,0.5679319924295745,0.5613743023845764
Morgan,KNN,1,3,0.8405957592926432,0.6672404655657714,0.8627320954907162,0.5835694050991501,0.948051948051948,0.7438105345635847,0.7744360902255639,0.6655896607431341,0.5905805570197236,0.581367279281599
Morgan,KNN,1,4,0.8282930478397901,0.6262781639075895,0.8481432360742706,0.5297450424929179,0.9454545454545454,0.7077074666533768,0.748,0.6202321724709784,0.5410583145414192,0.5287654334465028
Morgan,KNN,1,5,0.8379500435723446,0.6494392749015985,0.8561007957559682,0.5451977401129944,0.951473136915078,0.7202367694198362,0.7751004016064257,0.6401326699834162,0.5669707994535048,0.5535856551964989
Morgan,KNN,2,1,0.8318622055910192,0.6534176413406368,0.8628230616302187,0.5621468926553672,0.9549783549783548,0.7326923739225191,0.7928286852589641,0.6578512396694215,0.5884521903166685,0.5751533179097352
Morgan,KNN,2,2,0.8245187957052365,0.6301580271386618,0.851557322730285,0.5649717514124294,0.9393939393939394,0.7285128957030311,0.7407407407407407,0.6410256410256411,0.5575972511777098,0.5495858518021043
Morgan,KNN,2,3,0.8292128079663491,0.6543461336146863,0.8607427055702918,0.5580736543909348,0.9532467532467532,0.7293708927018607,0.7848605577689243,0.652317880794702,0.5812553613048217,0.5683359095779048
Morgan,KNN,2,4,0.8375176287357592,0.6603638787012793,0.8594164456233422,0.56657223796034,0.9489177489177488,0.7332328774984227,0.7722007722007722,0.6535947712418301,0.5787186486902581,0.5680028971328654
Morgan,KNN,2,5,0.841933975658236,0.6642433069859182,0.8653846153846154,0.5847457627118644,0.951473136915078,0.7459020613627887,0.7870722433460076,0.6709886547811994,0.5989410816481908,0.5886712745487966
Morgan,KNN,3,1,0.8232225401716927,0.6223061007445683,0.8555334658714381,0.5536723163841808,0.948051948051948,0.724506810271965,0.765625,0.6426229508196721,0.5664508201020276,0.555000933388525
Morgan,KNN,3,2,0.8348888399735858,0.6592607561562588,0.8628230616302187,0.5649717514124294,0.954112554112554,0.7341979574621248,0.7905138339920948,0.6589785831960461,0.5888103577411696,0.5760769991816395
Morgan,KNN,3,3,0.8395055369559619,0.6583585759502726,0.8594164456233422,0.56657223796034,0.9489177489177488,0.7332328774984227,0.7722007722007722,0.6535947712418301,0.5787186486902581,0.5680028971328654
Morgan,KNN,3,4,0.8466134432140098,0.6580468693291843,0.8614058355437666,0.6090651558073654,0.9385281385281384,0.7560587192290275,0.7517482517482518,0.672926447574335,0.5914497418108782,0.5862233752048062
Morgan,KNN,3,5,0.8359146275788465,0.6579025375262507,0.866710875331565,0.5847457627118644,0.9532062391681108,0.7465810802210734,0.7931034482758621,0.6731707317073171,0.6026908290586366,0.5918462980318651
Morgan,KNN,4,1,0.8370325531342481,0.6607263010323925,0.8740888005301524,0.6101694915254238,0.9549783549783548,0.7633470097373333,0.8059701492537313,0.6945337620578779,0.6266159025656354,0.6171349822528824
Morgan,KNN,4,2,0.8294739159145939,0.6331169671019958,0.851557322730285,0.5480225988700564,0.9445887445887444,0.7194831330009952,0.751937984496124,0.6339869281045751,0.55444506658164,0.5437420023648704
Morgan,KNN,4,3,0.8432655163533349,0.6607620148251561,0.863395225464191,0.5920679886685553,0.9463203463203465,0.7485225341177232,0.7712177121771218,0.6698717948717948,0.5937511874936429,0.5856181286066062
Morgan,KNN,4,4,0.8305274517739107,0.6396192679192507,0.8554376657824934,0.5864022662889519,0.9376623376623376,0.7415169046077044,0.7419354838709677,0.6550632911392406,0.5714590693332647,0.5652005999349277
Morgan,KNN,4,5,0.8179912169902769,0.6338347369635096,0.853448275862069,0.5508474576271186,0.9462738301559792,0.7219782085080526,0.7587548638132295,0.6382978723404256,0.5603658749687176,0.549291888909325
Morgan,KNN,5,1,0.8430894905471178,0.6729942229213075,0.8681245858184228,0.5903954802259888,0.9532467532467532,0.7501950244149728,0.7946768060836502,0.6774716369529984,0.607251946753027,0.5968431185381198
Morgan,KNN,5,2,0.8240100765524494,0.637149895054643,0.8561961563949636,0.5649717514124294,0.9454545454545454,0.7308591590903796,0.7604562737642585,0.6482982171799028,0.5701495273213539,0.560376666948603
Morgan,KNN,5,3,0.8228026930576506,0.6359566582861559,0.8521220159151194,0.5750708215297451,0.9367965367965368,0.7339784424775734,0.7355072463768116,0.6454689984101749,0.5605003465204138,0.5538082677436988
Morgan,KNN,5,4,0.8399813595281018,0.654018026868658,0.863395225464191,0.5864022662889519,0.948051948051948,0.7456137142631686,0.7752808988764045,0.667741935483871,0.5928534197501507,0.583837268808158
Morgan,KNN,5,5,0.8393734884312977,0.6685792750583998,0.8620689655172413,0.5677966101694916,0.9523396880415944,0.7353470246080339,0.78515625,0.659016393442623,0.5872182586250776,0.5753446912670992
Morgan,Bayesian,1,1,0.8779954508768069,0.7342567637756082,0.829688535453943,0.7005649717514124,0.8692640692640693,0.7803691165906685,0.6215538847117794,0.6586985391766268,0.5475064816468058,0.545772062053093
Morgan,Bayesian,1,2,0.8744050676254066,0.7181980177373505,0.8197481776010603,0.6751412429378532,0.8640692640692641,0.7637858318456288,0.6035353535353535,0.6373333333333333,0.5193448079819023,0.5179038316525366
Morgan,Bayesian,1,3,0.8664238499932551,0.7260502285601843,0.8309018567639257,0.6543909348441926,0.8848484848484849,0.7609446939137348,0.6346153846153846,0.6443514644351465,0.5335759833215907,0.533467920005047
Morgan,Bayesian,1,4,0.8817482800485634,0.7370664269883572,0.8415119363395226,0.7138810198300283,0.8805194805194805,0.7928342479569442,0.6461538461538462,0.6783310901749664,0.5747835175565902,0.5735294117647058
Morgan,Bayesian,1,5,0.8742215727168582,0.7339284161374819,0.8262599469496021,0.632768361581921,0.8856152512998267,0.7485915518872441,0.6292134831460674,0.6309859154929578,0.5173739536427612,0.5173704423965835
Morgan,Bayesian,2,1,0.8640007826448504,0.7219732033987558,0.8164347249834327,0.655367231638418,0.8658008658008658,0.7532712105012769,0.599483204134367,0.6261808367071525,0.5057297886074286,0.5048491245277923
Morgan,Bayesian,2,2,0.8787022770073618,0.7411475700328845,0.8290258449304175,0.672316384180791,0.8770562770562771,0.7678927691504474,0.6263157894736842,0.6485013623978202,0.5363161776891974,0.5357288513963123
Morgan,Bayesian,2,3,0.8771175943980476,0.7238837930719653,0.8322281167108754,0.6798866855524079,0.8787878787878788,0.7729658325001967,0.631578947368421,0.654843110504775,0.544867489450143,0.5442225630880533
Morgan,Bayesian,2,4,0.8763474485854089,0.7166212493823847,0.8368700265251989,0.6798866855524079,0.8848484848484849,0.775626652184997,0.6434316353887399,0.6611570247933884,0.5542055027026422,0.5538407880019725
Morgan,Bayesian,2,5,0.8788199238218332,0.7390126405904324,0.8249336870026526,0.672316384180791,0.8717504332755632,0.7655665217392049,0.616580310880829,0.6432432432432432,0.5284047266642701,0.5275375252779386
Morgan,Bayesian,3,1,0.8589184826472961,0.7057131869803215,0.8157720344599072,0.6751412429378532,0.8588744588744589,0.7614864212131942,0.5945273631840796,0.6322751322751323,0.5118701604722706,0.5100351791896173
Morgan,Bayesian,3,2,0.8722136620441705,0.7235006048166512,0.8197481776010603,0.6581920903954802,0.8692640692640693,0.7564011732239707,0.6067708333333334,0.6314363143631436,0.5131414748975587,0.5123988738016323
Morgan,Bayesian,3,3,0.889876506873674,0.7577882104642237,0.8454907161803713,0.6713881019830028,0.8987012987012987,0.7767736859502417,0.6694915254237288,0.6704384724186704,0.5695302234791191,0.5695292514873223
Morgan,Bayesian,3,4,0.8860625682155427,0.7339579729392766,0.8328912466843501,0.7025495750708215,0.8727272727272727,0.7830288465997037,0.6278481012658228,0.6631016042780749,0.5539991659348884,0.5524558539842707
Morgan,Bayesian,3,5,0.8654312193402461,0.7086550464095538,0.8249336870026526,0.6638418079096046,0.8743500866551126,0.7618596604828539,0.618421052631579,0.6403269754768393,0.5254063775401038,0.5248307536594449
Morgan,Bayesian,4,1,0.8769339887983955,0.7370095130923486,0.831013916500994,0.652542372881356,0.8857142857142857,0.7602408182246697,0.6363636363636364,0.6443514644351465,0.5336253010650107,0.5335529832753296
Morgan,Bayesian,4,2,0.8655611808154181,0.7013764813033984,0.8124585818422797,0.652542372881356,0.8614718614718615,0.7497645581483345,0.5907928388746803,0.6201342281879194,0.4971168551869707,0.4960365929214505
Morgan,Bayesian,4,3,0.8885422415167457,0.7661111108586094,0.8481432360742706,0.7195467422096318,0.8874458874458875,0.7990987405815528,0.6614583333333334,0.689280868385346,0.5899469969355182,0.5890333360308084
Morgan,Bayesian,4,4,0.8637602246667403,0.7005848617393253,0.8222811671087533,0.6657223796033994,0.8701298701298701,0.761094558978616,0.6103896103896104,0.6368563685636857,0.520359107732612,0.5195019819425652
Morgan,Bayesian,4,5,0.8759840495843492,0.7305178897355857,0.8328912466843501,0.6694915254237288,0.8830155979202773,0.7688767519079975,0.6370967741935484,0.6528925619834711,0.5432275427408163,0.5429379672661143
Morgan,Bayesian,5,1,0.8790728104287426,0.7326940858647086,0.827037773359841,0.6779661016949152,0.8727272727272727,0.7692070637570512,0.6201550387596899,0.6477732793522267,0.5343804526839637,0.5334498971182446
Morgan,Bayesian,5,2,0.8774072443563969,0.7300526499835677,0.8330019880715706,0.692090395480226,0.8761904761904762,0.7787188280648376,0.6314432989690721,0.660377358490566,0.550981468210326,0.5499648509894979
Morgan,Bayesian,5,3,0.861341868707308,0.7241086077017099,0.8309018567639257,0.6628895184135978,0.8822510822510823,0.7647450523104385,0.6324324324324324,0.6473029045643154,0.5364322507520612,0.5361757355282584
Morgan,Bayesian,5,4,0.8732864868842207,0.714960887048627,0.8269230769230769,0.6543909348441926,0.8796536796536797,0.7587077130013279,0.6243243243243243,0.6390041493775933,0.5255135174445128,0.5252622234230409
Morgan,Bayesian,5,5,0.8864769066572669,0.7450981069691904,0.8322281167108754,0.6807909604519774,0.878682842287695,0.7734334723385802,0.6325459317585301,0.6557823129251701,0.5457074026635164,0.5450638659149663
Morgan,LogisticRegression,1,1,0.9301954166360946,0.8493518625511014,0.8595096090125911,0.8361581920903954,0.8666666666666667,0.8512757679771047,0.6577777777777778,0.736318407960199,0.6510067628618922,0.6424154628251043
Morgan,LogisticRegression,1,2,0.905361117225524,0.7737392803355093,0.8290258449304175,0.7937853107344632,0.8398268398268398,0.8164816035986912,0.6030042918454935,0.6853658536585366,0.5811403191273171,0.5709723489506883
Morgan,LogisticRegression,1,3,0.9104055528984708,0.8083817341191072,0.8494694960212201,0.7677053824362606,0.8744588744588745,0.8193453390611509,0.6514423076923077,0.7048114434330299,0.6083681779247795,0.60469585059749
Morgan,LogisticRegression,1,4,0.91870792097421,0.8041240616552879,0.8580901856763926,0.8243626062322946,0.8683982683982684,0.8460940017423645,0.6568848758465011,0.7311557788944724,0.6439987578130146,0.636425907774811
Morgan,LogisticRegression,1,5,0.9168110918544194,0.809781831634738,0.8647214854111406,0.807909604519774,0.8821490467937608,0.8442136504005624,0.6777251184834123,0.7371134020618557,0.651507474150933,0.6469810610581204
Morgan,LogisticRegression,2,1,0.9127106415242008,0.8022684324391197,0.8522200132538105,0.7824858757062146,0.8735930735930736,0.8267854868110348,0.6548463356973995,0.712998712998713,0.6189614912483945,0.6145434926787696
Morgan,LogisticRegression,2,2,0.9149044928705944,0.8118502075205194,0.8575215374420145,0.7740112994350282,0.8831168831168831,0.82676625853642,0.6699266503667481,0.7182175622542595,0.6264475569825148,0.6235357596644213
Morgan,LogisticRegression,2,3,0.9131525698097936,0.7918963699415669,0.8381962864721485,0.8045325779036827,0.8484848484848485,0.8262164985424406,0.6187363834422658,0.6995073891625616,0.6009094431912317,0.5913651295697002
Morgan,LogisticRegression,2,4,0.9114504004022416,0.8040095750220339,0.8514588859416445,0.8073654390934845,0.8649350649350649,0.8356546406791804,0.6462585034013606,0.7178841309823678,0.6258067990523092,0.6187475028385812
Morgan,LogisticRegression,2,5,0.9172223364568342,0.810594271072688,0.8574270557029178,0.807909604519774,0.8726169844020797,0.8396401864879515,0.6605080831408776,0.7268106734434562,0.6375312145110471,0.6316652882421907
Morgan,LogisticRegression,3,1,0.9061706654926996,0.795253825738994,0.8462557985420809,0.7853107344632768,0.8649350649350649,0.8241618719081816,0.6405529953917051,0.7055837563451777,0.6087249204095001,0.6029938082601891
Morgan,LogisticRegression,3,2,0.91982048083743,0.8196607904197389,0.8588469184890656,0.7909604519774012,0.8796536796536797,0.8341290499931402,0.6682577565632458,0.7244501940491591,0.6345196318879295,0.6304723472502458
