Descriptor,Model,ROC_AUC,PR_AUC,Accuracy,Sensitivity,Specificity,GMean,Precision,F1,MCC,Kappa
Mordred,Bayesian,0.801,0.527,0.695,0.814,0.659,0.732,0.422,0.556,0.402,0.358
Mordred,KNN,0.88,0.705,0.849,0.585,0.93,0.737,0.72,0.645,0.555,0.551
Mordred,LightGBM,0.93,0.827,0.882,0.66,0.95,0.792,0.802,0.724,0.655,0.65
Mordred,LogisticRegression,0.917,0.784,0.834,0.851,0.828,0.84,0.603,0.706,0.612,0.594
Mordred,RandomForest,0.917,0.795,0.867,0.695,0.92,0.799,0.726,0.71,0.624,0.623
Mordred,XGBoost,0.931,0.828,0.882,0.665,0.949,0.794,0.801,0.726,0.657,0.652
Morgan,Bayesian,0.875,0.728,0.829,0.673,0.877,0.768,0.626,0.649,0.537,0.536
Morgan,KNN,0.834,0.651,0.86,0.573,0.948,0.737,0.771,0.658,0.582,0.572
Morgan,LightGBM,0.913,0.805,0.879,0.655,0.948,0.788,0.793,0.717,0.646,0.641
Morgan,LogisticRegression,0.916,0.807,0.852,0.8,0.868,0.833,0.65,0.717,0.625,0.619
Morgan,RandomForest,0.912,0.805,0.876,0.627,0.952,0.773,0.801,0.703,0.634,0.626
Morgan,XGBoost,0.922,0.82,0.883,0.664,0.95,0.794,0.804,0.727,0.659,0.654
Morgan,vNN,0.7804360993159147,0.7573649518668334,0.8642534360591534,0.622631199884765,0.9382409987470646,0.7641386638418587,0.7555090993554426,0.6823569792152497,0.6018151002654105,0.5971037716431988
