Descriptor,Model,Repeat,Fold,ROC_AUC,PR_AUC,Accuracy,Sensitivity,Specificity,GMean,Precision,F1,MCC,Kappa
Morgan,KNN,1,1,0.8388348428938834,0.8314377986840913,0.7704918032786885,0.7103321033210332,0.8363636363636363,0.7707761938198465,0.8261802575107297,0.7638888888888888,0.5489552208240159,0.5430804662391326
Morgan,KNN,1,2,0.8484680755898468,0.8420376953865667,0.7791706846673095,0.7472324723247232,0.8141414141414142,0.7799698082046737,0.8148893360160966,0.7795957651588066,0.561279751496671,0.5591698456454951
Morgan,KNN,1,3,0.8328260155071187,0.8316941712230641,0.7644787644787645,0.7121771217712177,0.8218623481781376,0.7650565741287636,0.8143459915611815,0.7598425196850394,0.5354009596650409,0.5308040686019749
Morgan,KNN,1,4,0.8252760057964952,0.8160586024029685,0.7451737451737451,0.6900369003690037,0.805668016194332,0.7456142840780219,0.7957446808510639,0.7391304347826086,0.4973122986505705,0.4925262361026585
Morgan,KNN,1,5,0.8538084318090146,0.83848309875893,0.777992277992278,0.7398523985239852,0.819838056680162,0.7788190756755132,0.8183673469387756,0.7771317829457365,0.5599079796799868,0.5570937857812013
Morgan,KNN,2,1,0.8549032763054903,0.8425638154091736,0.781099324975892,0.7453874538745388,0.8202020202020202,0.7819004383558925,0.8194726166328601,0.7806763285024154,0.5656928006223194,0.5631723398214454
Morgan,KNN,2,2,0.8545640910954565,0.8531294957169961,0.7849566055930569,0.7398523985239852,0.8343434343434344,0.7856786818361111,0.8302277432712215,0.7824390243902439,0.5749549685588388,0.5712436938331669
Morgan,KNN,2,3,0.8353601147347506,0.8345835815402979,0.7654440154440154,0.7177121771217713,0.8178137651821862,0.7661298179088579,0.8121085594989561,0.761998041136141,0.5364735041534394,0.5325187551065884
Morgan,KNN,2,4,0.8388167231874748,0.8326454267415165,0.7693050193050193,0.7103321033210332,0.8340080971659919,0.769690019323813,0.8244111349036403,0.7631318136769079,0.5464103954115799,0.5407051805244334
Morgan,KNN,2,5,0.8512612605883143,0.8388570416990457,0.777992277992278,0.7361623616236163,0.8238866396761133,0.7787903019260788,0.8209876543209876,0.7762645914396887,0.5605181313248904,0.5572517949251558
Morgan,KNN,3,1,0.8506932796600694,0.8454558890774351,0.7714561234329798,0.7140221402214022,0.8343434343434344,0.7718417484624513,0.8251599147121536,0.7655786350148368,0.5503156154000854,0.5448814931547691
Morgan,KNN,3,2,0.8239572850273957,0.8146546874871659,0.7540983606557377,0.6937269372693727,0.8202020202020202,0.7543183912757925,0.8086021505376344,0.746772591857001,0.5161558343217905,0.5104859505478536
Morgan,KNN,3,3,0.8339109909317718,0.8285777944259483,0.7664092664092664,0.7472324723247232,0.7874493927125507,0.7670774123562766,0.7941176470588235,0.7699619771863118,0.5341713754699805,0.5331525868104694
Morgan,KNN,3,4,0.8556048971420888,0.8553525084997118,0.778957528957529,0.7546125461254612,0.805668016194332,0.7797225102767357,0.80990099009901,0.7812798471824259,0.5598552098539425,0.5584285054869786
Morgan,KNN,3,5,0.8601259393160733,0.8563610073760031,0.7876447876447876,0.7324723247232472,0.8481781376518218,0.7882049303736081,0.8411016949152542,0.7830374753451677,0.5823275573743617,0.5770298558427484
Morgan,KNN,4,1,0.8520276566402027,0.8490334543583822,0.7743490838958534,0.7121771217712177,0.8424242424242424,0.7745677970842808,0.8318965517241379,0.7673956262425448,0.5571175954279994,0.5508379515998267
Morgan,KNN,4,2,0.8437288009243729,0.8361186847356996,0.7839922854387656,0.7509225092250923,0.8202020202020202,0.7847981645503452,0.8205645161290323,0.7842003853564548,0.571075574284362,0.5688325766322284
Morgan,KNN,4,3,0.8303964922240316,0.8221497758747057,0.7683397683397684,0.7398523985239852,0.7995951417004049,0.7691439289464427,0.802,0.7696737044145874,0.539193859718051,0.5374242807602435
Morgan,KNN,4,4,0.8471697267579963,0.8429515418208702,0.7722007722007722,0.7343173431734318,0.8137651821862348,0.773021271731923,0.8122448979591836,0.7713178294573644,0.5482955383973862,0.5455397106276674
Morgan,KNN,4,5,0.8380193316103202,0.8349118813165639,0.7722007722007722,0.7324723247232472,0.8157894736842105,0.773009192878214,0.8135245901639344,0.7708737864077669,0.5485938236760808,0.5456207906513433
Morgan,KNN,5,1,0.82470088337247,0.8189092906577531,0.7521697203471552,0.7195571955719557,0.7878787878787878,0.752943458074172,0.7878787878787878,0.7521697203471552,0.5074359834507436,0.5053555287877073
Morgan,KNN,5,2,0.8561370159156136,0.8421548781686248,0.7907425265188043,0.7453874538745388,0.8404040404040404,0.7914711794516859,0.8364389233954451,0.7882926829268293,0.5865659604198883,0.5827797379452788
Morgan,KNN,5,3,0.8448615862676845,0.8442962840303361,0.7712355212355212,0.7343173431734318,0.8117408906882592,0.7720592038149908,0.8105906313645621,0.7705711519845111,0.5462143185624654,0.5435733087458918
Morgan,KNN,5,4,0.8410258900159853,0.8356952925076397,0.7731660231660231,0.7214022140221402,0.8299595141700404,0.7737794460122387,0.8231578947368421,0.7689282202556539,0.5526771371793663,0.5480702119128589
Morgan,KNN,5,5,0.8341350822415107,0.8355950435391112,0.7625482625482626,0.7121771217712177,0.8178137651821862,0.7631698719369966,0.8109243697478992,0.7583497053045186,0.5311706010938207,0.5268738954153238
Morgan,Bayesian,1,1,0.8108762905810877,0.8204430758471457,0.7405978784956606,0.6881918819188192,0.797979797979798,0.7410554762667343,0.7885835095137421,0.734975369458128,0.4875529375319018,0.4832509915287047
