Descriptor,Model,ROC_AUC,PR_AUC,Accuracy,Sensitivity,Specificity,GMean,Precision,F1,MCC,Kappa
Mordred,Bayesian,0.9,0.923,0.812,0.781,0.855,0.815,0.887,0.828,0.632,0.622
Mordred,KNN,0.833,0.819,0.844,0.898,0.768,0.829,0.844,0.869,0.681,0.675
Mordred,LightGBM,0.969,0.98,0.924,0.931,0.913,0.921,0.938,0.934,0.845,0.843
Mordred,LogisticRegression,0.961,0.975,0.89,0.901,0.874,0.886,0.911,0.905,0.776,0.773
Mordred,RandomForest,0.963,0.975,0.896,0.907,0.879,0.892,0.914,0.909,0.789,0.786
Mordred,XGBoost,0.968,0.98,0.914,0.935,0.885,0.909,0.921,0.927,0.825,0.822
Morgan,Bayesian,0.913,0.929,0.844,0.848,0.837,0.841,0.881,0.863,0.685,0.681
Morgan,KNN,0.771,0.763,0.661,0.995,0.196,0.436,0.633,0.773,0.335,0.214
Morgan,LightGBM,0.961,0.975,0.907,0.922,0.886,0.903,0.922,0.921,0.813,0.809
Morgan,LogisticRegression,0.946,0.959,0.872,0.876,0.865,0.869,0.904,0.887,0.743,0.738
Morgan,RandomForest,0.938,0.954,0.872,0.89,0.846,0.867,0.891,0.889,0.74,0.737
Morgan,XGBoost,0.946,0.959,0.901,0.915,0.881,0.896,0.918,0.914,0.8,0.796
