Descriptor,Model,ROC_AUC,PR_AUC,Accuracy,Sensitivity,Specificity,GMean,Precision,F1,MCC,Kappa
Mordred,Bayesian,0.856,0.589,0.752,0.797,0.743,0.769,0.4,0.532,0.431,0.388
Mordred,KNN,0.862,0.6,0.876,0.61,0.934,0.755,0.664,0.636,0.562,0.561
Mordred,LightGBM,0.938,0.808,0.906,0.627,0.966,0.778,0.797,0.702,0.654,0.647
Mordred,LogisticRegression,0.911,0.702,0.832,0.839,0.831,0.835,0.516,0.639,0.565,0.538
Mordred,RandomForest,0.926,0.768,0.89,0.642,0.943,0.778,0.708,0.673,0.608,0.607
Mordred,XGBoost,0.938,0.809,0.905,0.618,0.967,0.772,0.799,0.696,0.649,0.641
Morgan,Bayesian,0.865,0.599,0.831,0.657,0.868,0.755,0.518,0.579,0.481,0.475
Morgan,KNN,0.784,0.473,0.871,0.648,0.919,0.772,0.634,0.641,0.563,0.562
Morgan,LightGBM,0.922,0.78,0.899,0.627,0.958,0.774,0.763,0.687,0.633,0.628
Morgan,LogisticRegression,0.907,0.735,0.859,0.774,0.877,0.823,0.575,0.659,0.583,0.572
Morgan,RandomForest,0.916,0.755,0.866,0.744,0.892,0.814,0.596,0.662,0.585,0.579
Morgan,XGBoost,0.927,0.794,0.902,0.641,0.958,0.783,0.768,0.698,0.644,0.64
