Descriptor,Model,Repeat,Fold,ROC_AUC,PR_AUC,Accuracy,Sensitivity,Specificity,GMean,Precision,F1,MCC,Kappa
Morgan,KNN,1,1,0.74331257664591,0.427488576085094,0.8373983739837398,0.4069264069264069,0.9369369369369369,0.6174660972590975,0.5987261146496815,0.4845360824742268,0.4024620444184759,0.39215133949088965
Morgan,KNN,1,2,0.7820331153664488,0.5302009235582164,0.8634146341463415,0.46320346320346323,0.955955955955956,0.6654337754192945,0.7086092715231788,0.5602094240837696,0.49884861173714873,0.48352653599868034
Morgan,KNN,1,3,0.7751149417816084,0.48819464055781014,0.843089430894309,0.4329004329004329,0.9379379379379379,0.6372077678175876,0.6172839506172839,0.5089058524173028,0.42828243669832955,0.4189393605616013
Morgan,KNN,1,4,0.7906044572711238,0.49889930051696846,0.8455284552845529,0.42857142857142855,0.9419419419419419,0.6353655669686575,0.6305732484076433,0.5103092783505154,0.43365357559150813,0.4225437725163451
Morgan,KNN,1,5,0.7874801326791515,0.5113822884307357,0.8520325203252033,0.4482758620689655,0.9458917835671342,0.6511685301843974,0.6582278481012658,0.5333333333333333,0.46085499635938004,0.44914712048584104
Morgan,KNN,2,1,0.7824491157824491,0.5438437689934347,0.865040650406504,0.4805194805194805,0.953953953953954,0.6770476042299082,0.7070063694267515,0.5721649484536082,0.5085132504067855,0.49548561177743844
Morgan,KNN,2,2,0.8202704869371535,0.5607725005472981,0.8691056910569106,0.5324675324675324,0.9469469469469469,0.7100834487709906,0.6988636363636364,0.6044226044226044,0.5347160761606601,0.5277106020062103
Morgan,KNN,2,3,0.7521937521937522,0.4591563640372933,0.8439024390243902,0.42857142857142855,0.93993993993994,0.634690005302906,0.6226415094339622,0.5076923076923077,0.42898916842462337,0.4186716292259294
Morgan,KNN,2,4,0.7464607464607464,0.45145861867678094,0.8276422764227642,0.354978354978355,0.9369369369369369,0.5767081866874552,0.5655172413793104,0.43617021276595747,0.3535466364611867,0.34066600925434276
Morgan,KNN,2,5,0.7631491431138138,0.4725060333398179,0.8463414634146341,0.40086206896551724,0.9498997995991983,0.6170727663552046,0.6503496503496503,0.496,0.42809371050079825,0.4113163399156238
Morgan,KNN,3,1,0.7966082966082966,0.5025320488342524,0.8512195121951219,0.49783549783549785,0.9329329329329329,0.6815035811452481,0.6318681318681318,0.5569007263922519,0.47382314048178764,0.4690096389293853
Morgan,KNN,3,2,0.7524320857654191,0.4736687807737787,0.8495934959349594,0.4069264069264069,0.9519519519519519,0.6223940772327348,0.6619718309859155,0.5040214477211796,0.4386088440003692,0.42126627092521096
Morgan,KNN,3,3,0.7793182793182793,0.4729985242204824,0.8455284552845529,0.4155844155844156,0.944944944944945,0.6266613062128479,0.6357615894039735,0.5026178010471204,0.42907200165326875,0.4158931061889838
Morgan,KNN,3,4,0.7819009485676153,0.5041014846679678,0.8512195121951219,0.45021645021645024,0.943943943943944,0.6519042043473553,0.65,0.5319693094629157,0.45762510069402745,0.4469669049900493
Morgan,KNN,3,5,0.7828976919355952,0.5018985505961855,0.8577235772357723,0.46551724137931033,0.9488977955911824,0.6646264245081713,0.6792452830188679,0.5524296675191815,0.48322731000210273,0.47133025832977204
Morgan,KNN,4,1,0.7558467558467559,0.47115750760570185,0.8422764227642277,0.38961038961038963,0.9469469469469469,0.6074046171543059,0.6293706293706294,0.48128342245989303,0.4100766163645929,0.3942947653786991
Morgan,KNN,4,2,0.8013273013273015,0.4889671107170515,0.8414634146341463,0.4675324675324675,0.9279279279279279,0.6586626100185389,0.6,0.5255474452554745,0.436979263426953,0.43213296398891965
Morgan,KNN,4,3,0.7726167726167725,0.49801298559531815,0.848780487804878,0.42424242424242425,0.9469469469469469,0.6338257397753226,0.6490066225165563,0.5130890052356021,0.441758658032156,0.42819009342711045
Morgan,KNN,4,4,0.7973882973882975,0.5059297253563406,0.8512195121951219,0.45454545454545453,0.9429429429429429,0.6546834568021622,0.6481481481481481,0.5343511450381679,0.4590606388728923,0.4490461294444199
Morgan,KNN,4,5,0.7663862207172967,0.48481690967468616,0.8479674796747968,0.4396551724137931,0.9428857715430862,0.6438513853788682,0.6415094339622641,0.5217391304347826,0.4460606272042922,0.43507861890095634
Morgan,KNN,5,1,0.7819269485936152,0.4996316383154338,0.8512195121951219,0.45021645021645024,0.943943943943944,0.6519042043473553,0.65,0.5319693094629157,0.45762510069402745,0.4469669049900493
Morgan,KNN,5,2,0.7742829409496076,0.46080567324298044,0.8463414634146341,0.47619047619047616,0.9319319319319319,0.6661659781494227,0.6179775280898876,0.5378973105134475,0.4530658241518092,0.4475969146979569
Morgan,KNN,5,3,0.7680949347616014,0.5021577302791969,0.8536585365853658,0.43722943722943725,0.94994994994995,0.6444734920947088,0.6688741721854304,0.5287958115183246,0.4607886426004869,0.44663557428430034
Morgan,KNN,5,4,0.7624810958144292,0.471083072005154,0.8439024390243902,0.42424242424242425,0.9409409409409409,0.6318125242931898,0.6242038216560509,0.5051546391752577,0.42741526935690166,0.4164652859112541
Morgan,KNN,5,5,0.7723161840923227,0.49611492839989396,0.8495934959349594,0.43103448275862066,0.9468937875751503,0.638861388686784,0.6535947712418301,0.5194805194805194,0.4479866537817026,0.4347398387313133
Morgan,Bayesian,1,1,0.7600349267015933,0.4977456823460417,0.7934959349593496,0.48484848484848486,0.8648648648648649,0.6475557268130824,0.4534412955465587,0.4686192468619247,0.3409382358360638,0.34064403388585685
Morgan,Bayesian,1,2,0.8065121398454732,0.5657781219489266,0.8130081300813008,0.6103896103896104,0.8598598598598599,0.7244649921490512,0.501779359430605,0.55078125,0.437452379171034,0.4341298320991803
Morgan,Bayesian,1,3,0.80975780975781,0.5200001904597534,0.8097560975609757,0.6233766233766234,0.8528528528528528,0.7291423260574932,0.4948453608247423,0.5517241379310345,0.43764877379302,0.4329988298287295
Morgan,Bayesian,1,4,0.8192824859491525,0.5566942444266338,0.8382113821138212,0.6060606060606061,0.8918918918918919,0.7352146220938077,0.5645161290322581,0.5845511482254697,0.4847246046322664,0.4842539096575178
Morgan,Bayesian,1,5,0.8159875786054868,0.5546007864051936,0.8276422764227642,0.5474137931034483,0.8927855711422845,0.6990873592956938,0.5427350427350427,0.5450643776824035,0.43875398719796216,0.43874783686752594
Morgan,Bayesian,2,1,0.8136036469369803,0.6007195031615509,0.824390243902439,0.5974025974025974,0.8768768768768769,0.7237738071031058,0.5287356321839081,0.5609756097560976,0.4530445618195013,0.4517291333902901
Morgan,Bayesian,2,2,0.815035815035815,0.5474940559541499,0.8138211382113821,0.6406926406926406,0.8538538538538538,0.7396336122643519,0.5034013605442177,0.5638095238095238,0.4528811788215984,0.4476214009201407
Morgan,Bayesian,2,3,0.7957112957112958,0.5250868633747833,0.8138211382113821,0.5670995670995671,0.8708708708708709,0.7027592004879721,0.5038461538461538,0.5336048879837068,0.41894883831606045,0.41780864388912997
Morgan,Bayesian,2,4,0.7976981310314644,0.4834730174860734,0.8089430894308943,0.5411255411255411,0.8708708708708709,0.6864768541258119,0.4921259842519685,0.5154639175257731,0.39750299093640423,0.3968096961197992
Morgan,Bayesian,2,5,0.809921567272476,0.5593050605892566,0.8252032520325203,0.5344827586206896,0.8927855711422845,0.6907810759718858,0.5367965367965368,0.5356371490280778,0.42797779021161697,0.42797627545392014
