Descriptor,Model,ROC_AUC,PR_AUC,Accuracy,Sensitivity,Specificity,GMean,Precision,F1,MCC,Kappa
Mordred,Bayesian,0.743,0.44,0.692,0.619,0.709,0.662,0.33,0.43,0.268,0.245
Mordred,KNN,0.793,0.495,0.843,0.504,0.922,0.681,0.6,0.547,0.456,0.453
Mordred,LightGBM,0.873,0.68,0.872,0.499,0.958,0.691,0.734,0.593,0.534,0.52
Mordred,LogisticRegression,0.842,0.588,0.788,0.762,0.794,0.777,0.461,0.574,0.469,0.444
Mordred,RandomForest,0.867,0.654,0.86,0.597,0.921,0.741,0.636,0.616,0.531,0.53
Mordred,XGBoost,0.873,0.68,0.871,0.491,0.959,0.685,0.735,0.588,0.53,0.515
Morgan,Bayesian,0.805,0.54,0.817,0.577,0.873,0.709,0.513,0.542,0.43,0.429
Morgan,KNN,0.776,0.491,0.849,0.44,0.944,0.644,0.644,0.522,0.448,0.437
Morgan,LightGBM,0.852,0.643,0.862,0.498,0.946,0.686,0.681,0.574,0.503,0.494
Morgan,LogisticRegression,0.848,0.621,0.814,0.714,0.837,0.773,0.503,0.59,0.487,0.474
Morgan,RandomForest,0.854,0.645,0.851,0.586,0.912,0.731,0.608,0.596,0.505,0.505
Morgan,XGBoost,0.858,0.657,0.863,0.492,0.949,0.683,0.692,0.574,0.506,0.496
