Descriptor,Model,Repeat,Fold,ROC_AUC,PR_AUC,Accuracy,Sensitivity,Specificity,GMean,Precision,F1,MCC,Kappa
Morgan,KNN,1,1,0.7869059011164274,0.45284536022256705,0.8694915254237288,0.45263157894736844,0.9494949494949495,0.6555695220130744,0.6323529411764706,0.5276073619631901,0.46284696348597526,0.45429429429429424
Morgan,KNN,1,2,0.7925013290802764,0.44889270024507133,0.8635593220338983,0.39473684210526316,0.9535353535353536,0.6135108265469088,0.6198347107438017,0.48231511254019294,0.42196121720901414,0.4081619937694704
Morgan,KNN,1,3,0.8037612971823498,0.4601261310879198,0.8567796610169491,0.4421052631578947,0.9363636363636364,0.6434060085715929,0.5714285714285714,0.49851632047477745,0.4212265790751737,0.4165593914569924
Morgan,KNN,1,4,0.784511829072679,0.5011098173693338,0.8771186440677966,0.450261780104712,0.9595551061678463,0.6573058574299337,0.6825396825396826,0.5425867507886435,0.4887638765894036,0.4750374315799809
Morgan,KNN,1,5,0.7793794567467269,0.46326592847432146,0.8652542372881356,0.4083769633507853,0.9534883720930233,0.6240053573372848,0.6290322580645161,0.49523809523809526,0.4346293096110162,0.4215186907243196
Morgan,KNN,2,1,0.8196012759170654,0.5210233097034269,0.8847457627118644,0.49473684210526314,0.9595959595959596,0.6890192121758831,0.7014925373134329,0.5802469135802469,0.5263204555143464,0.5157513578756789
Morgan,KNN,2,2,0.806060606060606,0.48389361548732124,0.8686440677966102,0.4,0.9585858585858585,0.6192207550093451,0.6495726495726496,0.495114006514658,0.44098924015320556,0.4244808055380743
Morgan,KNN,2,3,0.7848112706007442,0.4453812199246257,0.8610169491525423,0.4,0.9494949494949495,0.6162775184914503,0.6031746031746031,0.4810126582278481,0.41593907721301865,0.40455384615384615
Morgan,KNN,2,4,0.799424560214718,0.47187786488411787,0.8677966101694915,0.4712041884816754,0.9443882709807887,0.6670829849719712,0.6206896551724138,0.5357142857142857,0.46626016442562035,0.4603183910404879
Morgan,KNN,2,5,0.7863090858077598,0.46108173934331304,0.8610169491525423,0.4397905759162304,0.942366026289181,0.6437730170064666,0.5957446808510638,0.5060240963855421,0.4339491742033344,0.4272827894808493
Morgan,KNN,3,1,0.7599734183944711,0.40689610864161835,0.8559322033898306,0.4052631578947368,0.9424242424242424,0.6180047124103533,0.5746268656716418,0.47530864197530864,0.402777413885306,0.39468919734459873
Morgan,KNN,3,2,0.7807868155236577,0.4565418665701811,0.8677966101694915,0.47368421052631576,0.9434343434343434,0.6684982813389351,0.6164383561643836,0.5357142857142857,0.46560454255336087,0.4601759530791788
Morgan,KNN,3,3,0.8031977671451356,0.4778345428511789,0.8720338983050847,0.4421052631578947,0.9545454545454546,0.6496226361342333,0.6511627906976745,0.5266457680250783,0.4672038673433402,0.4557727550397067
Morgan,KNN,3,4,0.7985087268857961,0.4975713744060536,0.8754237288135593,0.4607329842931937,0.9555106167846309,0.663502266759514,0.6666666666666666,0.544891640866873,0.48640137351748125,0.4755016388683947
Morgan,KNN,3,5,0.7841306730051509,0.4463257630607196,0.8610169491525423,0.3769633507853403,0.9544994944388271,0.5998427525165021,0.6153846153846154,0.4675324675324675,0.4084981746371132,0.3928708124964705
Morgan,KNN,4,1,0.8098511430090378,0.5175270962632993,0.8745762711864407,0.4631578947368421,0.9535353535353536,0.6645580688702717,0.6567164179104478,0.5432098765432098,0.48271702905703806,0.4730235365117683
Morgan,KNN,4,2,0.7893487506645401,0.45692917297188623,0.8652542372881356,0.3894736842105263,0.9565656565656566,0.6103745984654729,0.6324786324786325,0.4820846905537459,0.42555952026052113,0.4096286972938956
Morgan,KNN,4,3,0.7974481658692185,0.4601826314452575,0.861864406779661,0.4105263157894737,0.9484848484848485,0.6240015948942935,0.6046511627906976,0.4890282131661442,0.4228692824245512,0.41252290775809397
Morgan,KNN,4,4,0.8191758558806559,0.50815876669725,0.8779661016949153,0.5078534031413613,0.9494438827098078,0.6943906011215326,0.6598639455782312,0.5739644970414202,0.5100404556475909,0.5041524894509843
Morgan,KNN,4,5,0.7673174553597426,0.448033880963156,0.8686440677966102,0.43455497382198954,0.9524772497472194,0.6433535002857632,0.6384615384615384,0.5171339563862928,0.45529788071570404,0.4442756441419543
Morgan,KNN,5,1,0.7862493354598618,0.4473396473223176,0.8661016949152542,0.4263157894736842,0.9505050505050505,0.6365652448922928,0.6230769230769231,0.50625,0.44234689731647764,0.4319317489335771
Morgan,KNN,5,2,0.8035406698564593,0.5037205749016291,0.8796610169491526,0.4842105263157895,0.9555555555555556,0.6802132448574728,0.6764705882352942,0.5644171779141104,0.5061700266996282,0.4968168168168168
Morgan,KNN,5,3,0.8043195108984583,0.5014295655153637,0.8737288135593221,0.45789473684210524,0.9535353535353536,0.6607713823832828,0.6541353383458647,0.5386996904024768,0.4781798677407611,0.46817906836055656
Morgan,KNN,5,4,0.7786594952858406,0.48504935771774,0.8745762711864407,0.450261780104712,0.9565217391304348,0.6562660900653976,0.6666666666666666,0.5375,0.4801555636729668,0.46808316226143853
Morgan,KNN,5,5,0.8050783752163855,0.4857583062687789,0.8762711864406779,0.4816753926701571,0.9524772497472194,0.6773365878803411,0.6618705035971223,0.5575757575757576,0.4960489254426543,0.48772234479723586
Morgan,Bayesian,1,1,0.8535300372142477,0.5649192926011041,0.8406779661016949,0.6263157894736842,0.8818181818181818,0.7431666372474637,0.5042372881355932,0.5586854460093896,0.4669072631096004,0.46285714285714286
Morgan,Bayesian,1,2,0.8394205209994684,0.5501180484895094,0.838135593220339,0.6105263157894737,0.8818181818181818,0.7337391946336429,0.4978540772532189,0.5484633569739953,0.45458022201510256,0.4510959571358987
Morgan,Bayesian,1,3,0.8111270600744284,0.4791715898842349,0.823728813559322,0.5894736842105263,0.8686868686868687,0.715589301841604,0.4628099173553719,0.5185185185185185,0.4170642742969714,0.41254188606988984
Morgan,Bayesian,1,4,0.8568494274718236,0.5441597093829238,0.8415254237288136,0.6282722513089005,0.8827098078867543,0.744702677753651,0.5084745762711864,0.5620608899297423,0.47052042748553247,0.4666286366229322
Morgan,Bayesian,1,5,0.8170186184151319,0.5386759757935735,0.8372881355932204,0.5916230366492147,0.884732052578362,0.7234831467057842,0.4977973568281938,0.5406698564593302,0.44512937985724293,0.44269247231419384
Morgan,Bayesian,2,1,0.8544231791600211,0.6065585356187813,0.8516949152542372,0.6684210526315789,0.8868686868686869,0.7699361669792852,0.5313807531380753,0.5920745920745921,0.5078322581528811,0.5028887818969667
Morgan,Bayesian,2,2,0.826342371079213,0.5105987355924555,0.8296610169491525,0.5421052631578948,0.8848484848484849,0.6925900813133642,0.47465437788018433,0.5061425061425061,0.40507199382956705,0.4037707390648567
Morgan,Bayesian,2,3,0.8214194577352473,0.47284570706679047,0.8330508474576271,0.5684210526315789,0.8838383838383839,0.7087964055337806,0.484304932735426,0.5230024213075061,0.42459378669609926,0.42260307998012914
Morgan,Bayesian,2,4,0.8524026066839951,0.561811846971814,0.8347457627118644,0.6178010471204188,0.8766430738119313,0.7359286711033032,0.49166666666666664,0.5475638051044084,0.4524415683399195,0.4480690813144639
Morgan,Bayesian,2,5,0.8368599092636806,0.5559884648780926,0.8271186440677966,0.5968586387434555,0.871587462082912,0.7212589730219444,0.4730290456431535,0.5277777777777778,0.42798952555654635,0.423698461567927
Morgan,Bayesian,3,1,0.822849548112706,0.4871867292484612,0.8338983050847457,0.6,0.8787878787878788,0.7261354744623948,0.48717948717948717,0.5377358490566038,0.44135093192126584,0.4378220709771512
Morgan,Bayesian,3,2,0.8470122275385433,0.5771458951189135,0.8440677966101695,0.6368421052631579,0.8838383838383839,0.7502436251485403,0.5127118644067796,0.568075117370892,0.4784358375073683,0.4742857142857143
Morgan,Bayesian,3,3,0.8377777777777777,0.5275496799824022,0.8313559322033899,0.5789473684210527,0.8797979797979798,0.7136923182620077,0.48034934497816595,0.5250596658711217,0.42634195425540394,0.42361315660284726
Morgan,Bayesian,3,4,0.8358964314263178,0.585429999917949,0.8483050847457627,0.6230366492146597,0.8918099089989889,0.7454061023624375,0.5265486725663717,0.5707434052757794,0.4819081113517778,0.47940492152377945
