Descriptor,Model,ROC_AUC,PR_AUC,Accuracy,Sensitivity,Specificity,GMean,Precision,F1,MCC,Kappa
Mordred,Bayesian,0.801,0.459,0.79,0.664,0.814,0.735,0.408,0.505,0.4,0.381
Mordred,KNN,0.711,0.341,0.84,0.521,0.902,0.685,0.505,0.512,0.417,0.417
Mordred,LightGBM,0.888,0.649,0.885,0.493,0.961,0.688,0.707,0.58,0.528,0.516
Mordred,LogisticRegression,0.852,0.542,0.796,0.77,0.802,0.785,0.428,0.55,0.463,0.432
Mordred,RandomForest,0.885,0.633,0.879,0.566,0.939,0.729,0.641,0.601,0.532,0.53
Mordred,XGBoost,0.892,0.659,0.887,0.478,0.965,0.679,0.727,0.576,0.529,0.514
Morgan,Bayesian,0.837,0.539,0.837,0.603,0.882,0.729,0.496,0.544,0.449,0.446
Morgan,KNN,0.793,0.472,0.869,0.441,0.951,0.647,0.636,0.52,0.458,0.447
Morgan,LightGBM,0.877,0.647,0.883,0.497,0.957,0.689,0.689,0.577,0.52,0.511
Morgan,LogisticRegression,0.862,0.606,0.839,0.704,0.865,0.78,0.5,0.585,0.499,0.488
Morgan,RandomForest,0.88,0.637,0.861,0.645,0.902,0.763,0.56,0.599,0.517,0.515
Morgan,XGBoost,0.871,0.625,0.877,0.495,0.95,0.685,0.656,0.564,0.501,0.494
Morgan,vNN,0.7117204374021984,0.5914858647819681,0.871220338983051,0.4762292642601267,0.9472116105442696,0.6712981956484478,0.6350847240879891,0.5437956511898325,0.4775494038404964,0.4706682160224991
