Descriptor,Model,ROC_AUC,PR_AUC,Accuracy,Sensitivity,Specificity,GMean,Precision,F1,MCC,Kappa
Mordred,Bayesian,0.647,0.468,0.631,0.557,0.665,0.608,0.44,0.491,0.212,0.208
Mordred,KNN,0.848,0.698,0.813,0.689,0.871,0.775,0.716,0.702,0.566,0.566
Mordred,LightGBM,0.877,0.798,0.828,0.634,0.92,0.763,0.788,0.702,0.59,0.583
Mordred,LogisticRegression,0.781,0.612,0.719,0.707,0.725,0.716,0.547,0.616,0.409,0.401
Mordred,RandomForest,0.866,0.777,0.813,0.621,0.903,0.749,0.75,0.679,0.554,0.549
Mordred,XGBoost,0.881,0.802,0.829,0.625,0.925,0.76,0.797,0.7,0.592,0.583
Morgan,Bayesian,0.787,0.667,0.745,0.679,0.776,0.725,0.587,0.629,0.439,0.436
Morgan,KNN,0.864,0.741,0.82,0.648,0.901,0.764,0.755,0.697,0.574,0.571
Morgan,LightGBM,0.872,0.793,0.823,0.679,0.891,0.778,0.746,0.711,0.586,0.584
Morgan,LogisticRegression,0.854,0.753,0.794,0.744,0.817,0.779,0.656,0.697,0.544,0.542
Morgan,RandomForest,0.861,0.77,0.808,0.641,0.887,0.754,0.727,0.681,0.548,0.545
Morgan,XGBoost,0.873,0.789,0.823,0.684,0.888,0.779,0.742,0.711,0.585,0.584
