Descriptor,Model,ROC_AUC,PR_AUC,Accuracy,Sensitivity,Specificity,GMean,Precision,F1,MCC,Kappa
Mordred,Bayesian,0.682,0.72,0.638,0.623,0.656,0.638,0.691,0.654,0.279,0.276
Mordred,KNN,0.71,0.721,0.668,0.683,0.651,0.665,0.707,0.694,0.334,0.332
Mordred,LightGBM,0.741,0.767,0.692,0.756,0.613,0.679,0.706,0.729,0.374,0.372
Mordred,LogisticRegression,0.713,0.732,0.678,0.687,0.667,0.676,0.718,0.701,0.354,0.353
Mordred,RandomForest,0.751,0.781,0.701,0.769,0.617,0.688,0.712,0.739,0.392,0.389
Mordred,XGBoost,0.748,0.778,0.701,0.778,0.607,0.687,0.709,0.741,0.392,0.389
Morgan,Bayesian,0.707,0.735,0.661,0.714,0.596,0.651,0.685,0.698,0.313,0.312
Morgan,KNN,0.662,0.659,0.629,0.543,0.734,0.631,0.715,0.616,0.28,0.27
Morgan,LightGBM,0.701,0.73,0.653,0.708,0.585,0.643,0.677,0.692,0.296,0.295
Morgan,LogisticRegression,0.704,0.736,0.655,0.671,0.635,0.652,0.693,0.681,0.306,0.305
Morgan,RandomForest,0.724,0.752,0.665,0.694,0.63,0.66,0.698,0.695,0.325,0.324
Morgan,XGBoost,0.705,0.739,0.656,0.73,0.566,0.641,0.675,0.7,0.301,0.299
Morgan,vNN,0.667813485514885,0.7450900646193415,0.6792792792792792,0.7816633346661335,0.5539636363636364,0.6571613097401355,0.6829119746322055,0.7285492151943432,0.3462999542558529,0.3410440193554808
