Descriptor,Model,ROC_AUC,PR_AUC,Accuracy,Sensitivity,Specificity,GMean,Precision,F1,MCC,Kappa
Mordred,Bayesian,0.865,0.799,0.771,0.879,0.697,0.782,0.667,0.758,0.569,0.549
Mordred,KNN,0.893,0.837,0.829,0.804,0.845,0.823,0.781,0.791,0.648,0.646
Mordred,LightGBM,0.925,0.897,0.862,0.831,0.883,0.856,0.833,0.83,0.716,0.714
Mordred,LogisticRegression,0.896,0.841,0.838,0.829,0.844,0.835,0.787,0.806,0.669,0.667
Mordred,RandomForest,0.923,0.897,0.856,0.838,0.869,0.853,0.817,0.826,0.705,0.704
Mordred,XGBoost,0.922,0.891,0.865,0.833,0.887,0.859,0.837,0.833,0.721,0.72
Morgan,Bayesian,0.912,0.897,0.851,0.738,0.928,0.827,0.877,0.8,0.691,0.683
Morgan,KNN,0.826,0.784,0.788,0.502,0.983,0.701,0.952,0.656,0.581,0.524
Morgan,LightGBM,0.903,0.877,0.833,0.771,0.876,0.821,0.811,0.789,0.653,0.651
Morgan,LogisticRegression,0.915,0.898,0.846,0.79,0.885,0.835,0.828,0.807,0.682,0.68
Morgan,RandomForest,0.913,0.897,0.842,0.753,0.903,0.824,0.843,0.794,0.671,0.666
Morgan,XGBoost,0.906,0.881,0.835,0.776,0.875,0.823,0.812,0.792,0.657,0.655
Morgan,vNN,0.8348383524452543,0.8880484513850593,0.8468571428571429,0.7708748615725359,0.8988018433179724,0.832062575042595,0.84035381106362,0.8033786521588984,0.6808621790623144,0.678396294234545
