Descriptor,Model,ROC_AUC,PR_AUC,Accuracy,Sensitivity,Specificity,GMean,Precision,F1,MCC,Kappa
Mordred,Bayesian,0.626,0.493,0.649,0.342,0.822,0.53,0.522,0.412,0.186,0.178
Mordred,KNN,0.745,0.572,0.766,0.67,0.82,0.741,0.676,0.673,0.491,0.49
Mordred,LightGBM,0.852,0.762,0.785,0.622,0.877,0.738,0.739,0.675,0.521,0.517
Mordred,LogisticRegression,0.799,0.665,0.738,0.716,0.75,0.733,0.617,0.663,0.454,0.451
Mordred,RandomForest,0.845,0.75,0.782,0.598,0.885,0.727,0.746,0.664,0.512,0.505
Mordred,XGBoost,0.854,0.763,0.787,0.624,0.879,0.74,0.744,0.678,0.526,0.521
Morgan,Bayesian,0.784,0.671,0.732,0.678,0.762,0.718,0.616,0.645,0.432,0.43
Morgan,KNN,0.818,0.675,0.767,0.659,0.827,0.738,0.683,0.671,0.491,0.491
Morgan,LightGBM,0.844,0.745,0.788,0.661,0.859,0.753,0.725,0.691,0.532,0.53
Morgan,LogisticRegression,0.828,0.723,0.764,0.725,0.786,0.754,0.656,0.688,0.501,0.499
Morgan,RandomForest,0.834,0.731,0.784,0.67,0.848,0.753,0.713,0.69,0.526,0.524
Morgan,XGBoost,0.85,0.757,0.792,0.666,0.862,0.758,0.732,0.697,0.541,0.539
