Descriptor,Model,Repeat,Fold,ROC_AUC,PR_AUC,Accuracy,Sensitivity,Specificity,GMean,Precision,F1,MCC,Kappa
Morgan,KNN,1,1,0.660072928433783,0.3055646226506474,0.8557993730407524,0.37583892617449666,0.9443069306930693,0.5957409695587655,0.5544554455445545,0.448,0.3777888457453886,0.3685644889840881
Morgan,KNN,1,2,0.7172852704373099,0.3866694610796244,0.8766980146290491,0.4864864864864865,0.9480840543881335,0.679139220273094,0.631578947368421,0.549618320610687,0.4850641611797909,0.4795797041338311
Morgan,KNN,1,3,0.7168684773882795,0.3599923457461083,0.8619246861924686,0.5067567567567568,0.926980198019802,0.6853856423403185,0.5597014925373134,0.5319148936170213,0.45193362603980425,0.4511673219442608
Morgan,KNN,1,4,0.7073019801980198,0.33614711648184453,0.850418410041841,0.5,0.9146039603960396,0.6762410666308427,0.5174825174825175,0.5085910652920962,0.4204909884080972,0.4204046330998694
Morgan,KNN,1,5,0.668952368209794,0.2987884146119216,0.8462343096234309,0.41216216216216217,0.9257425742574258,0.6177022430034609,0.5041322314049587,0.45353159851301117,0.36761641417775065,0.3651083361945895
Morgan,KNN,2,1,0.6966285135224932,0.3454256921047016,0.8620689655172413,0.4563758389261745,0.9368811881188119,0.6538883224235419,0.5714285714285714,0.5074626865671642,0.4320955724805498,0.4284343978209525
Morgan,KNN,2,2,0.6555265092038886,0.2937093486662452,0.851619644723093,0.3716216216216216,0.9394313967861557,0.5908578670678222,0.5288461538461539,0.4365079365079365,0.3613668859948763,0.3540545679247077
Morgan,KNN,2,3,0.6815627508696815,0.3184967394172415,0.8535564853556485,0.43243243243243246,0.9306930693069307,0.6343988239336533,0.5333333333333333,0.47761194029850745,0.39646013649275247,0.3935329514971362
Morgan,KNN,2,4,0.7112991704575863,0.3421413484174991,0.852510460251046,0.5067567567567568,0.9158415841584159,0.6812553932932122,0.5244755244755245,0.5154639175257731,0.4285988824161274,0.4285108620075635
Morgan,KNN,2,5,0.6895571313888146,0.33104432884767615,0.8577405857740585,0.44594594594594594,0.9331683168316832,0.645091177878206,0.55,0.4925373134328358,0.4139166531879934,0.4108605814543609
Morgan,KNN,3,1,0.6499102930427271,0.2811246372921911,0.8432601880877743,0.3691275167785235,0.9306930693069307,0.5861266258721315,0.4954954954954955,0.4230769230769231,0.3394795301755654,0.3346219095030175
Morgan,KNN,3,2,0.6659497878595529,0.3011429397605778,0.8505747126436781,0.39864864864864863,0.9332509270704573,0.6099501790529587,0.5221238938053098,0.4521072796934866,0.3718787570136557,0.36739410804838935
Morgan,KNN,3,3,0.6754248059941129,0.3119493809870379,0.852510460251046,0.4189189189189189,0.931930693069307,0.6248226936083171,0.5299145299145299,0.4679245283018868,0.3872430458236762,0.38367137919051886
Morgan,KNN,3,4,0.6956950762643832,0.3376921160368451,0.858786610878661,0.4594594594594595,0.931930693069307,0.6543579849679404,0.5528455284552846,0.5018450184501845,0.42283543568175924,0.42039269225932774
Morgan,KNN,3,5,0.6987891356703237,0.3484552561922961,0.8640167364016736,0.4594594594594595,0.9381188118811881,0.6565268937489773,0.576271186440678,0.5112781954887218,0.4372161203463776,0.43346340396046823
Morgan,KNN,4,1,0.7036015682105123,0.34790009404554373,0.8599791013584117,0.47651006711409394,0.9306930693069307,0.6659464069413301,0.5590551181102362,0.5144927536231884,0.43518009470437347,0.43329238220658806
Morgan,KNN,4,2,0.6668559783516521,0.2980923647200678,0.8474399164054337,0.40540540540540543,0.9283065512978986,0.6134659678983165,0.5084745762711864,0.45112781954887216,0.36699056737780616,0.3638416638589653
Morgan,KNN,4,3,0.7254816697886003,0.37547688626746106,0.8671548117154811,0.5202702702702703,0.9306930693069307,0.6958533859276567,0.5789473684210527,0.5480427046263345,0.4713592541436837,0.4704363452378876
Morgan,KNN,4,4,0.6585329141022211,0.2911945586501026,0.8472803347280334,0.38513513513513514,0.931930693069307,0.599098700893123,0.5089285714285714,0.43846153846153846,0.35662003793047525,0.352038921488524
Morgan,KNN,4,5,0.6616269735081616,0.30035373033847984,0.852510460251046,0.38513513513513514,0.9381188118811881,0.6010844494633627,0.5327102803738317,0.4470588235294118,0.3708810472167648,0.3644935598845871
Morgan,KNN,5,1,0.6712821449930227,0.3091118870095154,0.851619644723093,0.40939597315436244,0.9331683168316832,0.6180900833908641,0.5304347826086957,0.4621212121212121,0.38197587761435586,0.3777120405901694
Morgan,KNN,5,2,0.7110630407911002,0.34739796657742794,0.8568443051201672,0.5,0.9221260815822002,0.6790162301382052,0.5401459854014599,0.519298245614035,0.4357928445679241,0.43534473476805935
Morgan,KNN,5,3,0.6794721701899921,0.33275314459937894,0.8640167364016736,0.41216216216216217,0.9467821782178217,0.6246821509142542,0.5865384615384616,0.48412698412698413,0.4169914795687514,0.4085509784512298
Morgan,KNN,5,4,0.7169186513245919,0.37602838496714497,0.8713389121338913,0.49324324324324326,0.9405940594059405,0.6811326335132636,0.6033057851239669,0.5427509293680297,0.4719842498401728,0.46876411804037077
Morgan,KNN,5,5,0.6775153866738026,0.30146141674439403,0.8420502092050209,0.4391891891891892,0.9158415841584159,0.6342142562039088,0.48872180451127817,0.4626334519572954,0.37108790413002957,0.3703613238655199
Morgan,Bayesian,1,1,0.8361685161804772,0.5010109407526968,0.8463949843260188,0.6711409395973155,0.8787128712871287,0.767945429097601,0.5050505050505051,0.5763688760806917,0.49214442624427873,0.4848338368580061
Morgan,Bayesian,1,2,0.8538151872515283,0.565800419472331,0.8474399164054337,0.6554054054054054,0.8825710754017305,0.7605536493060537,0.5052083333333334,0.5705882352941176,0.48572121893183684,0.4797131239108092
Morgan,Bayesian,1,3,0.8604579207920792,0.5642535867235442,0.8305439330543933,0.668918918918919,0.8601485148514851,0.7585312219442052,0.4669811320754717,0.55,0.4606734355270622,0.4496531726176939
Morgan,Bayesian,1,4,0.830098508161627,0.49619257808310163,0.8106694560669456,0.6621621621621622,0.8378712871287128,0.7448534507530608,0.4279475982532751,0.519893899204244,0.42378994526545494,0.40868269611930497
Morgan,Bayesian,1,5,0.8114881589510302,0.4948485892561847,0.8242677824267782,0.6621621621621622,0.8539603960396039,0.7519709184818523,0.4537037037037037,0.5384615384615384,0.4464230845249022,0.4345744381231341
Morgan,Bayesian,2,1,0.8391255232905841,0.5024781841500773,0.8369905956112853,0.6778523489932886,0.8663366336633663,0.7663212917227675,0.48325358851674644,0.5642458100558659,0.4775563428138202,0.46743054465547007
Morgan,Bayesian,2,2,0.8578659005111415,0.5333057052601033,0.8307210031347962,0.6486486486486487,0.8640296662546354,0.7486332048529588,0.46601941747572817,0.5423728813559322,0.45102071384527365,0.44192626402977664
Morgan,Bayesian,2,3,0.7965781375434839,0.5216255460128854,0.8315899581589958,0.6148648648648649,0.8712871287128713,0.7319315833153641,0.4666666666666667,0.5306122448979592,0.43641430235601575,0.4303373947029475
Morgan,Bayesian,2,4,0.8326197484613327,0.5321187296498463,0.8221757322175732,0.6891891891891891,0.8465346534653465,0.7638210074633541,0.45132743362831856,0.5454545454545454,0.45610188145715963,0.4408356499958713
Morgan,Bayesian,2,5,0.8541276424939791,0.5520229434124662,0.8347280334728033,0.6418918918918919,0.870049504950495,0.7473136709389687,0.475,0.5459770114942529,0.4552824310561293,0.4476978880243374
Morgan,Bayesian,3,1,0.8081101734334506,0.4321862732026836,0.8087774294670846,0.5973154362416108,0.8477722772277227,0.7116090693673184,0.419811320754717,0.4930747922437673,0.38859602480819905,0.3796302528152574
Morgan,Bayesian,3,2,0.8390071158921593,0.5428545273117276,0.8338557993730408,0.6621621621621622,0.865265760197775,0.7569321281445553,0.47342995169082125,0.5521126760563381,0.4631828087403426,0.45356115534200236
Morgan,Bayesian,3,3,0.8423534921059673,0.4994373505043363,0.8200836820083682,0.6554054054054054,0.8502475247524752,0.7464963654669314,0.44495412844036697,0.5300546448087432,0.4359459412108403,0.42378963303523876
Morgan,Bayesian,3,4,0.8694390553920256,0.6038511273322638,0.8441422594142259,0.722972972972973,0.8663366336633663,0.791415170207775,0.49767441860465117,0.5895316804407713,0.5105658052979722,0.497353451804593
Morgan,Bayesian,3,5,0.8217947217018999,0.5386483167230004,0.8441422594142259,0.6554054054054054,0.8787128712871287,0.7588894291271215,0.49743589743589745,0.565597667638484,0.47947320627637674,0.47279671932136147
Morgan,Bayesian,4,1,0.8285641903116487,0.508335433925412,0.8171368861024033,0.6308724832214765,0.8514851485148515,0.7329246551111321,0.4392523364485981,0.5179063360881543,0.4197267758271864,0.4095071204679517
Morgan,Bayesian,4,2,0.8257608659339191,0.5263430339042822,0.8349007314524556,0.6554054054054054,0.8677379480840544,0.754135360296601,0.47549019607843135,0.5511363636363636,0.46186309202011144,0.4531032986111111
Morgan,Bayesian,4,3,0.8743310141824994,0.6094663118333676,0.856694560669456,0.7162162162162162,0.8824257425742574,0.7949890731565558,0.527363184079602,0.6074498567335244,0.5314130152066252,0.5222580503961364
Morgan,Bayesian,4,4,0.8372273882793684,0.5221373860732873,0.8347280334728033,0.6824324324324325,0.8626237623762376,0.7672564319915686,0.47641509433962265,0.5611111111111111,0.47459528557333747,0.4632419831703434
Morgan,Bayesian,4,5,0.8261054990634198,0.4950418191736712,0.8190376569037657,0.6418918918918919,0.8514851485148515,0.7392979189055292,0.4418604651162791,0.5234159779614325,0.42745178954166707,0.4163902494107019
Morgan,Bayesian,5,1,0.8146471526347266,0.47317448364426073,0.819226750261233,0.5503355704697986,0.8688118811881188,0.6914752940377569,0.43617021276595747,0.486646884272997,0.3824930515982525,0.3787230050471885
Morgan,Bayesian,5,2,0.8489459793538905,0.5106131257767202,0.8066875653082549,0.6959459459459459,0.826946847960445,0.7586239558245246,0.42386831275720166,0.5268542199488491,0.4343757107834455,0.41426061754984966
Morgan,Bayesian,5,3,0.8299438051913299,0.5283378774137765,0.8378661087866108,0.6824324324324325,0.8663366336633663,0.7689058565365569,0.48325358851674644,0.5658263305322129,0.4802780254821032,0.46970239202943154
Morgan,Bayesian,5,4,0.81128746320578,0.5177809013667041,0.8200836820083682,0.6081081081081081,0.8589108910891089,0.7227106454270944,0.4411764705882353,0.5113636363636364,0.4123320402037493,0.4045080542357168
Morgan,Bayesian,5,5,0.8454684573187049,0.5422788389836388,0.850418410041841,0.6824324324324325,0.8811881188118812,0.775468472183977,0.5126903553299492,0.5855072463768116,0.5040450538689044,0.4964862913799961
Morgan,LogisticRegression,1,1,0.8680892418100871,0.5687000284614039,0.8683385579937304,0.6375838926174496,0.9108910891089109,0.7620823356728639,0.5688622754491018,0.6012658227848101,0.523942774717158,0.5227234945338537
Morgan,LogisticRegression,1,2,0.852670965155514,0.6079697869743792,0.8589341692789969,0.7094594594594594,0.8862793572311496,0.7929560351692195,0.5329949238578681,0.6086956521739131,0.5327471164505014,0.5247615439226347
Morgan,LogisticRegression,1,3,0.885695410757292,0.6446838035880097,0.8650627615062761,0.7094594594594594,0.8935643564356436,0.7962083177844046,0.5497382198952879,0.6194690265486725,0.5455362341644695,0.5390584119485102
Morgan,LogisticRegression,1,4,0.8405764985282314,0.5449689788686244,0.8378661087866108,0.6418918918918919,0.8737623762376238,0.7489065260412165,0.48223350253807107,0.5507246376811594,0.46114887539721244,0.45423339275454133
Morgan,LogisticRegression,1,5,0.8487506689858173,0.5763423398689743,0.854602510460251,0.6283783783783784,0.8960396039603961,0.7503678519895679,0.5254237288135594,0.5723076923076923,0.48838099049848793,0.485559874258637
Morgan,LogisticRegression,2,1,0.8565436241610739,0.5597039404277808,0.8610240334378265,0.6711409395973155,0.8960396039603961,0.7754797622880862,0.5434782608695652,0.6006006006006006,0.5218209133536014,0.5175990812927092
Morgan,LogisticRegression,2,2,0.8742190892994355,0.5868353532537652,0.8547544409613375,0.6621621621621622,0.8899876390605687,0.7676692903704981,0.5240641711229946,0.5850746268656717,0.50349582393227,0.49848629370049347
Morgan,LogisticRegression,2,3,0.8292330077602355,0.560941829422275,0.8493723849372385,0.5945945945945946,0.8960396039603961,0.7299180125586249,0.5116279069767442,0.55,0.46203204704241446,0.46015811268666085
Morgan,LogisticRegression,2,4,0.8603659352421729,0.6273756611215542,0.8535564853556485,0.7432432432432432,0.8737623762376238,0.8058647419628026,0.5188679245283019,0.6111111111111112,0.5372436107815761,0.5243916306572662
Morgan,LogisticRegression,2,5,0.8795658282044421,0.5995961072341295,0.8661087866108786,0.6891891891891891,0.8985148514851485,0.786922309996034,0.5543478260869565,0.6144578313253012,0.5392344784807316,0.5345950222114039
Morgan,LogisticRegression,3,1,0.8360854541830023,0.5063323904508777,0.8380355276907001,0.610738255033557,0.879950495049505,0.7330889644937028,0.48404255319148937,0.5400593471810089,0.44777807108649603,0.44336454209430176
Morgan,LogisticRegression,3,2,0.8557946079577723,0.6091880726366607,0.8557993730407524,0.6621621621621622,0.8912237330037083,0.7682022090673581,0.5268817204301075,0.5868263473053892,0.5056494543329384,0.5008503979862575
Morgan,LogisticRegression,3,3,0.8648397778967087,0.5475579459996492,0.8462343096234309,0.6756756756756757,0.8774752475247525,0.7699926498090537,0.5025125628140703,0.5763688760806917,0.4928397194618414,0.4849062412948817
Morgan,LogisticRegression,3,4,0.8713205780037461,0.6409685676952893,0.858786610878661,0.6959459459459459,0.8886138613861386,0.7864014333297313,0.533678756476684,0.6041055718475073,0.5267742843941409,0.5199875031614026
Morgan,LogisticRegression,3,5,0.8676871487824458,0.6121249209935515,0.8650627615062761,0.7027027027027027,0.8948019801980198,0.79295634802231,0.5502645502645502,0.6172106824925816,0.5426868115329609,0.5367729915711346
Morgan,LogisticRegression,4,1,0.855625789088976,0.5996365507573601,0.8463949843260188,0.6442953020134228,0.8836633663366337,0.7545463242850364,0.5052631578947369,0.5663716814159292,0.479870725844703,0.47469221778695525
Morgan,LogisticRegression,4,2,0.8533391240436976,0.5839468349991054,0.8495297805642633,0.6013513513513513,0.8949320148331273,0.7335997386092015,0.5114942528735632,0.5527950310559007,0.46524244843555324,0.46305084745762715
Morgan,LogisticRegression,4,3,0.8885051511907948,0.6231987674186504,0.8577405857740585,0.7027027027027027,0.8861386138613861,0.7891083569001298,0.5306122448979592,0.6046511627906976,0.5275941620284518,0.5199669187145557
