Descriptor,Model,ROC_AUC,PR_AUC,Accuracy,Sensitivity,Specificity,GMean,Precision,F1,MCC,Kappa
Mordred,Bayesian,0.792,0.377,0.717,0.77,0.707,0.738,0.326,0.458,0.359,0.307
Mordred,KNN,0.752,0.418,0.878,0.571,0.934,0.73,0.615,0.591,0.521,0.52
Mordred,LightGBM,0.93,0.785,0.914,0.591,0.973,0.758,0.8,0.679,0.641,0.631
Mordred,LogisticRegression,0.893,0.607,0.842,0.798,0.85,0.823,0.494,0.61,0.541,0.517
Mordred,RandomForest,0.921,0.748,0.904,0.668,0.948,0.795,0.702,0.683,0.628,0.627
Mordred,XGBoost,0.925,0.761,0.911,0.594,0.969,0.758,0.78,0.673,0.631,0.623
Morgan,Bayesian,0.836,0.525,0.831,0.657,0.862,0.753,0.468,0.546,0.456,0.446
Morgan,KNN,0.687,0.327,0.856,0.441,0.932,0.64,0.544,0.486,0.407,0.403
Morgan,LightGBM,0.879,0.659,0.892,0.506,0.962,0.697,0.713,0.591,0.541,0.531
Morgan,LogisticRegression,0.858,0.587,0.855,0.668,0.889,0.77,0.526,0.588,0.507,0.501
Morgan,RandomForest,0.875,0.632,0.863,0.605,0.91,0.742,0.553,0.577,0.497,0.496
Morgan,XGBoost,0.878,0.66,0.892,0.499,0.964,0.693,0.721,0.589,0.542,0.529
Morgan,vNN,0.7023703505974072,0.5939624527784042,0.8775408682117671,0.4485416288771994,0.9561990723176148,0.65369796200395,0.6534014722584931,0.5303861817557335,0.4746002580771812,0.4630133334063127
