Descriptor,Model,Repeat,Fold,ROC_AUC,PR_AUC,Accuracy,Sensitivity,Specificity,GMean,Precision,F1,MCC,Kappa
Morgan,KNN,1,1,0.8825528169014085,0.8808730992683449,0.8216374269005848,0.8,0.852112676056338,0.8256452875448818,0.8839779005524862,0.8398950131233596,0.6437682988567623,0.6397015647127906
Morgan,KNN,1,2,0.8557746478873239,0.8617384584650031,0.7807017543859649,0.715,0.8732394366197183,0.7901684612682909,0.8881987577639752,0.7922437673130194,0.58071237584779,0.5657106091903423
Morgan,KNN,1,3,0.8697359154929578,0.8779123250884959,0.8245614035087719,0.815,0.8380281690140845,0.8264338798394454,0.8763440860215054,0.844559585492228,0.6460591982786291,0.6438242032909811
Morgan,KNN,1,4,0.8786267605633804,0.8770096874015219,0.827485380116959,0.82,0.8380281690140845,0.8289650768226302,0.8770053475935828,0.8475452196382429,0.6513538778269939,0.6494075129443653
Morgan,KNN,1,5,0.8634219858156029,0.8677995991157588,0.782991202346041,0.75,0.8297872340425532,0.7888855592111665,0.8620689655172413,0.8021390374331551,0.5711633644088678,0.5644353919977907
Morgan,KNN,2,1,0.8769366197183099,0.8796236348003535,0.8157894736842105,0.81,0.823943661971831,0.8169420825231022,0.8663101604278075,0.8372093023255814,0.6275136566993365,0.6256385307711019
Morgan,KNN,2,2,0.8708098591549296,0.8735529776116822,0.804093567251462,0.755,0.8732394366197183,0.8119703040431264,0.893491124260355,0.8184281842818428,0.6191814845839843,0.60896276323424
Morgan,KNN,2,3,0.8576760563380281,0.8658886224570435,0.7719298245614035,0.725,0.8380281690140845,0.7794680381742481,0.8630952380952381,0.7880434782608695,0.5549578880202441,0.5452127659574468
Morgan,KNN,2,4,0.8622887323943662,0.8621466691720557,0.7982456140350878,0.805,0.7887323943661971,0.7968246842717592,0.8429319371727748,0.8235294117647058,0.5891756066650743,0.5883255992463626
Morgan,KNN,2,5,0.8577659574468085,0.8632640294445841,0.8064516129032258,0.775,0.851063829787234,0.8121419014464815,0.8806818181818182,0.824468085106383,0.6169427453693169,0.610730593607306
Morgan,KNN,3,1,0.8788028169014084,0.8792431257677222,0.7923976608187134,0.775,0.8169014084507042,0.7956749283151354,0.856353591160221,0.8136482939632546,0.5843274894050849,0.5806362474525923
Morgan,KNN,3,2,0.8620422535211267,0.8663128997976866,0.7894736842105263,0.75,0.8450704225352113,0.7961173386514129,0.872093023255814,0.8064516129032258,0.5864606136208047,0.578529371491168
Morgan,KNN,3,3,0.8840492957746479,0.8813200904280436,0.8245614035087719,0.81,0.8450704225352113,0.8273494075984591,0.8804347826086957,0.84375,0.6474551740646795,0.644539911308204
Morgan,KNN,3,4,0.8777112676056338,0.8865686003507333,0.8216374269005848,0.795,0.8591549295774648,0.8264551827014485,0.888268156424581,0.8390501319261213,0.6453858968173585,0.6404219380192354
Morgan,KNN,3,5,0.881400709219858,0.8795237280113941,0.7917888563049853,0.735,0.8723404255319149,0.8007310489583612,0.8909090909090909,0.8054794520547945,0.5984921212087392,0.5858889934148636
Morgan,KNN,4,1,0.8675704225352113,0.8693769885085674,0.8128654970760234,0.835,0.7816901408450704,0.8079054818514563,0.8434343434343434,0.8391959798994975,0.6154777169828594,0.6154332700822265
Morgan,KNN,4,2,0.8680809859154931,0.8697723466687054,0.7982456140350878,0.785,0.8169014084507042,0.8007918616181129,0.8579234972677595,0.8198433420365535,0.594648629885979,0.5916311909459038
Morgan,KNN,4,3,0.8688556338028168,0.8787494205866778,0.7923976608187134,0.775,0.8169014084507042,0.7956749283151354,0.856353591160221,0.8136482939632546,0.5843274894050849,0.5806362474525923
Morgan,KNN,4,4,0.8450352112676056,0.8517165580106114,0.7719298245614035,0.72,0.8450704225352113,0.7800325020313911,0.8674698795180723,0.7868852459016393,0.5571233587930272,0.5461103927040087
Morgan,KNN,4,5,0.8632801418439716,0.8674396637696667,0.8093841642228738,0.77,0.8652482269503546,0.8162359553167043,0.8901734104046243,0.8257372654155496,0.6257348209231823,0.6177986998430844
Morgan,KNN,5,1,0.8703873239436621,0.8689942053856886,0.7982456140350878,0.735,0.8873239436619719,0.8075785401999915,0.901840490797546,0.8099173553719008,0.6139816094493484,0.5996674922810709
Morgan,KNN,5,2,0.8867605633802818,0.8908425890339299,0.8333333333333334,0.805,0.8732394366197183,0.8384257548995457,0.8994413407821229,0.8496042216358839,0.6691475478789944,0.6640008273294495
Morgan,KNN,5,3,0.850387323943662,0.847982452103677,0.7953216374269005,0.795,0.795774647887324,0.7953872296375034,0.8457446808510638,0.8195876288659794,0.5851156779047157,0.5836232085710311
Morgan,KNN,5,4,0.8826408450704226,0.8838346348621834,0.8070175438596491,0.77,0.8591549295774648,0.8133568071729945,0.8850574712643678,0.8235294117647058,0.620136806950952,0.612883309322906
Morgan,KNN,5,5,0.8534751773049646,0.8528700867492862,0.8035190615835777,0.815,0.7872340425531915,0.8009967195194067,0.844559585492228,0.8295165394402035,0.5983845107535241,0.5978561244785524
Morgan,Bayesian,1,1,0.8779225352112677,0.9197348420337366,0.7982456140350878,0.78,0.823943661971831,0.801670790498212,0.861878453038674,0.8188976377952756,0.5962156512954204,0.592449310904632
Morgan,Bayesian,1,2,0.867781690140845,0.9063326673112434,0.7865497076023392,0.735,0.8591549295774648,0.7946564498193145,0.8802395209580839,0.8010899182561307,0.5857086188539773,0.5747862520012262
Morgan,Bayesian,1,3,0.8954401408450704,0.9150857964812311,0.804093567251462,0.785,0.8309859154929577,0.8076657375808212,0.8674033149171271,0.8241469816272966,0.6081038131857559,0.6042623743566716
Morgan,Bayesian,1,4,0.8772887323943662,0.9128341497188883,0.7953216374269005,0.8,0.7887323943661971,0.7943462189076989,0.8421052631578947,0.8205128205128205,0.5838193816777029,0.5827814569536424
Morgan,Bayesian,1,5,0.8820567375886524,0.91233164486561,0.782991202346041,0.75,0.8297872340425532,0.7888855592111665,0.8620689655172413,0.8021390374331551,0.5711633644088678,0.5644353919977907
Morgan,Bayesian,2,1,0.8585035211267605,0.8943308569520273,0.7807017543859649,0.765,0.8028169014084507,0.783680374628244,0.8453038674033149,0.8031496062992126,0.5605511656244141,0.557010120548513
Morgan,Bayesian,2,2,0.8832218309859156,0.915901547813605,0.8070175438596491,0.775,0.852112676056338,0.8126421869086431,0.8806818181818182,0.824468085106383,0.6182930595777552,0.6121116304646688
Morgan,Bayesian,2,3,0.8786971830985916,0.9134560280181856,0.8011695906432749,0.755,0.8661971830985915,0.8086896025295717,0.888235294117647,0.8162162162162162,0.6122093577217892,0.6027331738981893
Morgan,Bayesian,2,4,0.8889084507042253,0.920521990872884,0.8128654970760234,0.81,0.8169014084507042,0.813443385150479,0.8617021276595744,0.8350515463917526,0.6208963839203456,0.6193126478363713
Morgan,Bayesian,2,5,0.8967021276595745,0.9288140091798146,0.8035190615835777,0.78,0.8368794326241135,0.8079393278253068,0.8715083798882681,0.8232189973614775,0.6083322239481813,0.6036190773608148
Morgan,Bayesian,3,1,0.8853169014084507,0.913464722047846,0.7953216374269005,0.765,0.8380281690140845,0.800681927669018,0.8693181818181818,0.8138297872340425,0.5945472733480424,0.5886032444322244
Morgan,Bayesian,3,2,0.8710915492957746,0.9138430720807026,0.783625730994152,0.76,0.8169014084507042,0.7879372249250159,0.8539325842696629,0.8042328042328042,0.5690217200334614,0.5642261863764721
Morgan,Bayesian,3,3,0.8892429577464789,0.92017422928707,0.804093567251462,0.795,0.8169014084507042,0.8058763054702067,0.8594594594594595,0.825974025974026,0.6050690411319051,0.6026703658748049
Morgan,Bayesian,3,4,0.8869542253521127,0.9104304704965779,0.8011695906432749,0.765,0.852112676056338,0.8073823116610238,0.8793103448275862,0.8181818181818182,0.6082671635674045,0.6011525005145092
Morgan,Bayesian,3,5,0.87677304964539,0.9147907801174906,0.7947214076246334,0.74,0.8723404255319149,0.8034500077127494,0.891566265060241,0.8087431693989071,0.6033154088453748,0.5913091120775262
