Descriptor,Model,ROC_AUC,PR_AUC,Accuracy,Sensitivity,Specificity,GMean,Precision,F1,MCC,Kappa
Mordred,Bayesian,0.702,0.71,0.651,0.723,0.575,0.643,0.644,0.681,0.302,0.299
Mordred,KNN,0.698,0.651,0.699,0.739,0.658,0.696,0.698,0.717,0.399,0.397
Mordred,LightGBM,0.795,0.805,0.72,0.74,0.698,0.717,0.726,0.731,0.441,0.438
Mordred,LogisticRegression,0.782,0.786,0.718,0.739,0.697,0.716,0.722,0.729,0.437,0.435
Mordred,RandomForest,0.796,0.813,0.725,0.752,0.695,0.722,0.726,0.737,0.45,0.448
Mordred,XGBoost,0.804,0.812,0.726,0.75,0.701,0.723,0.73,0.738,0.454,0.452
Morgan,Bayesian,0.753,0.772,0.668,0.584,0.757,0.663,0.722,0.643,0.348,0.34
Morgan,KNN,0.662,0.625,0.661,0.627,0.697,0.659,0.69,0.655,0.326,0.323
Morgan,LightGBM,0.758,0.776,0.687,0.695,0.679,0.685,0.701,0.696,0.376,0.374
Morgan,LogisticRegression,0.762,0.778,0.705,0.697,0.714,0.703,0.724,0.708,0.412,0.41
Morgan,RandomForest,0.768,0.793,0.686,0.619,0.758,0.683,0.736,0.67,0.382,0.375
Morgan,XGBoost,0.759,0.771,0.696,0.705,0.686,0.694,0.707,0.705,0.393,0.391
Morgan,vNN,0.6854726368159204,0.7653751666930537,0.6864615384615385,0.7176119402985074,0.6533333333333333,0.6834973092115958,0.6882285518842681,0.7016081592790486,0.3731496056727493,0.3714880357922904
