SmoothFactor,TanimotoDistance,Fold,Repeat,Sensitivity,Specificity,Accuracy,kappa,Coverage,AreaUnderTheCurve,PR_AUC,GMean,Precision,F1,MCC
0.1,0.5,1,1,0.578125,0.9397590361445783,0.8813131313131313,0.5418020679468241,0.6711864406779662,0.7589420180722892,0.6047501434378756,0.7370876425304418,0.6491228070175439,0.6115702479338843,0.5430680787368041
0.1,0.5,2,1,0.6338028169014085,0.9273255813953488,0.8771084337349397,0.5642820380854349,0.7033898305084746,0.7805641991483787,0.6449090667042455,0.7666430497129081,0.6428571428571429,0.6382978723404256,0.5643026330278056
0.1,0.5,3,1,0.648,0.9097978227060654,0.8671875,0.5337198366686111,0.6508474576271186,0.7788989113530327,0.6396647082720448,0.7678209355790778,0.5827338129496403,0.6136363636363636,0.5348162380863059
0.1,0.5,4,1,0.6176470588235294,0.9121522693997072,0.8632478632478633,0.5176069670579329,0.6940677966101695,0.7648996641116184,0.6089926308189764,0.7505918773833999,0.5833333333333334,0.6,0.5179145080606359
0.1,0.5,5,1,0.556390977443609,0.9318518518518518,0.870049504950495,0.5081853174419143,0.6847457627118644,0.7441214146477304,0.6223825293876057,0.7200513611434181,0.6166666666666667,0.5849802371541502,0.5091300588576045
0.11,0.5,1,1,0.578125,0.9412650602409639,0.8825757575757576,0.5451761102603367,0.6711864406779662,0.7596950301204819,0.6118305453494246,0.7376780211933979,0.6548672566371682,0.6141078838174274,0.5466489896414961
0.11,0.5,2,1,0.6197183098591549,0.9287790697674418,0.8759036144578313,0.5562695290197338,0.7033898305084746,0.7742486898132983,0.6412058304596431,0.7586708082883097,0.6423357664233577,0.6308243727598566,0.5563986243407996
0.11,0.5,3,1,0.648,0.9129082426127527,0.8697916666666666,0.5400261131008708,0.6508474576271186,0.7804541213063764,0.6415335490571091,0.7691323301052061,0.5912408759124088,0.6183206106870229,0.5408506448283382
0.11,0.5,4,1,0.6176470588235294,0.9121522693997072,0.8632478632478633,0.5176069670579329,0.6940677966101695,0.7648996641116184,0.6056810863024199,0.7505918773833999,0.5833333333333334,0.6,0.5179145080606359
0.11,0.5,5,1,0.556390977443609,0.9333333333333333,0.8712871287128713,0.5113338993498564,0.6847457627118644,0.7448621553884711,0.6254182288571116,0.7206235116994415,0.6218487394957983,0.5873015873015873,0.5124438423906149
0.12,0.5,1,1,0.5859375,0.9427710843373494,0.88510101010101,0.5549572691794692,0.6711864406779662,0.7643542921686747,0.6094714278285864,0.7432394851115727,0.6637168141592921,0.6224066390041494,0.5564565739065392
0.12,0.5,2,1,0.6197183098591549,0.9258720930232558,0.8734939759036144,0.5502028345221259,0.7033898305084746,0.7727952014412054,0.6471564933194374,0.7574825995586502,0.6330935251798561,0.6263345195729537,0.5502482751126729
0.12,0.5,3,1,0.64,0.9129082426127527,0.8684895833333334,0.5339805825242719,0.6508474576271186,0.7764541213063764,0.6454093990896059,0.7643698550257995,0.5882352941176471,0.6130268199233716,0.5346696887533957
0.12,0.5,4,1,0.6102941176470589,0.9165446559297218,0.8656898656898657,0.5207060926560407,0.6940677966101695,0.7634193867883903,0.6104617178040415,0.7479049485561362,0.5928571428571429,0.6014492753623188,0.5207851969482972
0.12,0.5,5,1,0.5488721804511278,0.9362962962962963,0.8725247524752475,0.511412737178283,0.6847457627118644,0.742584238373712,0.6285816646772502,0.7168730638658866,0.6293103448275862,0.5863453815261044,0.5130837265686163
0.13,0.5,1,1,0.5859375,0.9427710843373494,0.88510101010101,0.5549572691794692,0.6711864406779662,0.7643542921686747,0.6124071401870307,0.7432394851115727,0.6637168141592921,0.6224066390041494,0.5564565739065392
0.13,0.5,2,1,0.5985915492957746,0.9258720930232558,0.8698795180722891,0.5334068999979178,0.7033898305084746,0.7622318211595152,0.6458957780073044,0.7444590053270309,0.625,0.6115107913669064,0.5335861995400722
0.13,0.5,3,1,0.64,0.9160186625194401,0.87109375,0.5403477377699321,0.6508474576271186,0.77800933125972,0.645672632235751,0.7656709110397506,0.5970149253731343,0.6177606177606177,0.5408201117616309
0.13,0.5,4,1,0.6029411764705882,0.9165446559297218,0.8644688644688645,0.5149372789021275,0.6940677966101695,0.759742916200155,0.611282081291626,0.7433858440501117,0.5899280575539568,0.5963636363636363,0.5149815349545093
0.13,0.5,5,1,0.5488721804511278,0.9407407407407408,0.8762376237623762,0.5210716614308576,0.6847457627118644,0.7448064605959344,0.6327187191550294,0.7185724887647589,0.6460176991150443,0.5934959349593496,0.5234786255497996
0.13999999999999999,0.5,1,1,0.6015625,0.9427710843373494,0.8876262626262627,0.5676007263090741,0.6711864406779662,0.7721667921686747,0.6126463652551628,0.7530841456448852,0.6695652173913044,0.6337448559670782,0.5687362371099677
0.13999999999999999,0.5,2,1,0.6056338028169014,0.9258720930232558,0.8710843373493976,0.5390372777195296,0.7033898305084746,0.7657529479200786,0.646372612967089,0.7488253712446703,0.6277372262773723,0.6164874551971327,0.5391623738946807
0.13999999999999999,0.5,3,1,0.632,0.9175738724727839,0.87109375,0.5374507227332457,0.6508474576271186,0.7747869362363919,0.6472435228118449,0.7615160454007515,0.5984848484848485,0.6147859922178989,0.5377383956243875
0.13999999999999999,0.5,4,1,0.5955882352941176,0.91800878477306,0.8644688644688645,0.5120892214058383,0.6940677966101695,0.7567985100335888,0.4901140575467078,0.7394289905781922,0.5912408759124088,0.5934065934065934,0.5120941685754433
