SmoothFactor,TanimotoDistance,Fold,Repeat,Sensitivity,Specificity,Accuracy,kappa,Coverage,AreaUnderTheCurve,PR_AUC,GMean,Precision,F1,MCC
0.1,0.4,1,1,0.7933579335793358,0.8513011152416357,0.8318912237330037,0.6307969020550059,0.8588110403397028,0.8223295244104858,0.7933387705485768,0.8218190151376933,0.7288135593220338,0.7597173144876325,0.6321400389245009
0.1,0.4,2,1,0.7712177121771218,0.8697247706422019,0.8370098039215687,0.6356360120326601,0.8671625929861849,0.8204712414096618,0.7937167678887016,0.8189915432032561,0.7464285714285714,0.7586206896551724,0.6358293108510882
0.1,0.4,3,1,0.7692307692307693,0.8671726755218216,0.83375,0.6324951644100579,0.8501594048884166,0.8182017223762954,0.8259801402099031,0.8167349045115895,0.75,0.759493670886076,0.6326135143411892
0.1,0.4,4,1,0.7255639097744361,0.8566176470588235,0.8135802469135802,0.5793987579006733,0.8607863974495218,0.7910907784166299,0.7608927399497465,0.7883722782935597,0.7121771217712177,0.7188081936685289,0.5794549581140753
0.1,0.4,5,1,0.7071428571428572,0.8692307692307693,0.8125,0.5831017231795442,0.8501594048884166,0.7881868131868133,0.7991620558410389,0.7840091387670999,0.7443609022556391,0.7252747252747253,0.5835436410614957
0.11,0.4,1,1,0.7933579335793358,0.8550185873605948,0.8343634116192831,0.6355733351262312,0.8588110403397028,0.8241882604699653,0.7943088000396578,0.8236114251516453,0.7337883959044369,0.7624113475177305,0.6367140041726705
0.11,0.4,2,1,0.7749077490774908,0.8678899082568807,0.8370098039215687,0.6363051433626895,0.8671625929861849,0.8213988286671858,0.7922188039260545,0.8200820783643608,0.7446808510638298,0.759493670886076,0.6365932058339859
0.11,0.4,3,1,0.7728937728937729,0.8652751423149905,0.83375,0.6331388693505454,0.8501594048884166,0.8190844576043816,0.8301934940043061,0.8177810032857387,0.74822695035461,0.7603603603603604,0.6333340581591665
0.11,0.4,4,1,0.7330827067669173,0.8566176470588235,0.8160493827160494,0.5857616507753456,0.8607863974495218,0.7948501769128704,0.7781042120744767,0.7924465807675557,0.7142857142857143,0.7235621521335807,0.5858726036267832
0.11,0.4,5,1,0.7035714285714286,0.8769230769230769,0.81625,0.5897292771420598,0.8501594048884166,0.7902472527472528,0.8017344552537817,0.7854794853960363,0.7547892720306514,0.7282809611829945,0.5905601859923155
0.12,0.4,1,1,0.7896678966789668,0.8587360594795539,0.8355995055624228,0.6373163357142136,0.8588110403397028,0.8242019780792603,0.7973389570894722,0.8234781708652655,0.7379310344827587,0.7629233511586453,0.6381734928259952
