SmoothFactor,TanimotoDistance,Fold,Repeat,Sensitivity,Specificity,Accuracy,kappa,Coverage,AreaUnderTheCurve,PR_AUC,GMean,Precision,F1,MCC
0.1,0.6,1,1,0.6805555555555556,0.6935483870967742,0.6865671641791045,0.37243532560214093,0.6036036036036037,0.6870519713261649,0.7680787155097035,0.6870212572295742,0.7205882352941176,0.7,0.3731023238732674
0.1,0.6,2,1,0.7666666666666667,0.6607142857142857,0.7155172413793104,0.4286567164179106,0.5225225225225225,0.7136904761904762,0.6405514369377183,0.7117215881562249,0.7076923076923077,0.736,0.43027195006914404
0.1,0.6,3,1,0.696969696969697,0.5892857142857143,0.6475409836065574,0.28742189622385234,0.5495495495495495,0.6431277056277056,0.7444333893317001,0.6408699444616558,0.6666666666666666,0.6814814814814815,0.2877777457157493
0.1,0.6,4,1,0.6923076923076923,0.7428571428571429,0.7162162162162162,0.43326039387308535,0.6666666666666667,0.7175824175824176,0.8114500068274196,0.7171371656006362,0.75,0.72,0.43468741885525836
0.1,0.6,5,1,0.7894736842105263,0.6551724137931034,0.7217391304347827,0.44410876132930527,0.5180180180180181,0.7223230490018149,0.831081835130842,0.7191949522280763,0.6923076923076923,0.7377049180327869,0.44846053391758095
0.11,0.6,1,1,0.6805555555555556,0.6935483870967742,0.6865671641791045,0.37243532560214093,0.6036036036036037,0.6870519713261649,0.527543328246908,0.6870212572295742,0.7205882352941176,0.7,0.3731023238732674
0.11,0.6,2,1,0.7666666666666667,0.6607142857142857,0.7155172413793104,0.4286567164179106,0.5225225225225225,0.7136904761904762,0.776077160080461,0.7117215881562249,0.7076923076923077,0.736,0.43027195006914404
0.11,0.6,3,1,0.696969696969697,0.5892857142857143,0.6475409836065574,0.28742189622385234,0.5495495495495495,0.6431277056277056,0.7429952491663201,0.6408699444616558,0.6666666666666666,0.6814814814814815,0.2877777457157493
0.11,0.6,4,1,0.6923076923076923,0.7428571428571429,0.7162162162162162,0.43326039387308535,0.6666666666666667,0.7175824175824176,0.8077561133447937,0.7171371656006362,0.75,0.72,0.43468741885525836
0.11,0.6,5,1,0.7894736842105263,0.6551724137931034,0.7217391304347827,0.44410876132930527,0.5180180180180181,0.7223230490018149,0.832739158305917,0.7191949522280763,0.6923076923076923,0.7377049180327869,0.44846053391758095
0.12,0.6,1,1,0.6805555555555556,0.6935483870967742,0.6865671641791045,0.37243532560214093,0.6036036036036037,0.6870519713261649,0.7654660335609176,0.6870212572295742,0.7205882352941176,0.7,0.3731023238732674
0.12,0.6,2,1,0.7666666666666667,0.6607142857142857,0.7155172413793104,0.4286567164179106,0.5225225225225225,0.7136904761904762,0.5995035115335281,0.7117215881562249,0.7076923076923077,0.736,0.43027195006914404
0.12,0.6,3,1,0.696969696969697,0.5892857142857143,0.6475409836065574,0.28742189622385234,0.5495495495495495,0.6431277056277056,0.7445835964068412,0.6408699444616558,0.6666666666666666,0.6814814814814815,0.2877777457157493
0.12,0.6,4,1,0.6923076923076923,0.7428571428571429,0.7162162162162162,0.43326039387308535,0.6666666666666667,0.7175824175824176,0.8027744422193979,0.7171371656006362,0.75,0.72,0.43468741885525836
