SmoothFactor,TanimotoDistance,Fold,Repeat,Sensitivity,Specificity,Accuracy,kappa,Coverage,AreaUnderTheCurve,PR_AUC,GMean,Precision,F1,MCC
0.1,0.7,1,1,0.90625,0.875,0.8888888888888888,0.7763975155279502,0.6857142857142857,0.890625,0.8957562313995614,0.8904879280484379,0.8529411764705882,0.8787878787878788,0.7776134403022492
0.1,0.7,2,1,0.896551724137931,0.8085106382978723,0.8421052631578947,0.6781933662667606,0.7238095238095238,0.8525311812179017,0.8372647218552202,0.8513939198454594,0.7428571428571429,0.8125,0.6871467697198692
0.1,0.7,3,1,0.8648648648648649,0.9545454545454546,0.9135802469135802,0.8247295208655331,0.7714285714285715,0.9097051597051597,0.9278627471720482,0.9085993757167268,0.9411764705882353,0.9014084507042254,0.8270661411342004
0.1,0.7,4,1,0.78125,0.8085106382978723,0.7974683544303798,0.5839368005266624,0.7523809523809524,0.7948803191489362,0.8321032200285762,0.7947634466746774,0.7352941176470589,0.7575757575757576,0.5847281286418293
0.1,0.7,5,1,0.84375,0.9047619047619048,0.8783783783783784,0.7513069454817028,0.7047619047619047,0.8742559523809523,0.8888564535954517,0.8737235587660762,0.8709677419354839,0.8571428571428571,0.7515939432344662
0.11,0.7,1,1,0.90625,0.875,0.8888888888888888,0.7763975155279502,0.6857142857142857,0.890625,0.829416436934767,0.8904879280484379,0.8529411764705882,0.8787878787878788,0.7776134403022492
0.11,0.7,2,1,0.896551724137931,0.8085106382978723,0.8421052631578947,0.6781933662667606,0.7238095238095238,0.8525311812179017,0.840234070514224,0.8513939198454594,0.7428571428571429,0.8125,0.6871467697198692
0.11,0.7,3,1,0.8648648648648649,0.9545454545454546,0.9135802469135802,0.8247295208655331,0.7714285714285715,0.9097051597051597,0.9399688187608783,0.9085993757167268,0.9411764705882353,0.9014084507042254,0.8270661411342004
0.11,0.7,4,1,0.78125,0.8085106382978723,0.7974683544303798,0.5839368005266624,0.7523809523809524,0.7948803191489362,0.8225937520061771,0.7947634466746774,0.7352941176470589,0.7575757575757576,0.5847281286418293
0.11,0.7,5,1,0.84375,0.9047619047619048,0.8783783783783784,0.7513069454817028,0.7047619047619047,0.8742559523809523,0.902756615933114,0.8737235587660762,0.8709677419354839,0.8571428571428571,0.7515939432344662
0.12,0.7,1,1,0.90625,0.875,0.8888888888888888,0.7763975155279502,0.6857142857142857,0.890625,0.9128040903180099,0.8904879280484379,0.8529411764705882,0.8787878787878788,0.7776134403022492
0.12,0.7,2,1,0.896551724137931,0.8085106382978723,0.8421052631578947,0.6781933662667606,0.7238095238095238,0.8525311812179017,0.8578585915870208,0.8513939198454594,0.7428571428571429,0.8125,0.6871467697198692
0.12,0.7,3,1,0.8648648648648649,0.9545454545454546,0.9135802469135802,0.8247295208655331,0.7714285714285715,0.9097051597051597,0.9380039417960016,0.9085993757167268,0.9411764705882353,0.9014084507042254,0.8270661411342004
0.12,0.7,4,1,0.78125,0.8085106382978723,0.7974683544303798,0.5839368005266624,0.7523809523809524,0.7948803191489362,0.8251587755841318,0.7947634466746774,0.7352941176470589,0.7575757575757576,0.5847281286418293
0.12,0.7,5,1,0.84375,0.9047619047619048,0.8783783783783784,0.7513069454817028,0.7047619047619047,0.8742559523809523,0.9048623001040156,0.8737235587660762,0.8709677419354839,0.8571428571428571,0.7515939432344662
0.13,0.7,1,1,0.90625,0.875,0.8888888888888888,0.7763975155279502,0.6857142857142857,0.890625,0.8806694284822612,0.8904879280484379,0.8529411764705882,0.8787878787878788,0.7776134403022492
0.13,0.7,2,1,0.896551724137931,0.8085106382978723,0.8421052631578947,0.6781933662667606,0.7238095238095238,0.8525311812179017,0.8472379861388294,0.8513939198454594,0.7428571428571429,0.8125,0.6871467697198692
0.13,0.7,3,1,0.8648648648648649,0.9545454545454546,0.9135802469135802,0.8247295208655331,0.7714285714285715,0.9097051597051597,0.9404693192613789,0.9085993757167268,0.9411764705882353,0.9014084507042254,0.8270661411342004
0.13,0.7,4,1,0.78125,0.8085106382978723,0.7974683544303798,0.5839368005266624,0.7523809523809524,0.7948803191489362,0.8321117723000595,0.7947634466746774,0.7352941176470589,0.7575757575757576,0.5847281286418293
0.13,0.7,5,1,0.84375,0.9047619047619048,0.8783783783783784,0.7513069454817028,0.7047619047619047,0.8742559523809523,0.8867571413738569,0.8737235587660762,0.8709677419354839,0.8571428571428571,0.7515939432344662
