SmoothFactor,TanimotoDistance,Fold,Repeat,Sensitivity,Specificity,Accuracy,kappa,Coverage,AreaUnderTheCurve,PR_AUC,GMean,Precision,F1,MCC
0.1,0.4,1,1,0.6862745098039216,0.8279569892473119,0.7777777777777778,0.5142314990512334,0.8762677484787018,0.7571157495256167,0.7319137031517023,0.7537942537154484,0.6862745098039216,0.6862745098039216,0.5142314990512334
0.1,0.4,2,1,0.6862745098039216,0.8709677419354839,0.8055555555555556,0.5672891178364456,0.8762677484787018,0.7786211258697027,0.7651485207488363,0.7731254491683757,0.7446808510638298,0.7142857142857143,0.5683760960529856
0.1,0.4,3,1,0.618421052631579,0.8424908424908425,0.7623529411764706,0.4712172166993114,0.8638211382113821,0.7304559475612107,0.6601510605232292,0.7218130461869283,0.6861313868613139,0.6505190311418685,0.4726770391999668
0.1,0.4,4,1,0.5827814569536424,0.8028673835125448,0.7255813953488373,0.39039334887185534,0.8739837398373984,0.6928244202330935,0.5531285139549802,0.6840294025142484,0.6153846153846154,0.5986394557823129,0.39072719363622443
0.1,0.4,5,1,0.74375,0.8014981273408239,0.7798594847775175,0.5371754070384207,0.8678861788617886,0.772624063670412,0.7506774888446991,0.7720843426787891,0.6918604651162791,0.7168674698795181,0.5381154866951885
0.11,0.4,1,1,0.6993464052287581,0.8243727598566308,0.7800925925925926,0.521410579345088,0.8762677484787018,0.7618595825426945,0.6747333041403324,0.7592905413438554,0.6858974358974359,0.6925566343042071,0.5214701381174024
0.11,0.4,2,1,0.6928104575163399,0.8709677419354839,0.8078703703703703,0.5730818688384054,0.8762677484787018,0.7818890997259118,0.7658012294627157,0.7767982748257722,0.7464788732394366,0.7186440677966102,0.5740013636895175
0.11,0.4,3,1,0.625,0.8424908424908425,0.7647058823529411,0.4772319122241628,0.8638211382113821,0.7337454212454213,0.6608138281386824,0.7256423199874553,0.6884057971014492,0.6551724137931034,0.47851519594004527
0.11,0.4,4,1,0.5894039735099338,0.8028673835125448,0.727906976744186,0.39648760826275753,0.8739837398373984,0.6961356785112394,0.664525530750132,0.6879049542224694,0.6180555555555556,0.6033898305084746,0.39674632306526686
0.11,0.4,5,1,0.74375,0.8089887640449438,0.7845433255269321,0.5459022078372443,0.8678861788617886,0.776369382022472,0.7576064112230483,0.7756838229964751,0.7,0.7212121212121212,0.5465684044317997
0.12,0.4,1,1,0.6928104575163399,0.8315412186379928,0.7824074074074074,0.5243516761543328,0.8762677484787018,0.7621758380771664,0.7399648770411873,0.7590128142055854,0.6928104575163399,0.6928104575163399,0.5243516761543326
0.12,0.4,2,1,0.6928104575163399,0.8673835125448028,0.8055555555555556,0.5685854911191954,0.8762677484787018,0.7800969850305713,0.7383704359510465,0.7751982766804212,0.7412587412587412,0.7162162162162162,0.5693368664019016
0.12,0.4,3,1,0.625,0.8461538461538461,0.7670588235294118,0.48168816290328553,0.8638211382113821,0.7355769230769231,0.6591492142199398,0.7272180923534245,0.6934306569343066,0.657439446366782,0.48318042420780877
0.12,0.4,4,1,0.6026490066225165,0.8064516129032258,0.7348837209302326,0.41286381602587147,0.8739837398373984,0.7045503097628711,0.6697163682848312,0.6971422117511284,0.6275862068965518,0.6148648648648649,0.41306108486668686
0.12,0.4,5,1,0.74375,0.8089887640449438,0.7845433255269321,0.5459022078372443,0.8678861788617886,0.776369382022472,0.7123518034841212,0.7756838229964751,0.7,0.7212121212121212,0.5465684044317997
0.13,0.4,1,1,0.7058823529411765,0.8387096774193549,0.7916666666666666,0.5445920303605313,0.8762677484787018,0.7722960151802657,0.67616718264054,0.7694350918247161,0.7058823529411765,0.7058823529411765,0.5445920303605313
0.13,0.4,2,1,0.6993464052287581,0.8709677419354839,0.8101851851851852,0.578857265140167,0.8762677484787018,0.785157073582121,0.767965078680117,0.7804538163099655,0.7482517482517482,0.722972972972973,0.5796222143835694
0.13,0.4,3,1,0.625,0.8498168498168498,0.7694117647058824,0.4861577181208053,0.8638211382113821,0.737408424908425,0.6575725841713507,0.7287904576320489,0.6985294117647058,0.6597222222222222,0.48787758376233276
0.13,0.4,4,1,0.6225165562913907,0.8136200716845878,0.7465116279069768,0.43947475423951793,0.8739837398373984,0.7180683139879893,0.6125447226107312,0.7116824890038,0.6438356164383562,0.632996632996633,0.4396200981059201
0.13,0.4,5,1,0.75625,0.8127340823970037,0.7915690866510539,0.5612524100349815,0.8678861788617886,0.7844920411985019,0.7141935343899187,0.7839835137378426,0.7076023391812866,0.7311178247734139,0.5620794417681269
0.13999999999999999,0.4,1,1,0.6993464052287581,0.8494623655913979,0.7962962962962963,0.552067868504772,0.8762677484787018,0.7744043854100779,0.7113777014244785,0.7707583614554313,0.7181208053691275,0.7086092715231788,0.5521823345296795
0.13999999999999999,0.4,2,1,0.6928104575163399,0.8745519713261649,0.8101851851851852,0.5775917578879589,0.8762677484787018,0.7836812144212524,0.7723708950809222,0.7783949841669698,0.75177304964539,0.7210884353741497,0.5786984769120637
0.13999999999999999,0.4,3,1,0.618421052631579,0.8571428571428571,0.7717647058823529,0.48911305813391487,0.8638211382113821,0.7377819548872181,0.6625000121001783,0.7280626264064959,0.706766917293233,0.6596491228070176,0.49158062812010617
0.13999999999999999,0.4,4,1,0.6291390728476821,0.8172043010752689,0.7511627906976744,0.44975962113420564,0.8739837398373984,0.7231716869614755,0.6701274503581519,0.7170321863805228,0.6506849315068494,0.6397306397306397,0.4499083664299402
0.13999999999999999,0.4,5,1,0.75625,0.8164794007490637,0.7939110070257611,0.5656455901051902,0.8678861788617886,0.7863647003745318,0.7663711452519532,0.7857878510237222,0.711764705882353,0.7333333333333333,0.5663358807111694
0.14999999999999997,0.4,1,1,0.7124183006535948,0.8602150537634409,0.8078703703703703,0.5768903993203058,0.8762677484787018,0.7863166772085178,0.7430423731439935,0.7828364751330837,0.7364864864864865,0.7242524916943521,0.57707788347631
0.14999999999999997,0.4,2,1,0.6928104575163399,0.8745519713261649,0.8101851851851852,0.5775917578879589,0.8762677484787018,0.7836812144212524,0.735325485265484,0.7783949841669698,0.75177304964539,0.7210884353741497,0.5786984769120637
0.14999999999999997,0.4,3,1,0.6052631578947368,0.8534798534798534,0.7647058823529411,0.4725214714789256,0.8638211382113821,0.7293715056872951,0.6638527602934872,0.7187349381494915,0.696969696969697,0.647887323943662,0.47517305186675046
0.14999999999999997,0.4,4,1,0.6423841059602649,0.8279569892473119,0.7627906976744186,0.4746676248652535,0.8739837398373984,0.7351705476037883,0.6700220880797417,0.7292917182521594,0.6689655172413793,0.6554054054054054,0.4748944239415956
0.14999999999999997,0.4,5,1,0.75625,0.8202247191011236,0.7962529274004684,0.5700496510537829,0.8678861788617886,0.7882373595505618,0.7444527654085608,0.7875880546454629,0.7159763313609467,0.7355623100303952,0.5706143419143712
0.15999999999999998,0.4,1,1,0.7124183006535948,0.8602150537634409,0.8078703703703703,0.5768903993203058,0.8762677484787018,0.7863166772085178,0.7448568099018014,0.7828364751330837,0.7364864864864865,0.7242524916943521,0.57707788347631
0.15999999999999998,0.4,2,1,0.6862745098039216,0.8745519713261649,0.8078703703703703,0.5717970765262252,0.8762677484787018,0.7804132405650432,0.7766716815876813,0.7747146090141305,0.75,0.7167235494880546,0.573087433482206
0.15999999999999998,0.4,3,1,0.6052631578947368,0.8534798534798534,0.7647058823529411,0.4725214714789256,0.8638211382113821,0.7293715056872951,0.6665295511571823,0.7187349381494915,0.696969696969697,0.647887323943662,0.47517305186675046
0.15999999999999998,0.4,4,1,0.6490066225165563,0.8243727598566308,0.7627906976744186,0.47627349365939875,0.8739837398373984,0.7366896911865936,0.6719579115927552,0.731452924369849,0.6666666666666666,0.6577181208053692,0.47637397665813713
0.15999999999999998,0.4,5,1,0.7625,0.8277153558052435,0.8032786885245902,0.5843608046722907,0.8678861788617886,0.7951076779026217,0.764530841237742,0.7944387696994011,0.7261904761904762,0.7439024390243902,0.5848191747188222
0.16999999999999998,0.4,1,1,0.7189542483660131,0.8637992831541219,0.8125,0.5870858113848768,0.8762677484787018,0.7913767657600674,0.7479672676177209,0.7880559398666903,0.7432432432432432,0.7308970099667774,0.5872766089574819
0.16999999999999998,0.4,2,1,0.6862745098039216,0.8745519713261649,0.8078703703703703,0.5717970765262252,0.8762677484787018,0.7804132405650432,0.7415255296910921,0.7747146090141305,0.75,0.7167235494880546,0.573087433482206
0.16999999999999998,0.4,3,1,0.6118421052631579,0.8534798534798534,0.7670588235294118,0.4785793067552328,0.8638211382113821,0.7326609793715056,0.6688624954660696,0.722630549003296,0.6992481203007519,0.6526315789473685,0.48099373408184504
0.16999999999999998,0.4,4,1,0.6490066225165563,0.8243727598566308,0.7627906976744186,0.47627349365939875,0.8739837398373984,0.7366896911865936,0.6727421626097827,0.731452924369849,0.6666666666666666,0.6577181208053692,0.47637397665813713
0.16999999999999998,0.4,5,1,0.75625,0.8277153558052435,0.8009367681498829,0.5788905776839272,0.8678861788617886,0.7919826779026218,0.7666588301169617,0.7911761736981943,0.7245508982035929,0.7400611620795107,0.5792390004977939
0.17999999999999997,0.4,1,1,0.7320261437908496,0.8637992831541219,0.8171296296296297,0.5984752223634053,0.8762677484787018,0.7979127134724857,0.7492156545429499,0.7951878131967391,0.7466666666666667,0.7392739273927392,0.598544805650833
0.17999999999999997,0.4,2,1,0.6862745098039216,0.8709677419354839,0.8055555555555556,0.5672891178364456,0.8762677484787018,0.7786211258697027,0.7838162531908573,0.7731254491683757,0.7446808510638298,0.7142857142857143,0.5683760960529856
0.17999999999999997,0.4,3,1,0.6052631578947368,0.8571428571428571,0.7670588235294118,0.4770108513256517,0.8638211382113821,0.731203007518797,0.5872584270708197,0.720275636462322,0.7022900763358778,0.6501766784452296,0.4799735212503423
