SmoothFactor,TanimotoDistance,Fold,Repeat,Sensitivity,Specificity,Accuracy,kappa,Coverage,AreaUnderTheCurve,PR_AUC,GMean,Precision,F1,MCC
0.1,0.5,1,1,0.6344086021505376,0.9216867469879518,0.8764805414551607,0.5441982821463661,0.6175548589341693,0.7780476745692447,0.6103775658886049,0.7646737871650255,0.6020408163265306,0.6178010471204188,0.5444636760720241
0.1,0.5,2,1,0.6074766355140186,0.9404990403071017,0.8837579617834395,0.5713110155227229,0.6562173458725182,0.7739878379105603,0.6737926125188686,0.7558645333060161,0.6770833333333334,0.6403940886699507,0.5725067332405139
0.1,0.5,3,1,0.5494505494505495,0.937007874015748,0.8781302170283807,0.5070403481280229,0.6265690376569037,0.7432292117331487,0.6121454415083847,0.7175231642375346,0.6097560975609756,0.5780346820809249,0.507979378695009
0.1,0.5,4,1,0.5164835164835165,0.9349442379182156,0.8744038155802861,0.4707699189502942,0.6579497907949791,0.725713877200866,0.5705232530912537,0.6948980412377067,0.573170731707317,0.5433526011560693,0.4716279136451237
0.1,0.5,5,1,0.7446808510638298,0.9204946996466431,0.8954545454545455,0.6084938101788172,0.6903765690376569,0.8325877753552364,0.6912035856495042,0.8279340410519467,0.6086956521739131,0.6698564593301436,0.6128599606000049
0.11,0.5,1,1,0.6344086021505376,0.9216867469879518,0.8764805414551607,0.5441982821463661,0.6175548589341693,0.7780476745692447,0.6075488258787192,0.7646737871650255,0.6020408163265306,0.6178010471204188,0.5444636760720241
0.11,0.5,2,1,0.5981308411214953,0.9404990403071017,0.8821656050955414,0.5637496949101628,0.6562173458725182,0.7693149407142985,0.6737447698606602,0.750027654192061,0.6736842105263158,0.6336633663366337,0.565165686657695
0.11,0.5,3,1,0.5494505494505495,0.937007874015748,0.8781302170283807,0.5070403481280229,0.6265690376569037,0.7432292117331487,0.6115640326371594,0.7175231642375346,0.6097560975609756,0.5780346820809249,0.507979378695009
0.11,0.5,4,1,0.5164835164835165,0.9349442379182156,0.8744038155802861,0.4707699189502942,0.6579497907949791,0.725713877200866,0.5677026533977636,0.6948980412377067,0.573170731707317,0.5433526011560693,0.4716279136451237
0.11,0.5,5,1,0.7446808510638298,0.9204946996466431,0.8954545454545455,0.6084938101788172,0.6903765690376569,0.8325877753552364,0.6955456711748795,0.8279340410519467,0.6086956521739131,0.6698564593301436,0.6128599606000049
