SmoothFactor,TanimotoDistance,Fold,Repeat,Sensitivity,Specificity,Accuracy,kappa,Coverage,AreaUnderTheCurve,PR_AUC,GMean,Precision,F1,MCC
0.1,0.5,1,1,0.8823529411764706,0.7215189873417721,0.8313253012048193,0.6079916035684835,0.7280701754385965,0.8019359642591214,0.8969666835761462,0.7978937276327476,0.872093023255814,0.8771929824561403,0.6080975614468563
0.1,0.5,2,1,0.906832298136646,0.6571428571428571,0.8311688311688312,0.5852400902352564,0.6754385964912281,0.7819875776397516,0.905704651359829,0.7719574906346455,0.8588235294117647,0.8821752265861027,0.5879393830362329
0.1,0.5,3,1,0.9156626506024096,0.6949152542372882,0.8577777777777778,0.6242171189979122,0.6578947368421053,0.8052889524198488,0.9148773369319925,0.7976891271911399,0.8941176470588236,0.9047619047619048,0.6249069125066107
0.1,0.5,4,1,0.9058823529411765,0.7368421052631579,0.8536585365853658,0.652214891611687,0.7192982456140351,0.8213622291021672,0.9434558186504329,0.8170019951394975,0.8850574712643678,0.8953488372093024,0.6527024025690024
0.1,0.5,5,1,0.8994082840236687,0.6891891891891891,0.8353909465020576,0.6023238687505114,0.7126099706744868,0.7942987366064289,0.8716538517323486,0.787313448390355,0.8685714285714285,0.8837209302325582,0.6033983591780894
0.11,0.5,1,1,0.8823529411764706,0.7215189873417721,0.8313253012048193,0.6079916035684835,0.7280701754385965,0.8019359642591214,0.9115465454032876,0.7978937276327476,0.872093023255814,0.8771929824561403,0.6080975614468563
0.11,0.5,2,1,0.906832298136646,0.6571428571428571,0.8311688311688312,0.5852400902352564,0.6754385964912281,0.7819875776397516,0.9155755409837144,0.7719574906346455,0.8588235294117647,0.8821752265861027,0.5879393830362329
0.11,0.5,3,1,0.9156626506024096,0.6949152542372882,0.8577777777777778,0.6242171189979122,0.6578947368421053,0.8052889524198488,0.9456490148468888,0.7976891271911399,0.8941176470588236,0.9047619047619048,0.6249069125066107
0.11,0.5,4,1,0.9058823529411765,0.7368421052631579,0.8536585365853658,0.652214891611687,0.7192982456140351,0.8213622291021672,0.9403997728002607,0.8170019951394975,0.8850574712643678,0.8953488372093024,0.6527024025690024
0.11,0.5,5,1,0.8994082840236687,0.6891891891891891,0.8353909465020576,0.6023238687505114,0.7126099706744868,0.7942987366064289,0.8521253278139829,0.787313448390355,0.8685714285714285,0.8837209302325582,0.6033983591780894
0.12,0.5,1,1,0.8823529411764706,0.7215189873417721,0.8313253012048193,0.6079916035684835,0.7280701754385965,0.8019359642591214,0.8950575542700197,0.7978937276327476,0.872093023255814,0.8771929824561403,0.6080975614468563
0.12,0.5,2,1,0.9130434782608695,0.6571428571428571,0.8354978354978355,0.5941747572815534,0.6754385964912281,0.7850931677018633,0.9110783708369606,0.7745966692414834,0.8596491228070176,0.8855421686746988,0.5975924236513478
0.12,0.5,3,1,0.9156626506024096,0.6949152542372882,0.8577777777777778,0.6242171189979122,0.6578947368421053,0.8052889524198488,0.9430538521931108,0.7976891271911399,0.8941176470588236,0.9047619047619048,0.6249069125066107
0.12,0.5,4,1,0.9058823529411765,0.7368421052631579,0.8536585365853658,0.652214891611687,0.7192982456140351,0.8213622291021672,0.9430244444327772,0.8170019951394975,0.8850574712643678,0.8953488372093024,0.6527024025690024
0.12,0.5,5,1,0.8994082840236687,0.6891891891891891,0.8353909465020576,0.6023238687505114,0.7126099706744868,0.7942987366064289,0.8915329137104224,0.787313448390355,0.8685714285714285,0.8837209302325582,0.6033983591780894
0.13,0.5,1,1,0.8823529411764706,0.7215189873417721,0.8313253012048193,0.6079916035684835,0.7280701754385965,0.8019359642591214,0.9115553086888443,0.7978937276327476,0.872093023255814,0.8771929824561403,0.6080975614468563
0.13,0.5,2,1,0.9130434782608695,0.6571428571428571,0.8354978354978355,0.5941747572815534,0.6754385964912281,0.7850931677018633,0.9043318512096766,0.7745966692414834,0.8596491228070176,0.8855421686746988,0.5975924236513478
0.13,0.5,3,1,0.9156626506024096,0.6949152542372882,0.8577777777777778,0.6242171189979122,0.6578947368421053,0.8052889524198488,0.9281334188734573,0.7976891271911399,0.8941176470588236,0.9047619047619048,0.6249069125066107
0.13,0.5,4,1,0.9058823529411765,0.7368421052631579,0.8536585365853658,0.652214891611687,0.7192982456140351,0.8213622291021672,0.9395000556110464,0.8170019951394975,0.8850574712643678,0.8953488372093024,0.6527024025690024
0.13,0.5,5,1,0.8994082840236687,0.6891891891891891,0.8353909465020576,0.6023238687505114,0.7126099706744868,0.7942987366064289,0.8951474429097083,0.787313448390355,0.8685714285714285,0.8837209302325582,0.6033983591780894
0.13999999999999999,0.5,1,1,0.8823529411764706,0.7215189873417721,0.8313253012048193,0.6079916035684835,0.7280701754385965,0.8019359642591214,0.8791247636950544,0.7978937276327476,0.872093023255814,0.8771929824561403,0.6080975614468563
0.13999999999999999,0.5,2,1,0.9130434782608695,0.6571428571428571,0.8354978354978355,0.5941747572815534,0.6754385964912281,0.7850931677018633,0.8989880158869064,0.7745966692414834,0.8596491228070176,0.8855421686746988,0.5975924236513478
0.13999999999999999,0.5,3,1,0.9156626506024096,0.6949152542372882,0.8577777777777778,0.6242171189979122,0.6578947368421053,0.8052889524198488,0.9458436093077651,0.7976891271911399,0.8941176470588236,0.9047619047619048,0.6249069125066107
0.13999999999999999,0.5,4,1,0.9058823529411765,0.7368421052631579,0.8536585365853658,0.652214891611687,0.7192982456140351,0.8213622291021672,0.9408384507850857,0.8170019951394975,0.8850574712643678,0.8953488372093024,0.6527024025690024
0.13999999999999999,0.5,5,1,0.8994082840236687,0.6891891891891891,0.8353909465020576,0.6023238687505114,0.7126099706744868,0.7942987366064289,0.8967584056675778,0.787313448390355,0.8685714285714285,0.8837209302325582,0.6033983591780894
