SmoothFactor,TanimotoDistance,Fold,Repeat,Sensitivity,Specificity,Accuracy,kappa,Coverage,AreaUnderTheCurve,PR_AUC,GMean,Precision,F1,MCC
0.1,1,1,1,0.5078534031413613,0.9292214357937311,0.8610169491525423,0.46041500532558544,1.0,0.7185374194675462,0.5376665360519861,0.686955798024697,0.5808383233532934,0.5418994413407822,0.46185715643996383
0.1,1,2,1,0.5863874345549738,0.9150657229524772,0.861864406779661,0.4962125577545654,1.0,0.7507265787537255,0.5844824366685,0.7325182876429063,0.5714285714285714,0.5788113695090439,0.49627181958012195
0.1,1,3,1,0.5789473684210527,0.8949494949494949,0.8440677966101695,0.45088517956499746,1.0,0.7369484316852738,0.5548202862363438,0.7198115412875513,0.514018691588785,0.5445544554455446,0.4520461576083104
0.1,1,4,1,0.5157894736842106,0.906060606060606,0.8432203389830508,0.4209549071618037,1.0,0.7109250398724083,0.5323276142887249,0.6836201599762816,0.5130890052356021,0.5144356955380578,0.4209569691685702
0.1,1,5,1,0.4842105263157895,0.9181818181818182,0.8483050847457627,0.4174848317705462,1.0,0.7011961722488038,0.5354195130859964,0.6667783000633769,0.5317919075144508,0.5068870523415978,0.4181251786021845
0.11,1,1,1,0.5078534031413613,0.9302325581395349,0.861864406779661,0.46250922179249304,1.0,0.7190429806404481,0.5423487222025667,0.6873294482008296,0.5843373493975904,0.5434173669467787,0.46408886038136427
0.11,1,2,1,0.5759162303664922,0.917087967644085,0.861864406779661,0.4919650498156346,1.0,0.7465020990052886,0.5897514180473376,0.7267501945235715,0.5729166666666666,0.5744125326370757,0.49196743938362203
0.11,1,3,1,0.5789473684210527,0.897979797979798,0.8466101694915255,0.45653944020356235,1.0,0.7384635832004254,0.5545422857391067,0.7210291540122857,0.5213270142180095,0.5486284289276808,0.45744969537588703
0.11,1,4,1,0.5210526315789473,0.906060606060606,0.8440677966101695,0.42530439385918467,1.0,0.7135566188197766,0.5313813762090762,0.6870991654469496,0.515625,0.518324607329843,0.4253126920359693
0.11,1,5,1,0.4842105263157895,0.9202020202020202,0.85,0.4214404432132964,1.0,0.7022062732589048,0.5354280026598692,0.6675114265080958,0.5380116959064327,0.5096952908587258,0.4222555632702868
0.12,1,1,1,0.5130890052356021,0.9332659251769464,0.8652542372881356,0.47335032505080665,1.0,0.7231774652062742,0.545061702794849,0.6919887897714263,0.5975609756097561,0.5521126760563381,0.4752546641821817
0.12,1,2,1,0.5654450261780105,0.917087967644085,0.8601694915254238,0.4835543766578252,1.0,0.7412664969110477,0.5910760139109706,0.7201130674220876,0.5684210526315789,0.5669291338582677,0.48355674530201864
0.12,1,3,1,0.5736842105263158,0.897979797979798,0.8457627118644068,0.4524222335543091,1.0,0.7358320042530568,0.5577580248860824,0.7177442660673932,0.5190476190476191,0.545,0.45324353788831667
0.12,1,4,1,0.5105263157894737,0.9090909090909091,0.8449152542372881,0.4223113964686997,1.0,0.7098086124401914,0.5332283758690496,0.68125973940626,0.5187165775401069,0.5145888594164456,0.4223303355954141
0.12,1,5,1,0.4789473684210526,0.9232323232323232,0.8516949152542372,0.42286193404136374,1.0,0.7010898458266879,0.5375520341739151,0.6649659327013496,0.5449101796407185,0.5098039215686274,0.42408369610307683
