SmoothFactor,TanimotoDistance,Fold,Repeat,Sensitivity,Specificity,Accuracy,kappa,Coverage,AreaUnderTheCurve,PR_AUC,GMean,Precision,F1,MCC
0.1,1,1,1,0.6497175141242938,0.9134199134199135,0.851557322730285,0.5766947687961168,1.0,0.7815687137721037,0.6933954225223282,0.7703667409090387,0.696969696969697,0.672514619883041,0.5772888152031616
0.1,1,2,1,0.6497175141242938,0.90995670995671,0.8489065606361829,0.5708576560395149,1.0,0.7798371120405019,0.6901672411725559,0.7689049431196255,0.688622754491018,0.6686046511627907,0.5712625606675238
0.1,1,3,1,0.6497175141242938,0.9211438474870017,0.8574270557029178,0.5899229983102126,1.0,0.7854306808056477,0.7008863196991895,0.773617018129864,0.7165109034267912,0.6814814814814815,0.5910950314095696
0.1,1,4,1,0.6487252124645893,0.8987012987012987,0.8401856763925729,0.551221512047181,1.0,0.773713255582944,0.6781803132457832,0.7635510401683716,0.661849710982659,0.6552217453505007,0.5512683478067302
0.1,1,5,1,0.6317280453257791,0.9073593073593074,0.8428381962864722,0.5515643977796293,1.0,0.7695436763425432,0.6599223643618534,0.7571025833044344,0.6757575757575758,0.6530014641288433,0.552087447291994
0.11,1,1,1,0.652542372881356,0.9134199134199135,0.8522200132538105,0.5790068270786184,1.0,0.7829811431506347,0.698803639853412,0.7720396348246074,0.6978851963746223,0.6744525547445256,0.5795534204692211
0.11,1,2,1,0.6497175141242938,0.9108225108225109,0.8495692511597084,0.5723125559513508,1.0,0.7802700124734023,0.6927834781061117,0.7692706529824529,0.6906906906906907,0.6695778748180495,0.5727610466300156
0.11,1,3,1,0.6497175141242938,0.9220103986135182,0.8580901856763926,0.591416908912275,1.0,0.785863956368906,0.704212710350927,0.7739808164185494,0.71875,0.6824925816023739,0.5926669665648354
0.11,1,4,1,0.6487252124645893,0.8978354978354979,0.8395225464190982,0.549805210345687,1.0,0.7732803551500436,0.6774769293403611,0.7631831523897679,0.659942363112392,0.6542857142857142,0.5498394628347236
0.11,1,5,1,0.6373937677053825,0.9073593073593074,0.8441644562334217,0.5562417667182576,1.0,0.7723765375323449,0.6603144820035648,0.7604900838145722,0.677710843373494,0.656934306569343,0.5566796333841161
0.12,1,1,1,0.655367231638418,0.9134199134199135,0.852882703777336,0.5813142561472183,1.0,0.7843935725291658,0.7012548471833503,0.7737089116595544,0.6987951807228916,0.6763848396501457,0.5818152794442051
0.12,1,2,1,0.6440677966101694,0.9108225108225109,0.8482438701126573,0.5676796565067425,1.0,0.7774451537163402,0.6946883817552015,0.7659186951944683,0.6888217522658611,0.6656934306569343,0.5682155568341909
0.12,1,3,1,0.652542372881356,0.925476603119584,0.8614058355437666,0.5997470257749241,1.0,0.78900948800047,0.7066935232354613,0.7771182012061166,0.7287066246056783,0.6885245901639344,0.601258348804769
0.12,1,4,1,0.6515580736543909,0.8987012987012987,0.8408488063660478,0.5535258284420036,1.0,0.7751296861778447,0.6768860945719568,0.7652163661164844,0.6628242074927954,0.6571428571428571,0.5535603127230061
0.12,1,5,1,0.6373937677053825,0.9064935064935065,0.843501326259947,0.554800535408249,1.0,0.7719436370994445,0.6618780263791585,0.7601271679820157,0.6756756756756757,0.6559766763848397,0.5551958256390697
