SmoothFactor,TanimotoDistance,Fold,Repeat,Sensitivity,Specificity,Accuracy,kappa,Coverage,AreaUnderTheCurve,PR_AUC,GMean,Precision,F1,MCC
0.1,1,1,1,0.7541528239202658,0.8564742589703588,0.8237791932059448,0.601093871970041,1.0,0.8053135414453123,0.7751651144633238,0.8036868053026086,0.7115987460815048,0.7322580645161291,0.6016569810068194
0.1,1,2,1,0.7375415282392026,0.8734375,0.8299681190223167,0.6099057410391805,1.0,0.8054895141196012,0.7854147812423139,0.8026184825752697,0.7326732673267327,0.7350993377483444,0.6099129920677148
0.1,1,3,1,0.7441860465116279,0.865625,0.8267800212539851,0.6050199443258457,1.0,0.804905523255814,0.7989688974850628,0.8026120149310175,0.7225806451612903,0.7332242225859247,0.6051638754747997
0.1,1,4,1,0.6966666666666667,0.8611544461778471,0.8087141339001063,0.5588120379872785,1.0,0.7789105564222569,0.7732600932665618,0.7745563875560643,0.7013422818791947,0.6989966555183946,0.5588187523666217
0.1,1,5,1,0.6933333333333334,0.859594383775351,0.8065887353878852,0.5539099495204705,1.0,0.7764638585543422,0.7715982179123644,0.772000932264707,0.697986577181208,0.6956521739130435,0.5539166049990039
0.11,1,1,1,0.7508305647840532,0.859594383775351,0.8248407643312102,0.6024625174560466,1.0,0.8052124742797021,0.775319553312866,0.803373970610977,0.7151898734177216,0.7325769854132901,0.6028563363117508
0.11,1,2,1,0.7441860465116279,0.871875,0.8310308182784272,0.6133626203243103,1.0,0.8080305232558139,0.7956610445286776,0.8055043198532988,0.7320261437908496,0.7380560131795717,0.6134079610953463
0.11,1,3,1,0.7475083056478405,0.865625,0.8278427205100957,0.6077855249954975,1.0,0.8065666528239203,0.80920840925696,0.8044015645661139,0.7234726688102894,0.7352941176470589,0.6079637335467176
0.11,1,4,1,0.7033333333333334,0.8627145085803433,0.8119022316684378,0.566550165383244,1.0,0.7830239209568383,0.775740588918379,0.7789581959481788,0.705685618729097,0.7045075125208681,0.5665518641802183
0.11,1,5,1,0.69,0.8658346333853354,0.8097768331562167,0.5593059367420783,1.0,0.7779173166926676,0.7742001093889699,0.7729333069779574,0.7064846416382252,0.6981450252951096,0.5593890137038855
0.12,1,1,1,0.7475083056478405,0.8627145085803433,0.8259023354564756,0.6038383227083666,1.0,0.8051114071140919,0.7747875947140777,0.8030481060102824,0.7188498402555911,0.7328990228013029,0.6040921768161722
0.12,1,2,1,0.7342192691029901,0.871875,0.8278427205100957,0.6050295628021702,1.0,0.803047134551495,0.7964666006286281,0.8000921354751398,0.7293729372937293,0.7317880794701986,0.6050367558589473
0.12,1,3,1,0.7508305647840532,0.8671875,0.8299681190223167,0.6126276790078988,1.0,0.8090090323920266,0.8105341031206194,0.8069144195010219,0.7266881028938906,0.738562091503268,0.6128073073251644
0.12,1,4,1,0.7033333333333334,0.8642745709828393,0.8129649309245484,0.5686162149208945,1.0,0.7838039521580864,0.7784153179919431,0.7796621800014395,0.7080536912751678,0.705685618729097,0.5686230471018572
0.12,1,5,1,0.69,0.8689547581903276,0.8119022316684378,0.5634509384558527,1.0,0.7794773790951638,0.7761823004720112,0.7743247271986903,0.711340206185567,0.700507614213198,0.5635898029581743
0.13,1,1,1,0.7508305647840532,0.8611544461778471,0.8259023354564756,0.6045279309444453,1.0,0.8059925054809501,0.7761156788783307,0.8041026546343517,0.7174603174603175,0.7337662337662337,0.6048727234435586
0.13,1,2,1,0.7308970099667774,0.8703125,0.8257173219978746,0.60015338456516,1.0,0.8006047549833888,0.7973596190293626,0.7975642945786321,0.7260726072607261,0.7284768211920529,0.6001605196501799
0.13,1,3,1,0.7508305647840532,0.865625,0.8289054197662061,0.6105462855615165,1.0,0.8082277823920265,0.8107194089142985,0.8061871418232841,0.7243589743589743,0.7373572593800979,0.6107625397900811
0.13,1,4,1,0.7066666666666667,0.8673946957878315,0.8161530286928799,0.5755923843191848,1.0,0.7870306812272492,0.7805769736949043,0.7829169294099689,0.7138047138047138,0.7102177554438861,0.5756079733575716
0.13,1,5,1,0.69,0.875195007800312,0.8161530286928799,0.5717855573997742,1.0,0.782597503900156,0.7775577638938707,0.7771000935415046,0.7212543554006968,0.7052810902896082,0.572081806966837
0.13999999999999999,1,1,1,0.7475083056478405,0.8658346333853354,0.8280254777070064,0.6079859844534298,1.0,0.806671469516588,0.7771611892514878,0.8044989619465592,0.7234726688102894,0.7352941176470589,0.6081640695241785
0.13999999999999999,1,2,1,0.7242524916943521,0.8734375,0.8257173219978746,0.5987436362785425,1.0,0.798844995847176,0.799170781961843,0.7953548174961196,0.7290969899665551,0.7266666666666667,0.5987508048872584
0.13999999999999999,1,3,1,0.7508305647840532,0.8640625,0.8278427205100957,0.6084685165969775,1.0,0.8074465323920266,0.8124737559166,0.8054592074610115,0.7220447284345048,0.7361563517915309,0.6087245803106968
0.13999999999999999,1,4,1,0.7,0.8658346333853354,0.8129649309245484,0.5678485319750755,1.0,0.7829173166926677,0.7827498645310496,0.7785141253501665,0.7094594594594594,0.7046979865771812,0.5678759225132753
0.13999999999999999,1,5,1,0.6833333333333333,0.8814352574102964,0.8182784272051009,0.574445746202935,1.0,0.7823842953718149,0.7790318019326736,0.7760889720668002,0.7295373665480427,0.7056798623063684,0.5750889859252334
0.14999999999999997,1,1,1,0.7475083056478405,0.8658346333853354,0.8280254777070064,0.6079859844534298,1.0,0.806671469516588,0.7781978474084666,0.8044989619465592,0.7234726688102894,0.7352941176470589,0.6081640695241785
0.14999999999999997,1,2,1,0.7209302325581395,0.875,0.8257173219978746,0.5980350277659121,1.0,0.7979651162790697,0.80087051857541,0.794237970313918,0.7306397306397306,0.725752508361204,0.5980637710668326
0.14999999999999997,1,3,1,0.7475083056478405,0.86875,0.8299681190223167,0.6119507618713789,1.0,0.8081291528239203,0.8140536718501783,0.8058522448511026,0.7281553398058253,0.7377049180327869,0.6120659805270189
0.14999999999999997,1,4,1,0.6866666666666666,0.8673946957878315,0.8097768331562167,0.5585181806982917,1.0,0.7770306812272492,0.7850707302637014,0.7717583977132854,0.7079037800687286,0.6971235194585449,0.5586558295047926
0.14999999999999997,1,5,1,0.68,0.8876755070202809,0.8214665249734325,0.5800178525886254,1.0,0.7838377535101404,0.781348423024385,0.7769294335869835,0.7391304347826086,0.7083333333333334,0.5810646228583038
