SmoothFactor,TanimotoDistance,Fold,Repeat,Sensitivity,Specificity,Accuracy,kappa,Coverage,AreaUnderTheCurve,PR_AUC,GMean,Precision,F1,MCC
0.1,1,1,1,0.6585365853658537,0.5555555555555556,0.6126126126126126,0.21451493458405327,1.0,0.6070460704607046,0.7203905092943733,0.604858378909134,0.648,0.6532258064516129,0.2145507339385638
0.1,1,2,1,0.6639344262295082,0.62,0.6441441441441441,0.28316847870514184,1.0,0.641967213114754,0.7331170644243945,0.6415912594964921,0.680672268907563,0.6721991701244814,0.28327345201019644
0.1,1,3,1,0.6229508196721312,0.59,0.6081081081081081,0.21199510403916766,1.0,0.6064754098360656,0.682347084695015,0.6062515844157088,0.6495726495726496,0.6359832635983264,0.21221283683192999
0.1,1,4,1,0.6967213114754098,0.67,0.6846846846846847,0.36540346292061415,1.0,0.6833606557377049,0.7793993225431819,0.6832300335088649,0.7203389830508474,0.7083333333333334,0.36564394932909766
0.1,1,5,1,0.7049180327868853,0.59,0.6531531531531531,0.2962536023054755,1.0,0.6474590163934426,0.7642896677056492,0.6449043644946608,0.6771653543307087,0.6907630522088354,0.296563419433589
0.11,1,1,1,0.6585365853658537,0.5555555555555556,0.6126126126126126,0.21451493458405327,1.0,0.6070460704607046,0.7165375058998659,0.604858378909134,0.648,0.6532258064516129,0.2145507339385638
0.11,1,2,1,0.6639344262295082,0.61,0.6396396396396397,0.2734413352970055,1.0,0.6369672131147541,0.7284152862256893,0.6363961030678927,0.675,0.6694214876033058,0.2734864546685531
0.11,1,3,1,0.6311475409836066,0.59,0.6126126126126126,0.2203528258738973,1.0,0.6105737704918033,0.6969253905336972,0.6102270472376063,0.652542372881356,0.6416666666666667,0.2204978487460674
0.11,1,4,1,0.6967213114754098,0.67,0.6846846846846847,0.36540346292061415,1.0,0.6833606557377049,0.7263655724471143,0.6832300335088649,0.7203389830508474,0.7083333333333334,0.36564394932909766
0.11,1,5,1,0.7049180327868853,0.59,0.6531531531531531,0.2962536023054755,1.0,0.6474590163934426,0.7592890226271668,0.6449043644946608,0.6771653543307087,0.6907630522088354,0.296563419433589
0.12,1,1,1,0.6504065040650406,0.5656565656565656,0.6126126126126126,0.2160630697216062,1.0,0.6080315348608032,0.7198545536861642,0.6065531381256913,0.6504065040650406,0.6504065040650406,0.2160630697216063
0.12,1,2,1,0.6639344262295082,0.61,0.6396396396396397,0.2734413352970055,1.0,0.6369672131147541,0.7283678592931944,0.6363961030678927,0.675,0.6694214876033058,0.2734864546685531
0.12,1,3,1,0.6311475409836066,0.59,0.6126126126126126,0.2203528258738973,1.0,0.6105737704918033,0.6921565000211902,0.6102270472376063,0.652542372881356,0.6416666666666667,0.2204978487460674
0.12,1,4,1,0.6967213114754098,0.67,0.6846846846846847,0.36540346292061415,1.0,0.6833606557377049,0.7520998026618633,0.6832300335088649,0.7203389830508474,0.7083333333333334,0.36564394932909766
0.12,1,5,1,0.7049180327868853,0.59,0.6531531531531531,0.2962536023054755,1.0,0.6474590163934426,0.7624213516206906,0.6449043644946608,0.6771653543307087,0.6907630522088354,0.296563419433589
0.13,1,1,1,0.6504065040650406,0.5656565656565656,0.6126126126126126,0.2160630697216062,1.0,0.6080315348608032,0.7194334981788271,0.6065531381256913,0.6504065040650406,0.6504065040650406,0.2160630697216063
0.13,1,2,1,0.6639344262295082,0.61,0.6396396396396397,0.2734413352970055,1.0,0.6369672131147541,0.7288577490002064,0.6363961030678927,0.675,0.6694214876033058,0.2734864546685531
0.13,1,3,1,0.639344262295082,0.59,0.6171171171171171,0.22872557835363375,1.0,0.614672131147541,0.6902684265406686,0.6141767780973962,0.6554621848739496,0.6473029045643154,0.22881036914680417
0.13,1,4,1,0.6967213114754098,0.67,0.6846846846846847,0.36540346292061415,1.0,0.6833606557377049,0.749292109983177,0.6832300335088649,0.7203389830508474,0.7083333333333334,0.36564394932909766
0.13,1,5,1,0.7049180327868853,0.58,0.6486486486486487,0.28646777649579697,1.0,0.6424590163934427,0.7621523704608546,0.6394157168981643,0.671875,0.688,0.2869002593360896
0.13999999999999999,1,1,1,0.6504065040650406,0.5858585858585859,0.6216216216216216,0.23580034423407906,1.0,0.6181325449618132,0.7163591310045457,0.6172894253952285,0.6611570247933884,0.6557377049180327,0.23583938671307714
