SmoothFactor,TanimotoDistance,Fold,Repeat,Sensitivity,Specificity,Accuracy,kappa,Coverage,AreaUnderTheCurve,PR_AUC,GMean,Precision,F1,MCC
0.1,1,1,1,0.8372093023255814,0.8709677419354839,0.8571428571428571,0.705662492991964,1.0,0.8540885221305327,0.9146550257892855,0.8539217151319514,0.8181818181818182,0.8275862068965517,0.7057983872709341
0.1,1,2,1,0.7209302325581395,0.8064516129032258,0.7714285714285715,0.5273818454613655,1.0,0.7636909227306826,0.8680256896866405,0.7624928516630233,0.7209302325581395,0.7209302325581395,0.5273818454613654
0.1,1,3,1,0.8604651162790697,0.9516129032258065,0.9142857142857143,0.8208530805687203,1.0,0.9060390097524381,0.900675202393713,0.9048920971181352,0.925,0.891566265060241,0.8223205701475029
0.1,1,4,1,0.7142857142857143,0.8253968253968254,0.780952380952381,0.5418326693227092,1.0,0.7698412698412698,0.822264379994883,0.7678340712665285,0.7317073170731707,0.7228915662650602,0.5419402061038375
0.1,1,5,1,0.7857142857142857,0.8253968253968254,0.8095238095238095,0.6062992125984252,1.0,0.8055555555555556,0.856795686919426,0.8053111678708459,0.75,0.7674418604651163,0.6067696423743559
0.11,1,1,1,0.8372093023255814,0.8709677419354839,0.8571428571428571,0.705662492991964,1.0,0.8540885221305327,0.9170187121022455,0.8539217151319514,0.8181818181818182,0.8275862068965517,0.7057983872709341
0.11,1,2,1,0.6976744186046512,0.8064516129032258,0.7619047619047619,0.5059288537549407,1.0,0.7520630157539385,0.8681192224092982,0.7500937675817879,0.7142857142857143,0.7058823529411765,0.5060276830411564
0.11,1,3,1,0.8604651162790697,0.9516129032258065,0.9142857142857143,0.8208530805687203,1.0,0.9060390097524381,0.921285837508632,0.9048920971181352,0.925,0.891566265060241,0.8223205701475029
0.11,1,4,1,0.7142857142857143,0.8253968253968254,0.780952380952381,0.5418326693227092,1.0,0.7698412698412698,0.8164184670295422,0.7678340712665285,0.7317073170731707,0.7228915662650602,0.5419402061038375
0.11,1,5,1,0.7857142857142857,0.8253968253968254,0.8095238095238095,0.6062992125984252,1.0,0.8055555555555556,0.8717732593572646,0.8053111678708459,0.75,0.7674418604651163,0.6067696423743559
0.12,1,1,1,0.8372093023255814,0.8709677419354839,0.8571428571428571,0.705662492991964,1.0,0.8540885221305327,0.9180297496773783,0.8539217151319514,0.8181818181818182,0.8275862068965517,0.7057983872709341
0.12,1,2,1,0.6976744186046512,0.8064516129032258,0.7619047619047619,0.5059288537549407,1.0,0.7520630157539385,0.8672764201721239,0.7500937675817879,0.7142857142857143,0.7058823529411765,0.5060276830411564
0.12,1,3,1,0.8604651162790697,0.9516129032258065,0.9142857142857143,0.8208530805687203,1.0,0.9060390097524381,0.9221351804296963,0.9048920971181352,0.925,0.891566265060241,0.8223205701475029
0.12,1,4,1,0.7142857142857143,0.8253968253968254,0.780952380952381,0.5418326693227092,1.0,0.7698412698412698,0.826869300926359,0.7678340712665285,0.7317073170731707,0.7228915662650602,0.5419402061038375
0.12,1,5,1,0.7857142857142857,0.8253968253968254,0.8095238095238095,0.6062992125984252,1.0,0.8055555555555556,0.8759597930279898,0.8053111678708459,0.75,0.7674418604651163,0.6067696423743559
0.13,1,1,1,0.8372093023255814,0.8709677419354839,0.8571428571428571,0.705662492991964,1.0,0.8540885221305327,0.9168423035201314,0.8539217151319514,0.8181818181818182,0.8275862068965517,0.7057983872709341
0.13,1,2,1,0.6976744186046512,0.8064516129032258,0.7619047619047619,0.5059288537549407,1.0,0.7520630157539385,0.866932526800822,0.7500937675817879,0.7142857142857143,0.7058823529411765,0.5060276830411564
0.13,1,3,1,0.8604651162790697,0.9516129032258065,0.9142857142857143,0.8208530805687203,1.0,0.9060390097524381,0.9222494550668107,0.9048920971181352,0.925,0.891566265060241,0.8223205701475029
0.13,1,4,1,0.7142857142857143,0.8253968253968254,0.780952380952381,0.5418326693227092,1.0,0.7698412698412698,0.8255068152446796,0.7678340712665285,0.7317073170731707,0.7228915662650602,0.5419402061038375
0.13,1,5,1,0.8095238095238095,0.8253968253968254,0.819047619047619,0.6274509803921569,1.0,0.8174603174603174,0.8774660924327683,0.8174217898148401,0.7555555555555555,0.7816091954022989,0.6285393610547089
0.13999999999999999,1,1,1,0.8372093023255814,0.8709677419354839,0.8571428571428571,0.705662492991964,1.0,0.8540885221305327,0.9162439904977544,0.8539217151319514,0.8181818181818182,0.8275862068965517,0.7057983872709341
0.13999999999999999,1,2,1,0.7209302325581395,0.8064516129032258,0.7714285714285715,0.5273818454613655,1.0,0.7636909227306826,0.8665891075530248,0.7624928516630233,0.7209302325581395,0.7209302325581395,0.5273818454613654
0.13999999999999999,1,3,1,0.8604651162790697,0.9516129032258065,0.9142857142857143,0.8208530805687203,1.0,0.9060390097524381,0.9236447670702593,0.9048920971181352,0.925,0.891566265060241,0.8223205701475029
0.13999999999999999,1,4,1,0.7142857142857143,0.8253968253968254,0.780952380952381,0.5418326693227092,1.0,0.7698412698412698,0.8253922350174389,0.7678340712665285,0.7317073170731707,0.7228915662650602,0.5419402061038375
0.13999999999999999,1,5,1,0.8095238095238095,0.8253968253968254,0.819047619047619,0.6274509803921569,1.0,0.8174603174603174,0.8795681861267418,0.8174217898148401,0.7555555555555555,0.7816091954022989,0.6285393610547089
0.14999999999999997,1,1,1,0.8604651162790697,0.8709677419354839,0.8666666666666667,0.7262569832402236,1.0,0.8657164291072768,0.9163203947880594,0.8657005021021039,0.8222222222222222,0.8409090909090909,0.7268129499851159
0.14999999999999997,1,2,1,0.7441860465116279,0.7903225806451613,0.7714285714285715,0.5307262569832403,1.0,0.7672543135783946,0.866035838639941,0.7669074499306874,0.7111111111111111,0.7272727272727273,0.5311325403737386
0.14999999999999997,1,3,1,0.8604651162790697,0.9516129032258065,0.9142857142857143,0.8208530805687203,1.0,0.9060390097524381,0.9243172075581594,0.9048920971181352,0.925,0.891566265060241,0.8223205701475029
0.14999999999999997,1,4,1,0.7142857142857143,0.8253968253968254,0.780952380952381,0.5418326693227092,1.0,0.7698412698412698,0.8252613341759305,0.7678340712665285,0.7317073170731707,0.7228915662650602,0.5419402061038375
0.14999999999999997,1,5,1,0.8095238095238095,0.8412698412698413,0.8285714285714286,0.6456692913385828,1.0,0.8253968253968254,0.8824105222161432,0.8252441861305371,0.7727272727272727,0.7906976744186046,0.6461702685025609
0.15999999999999998,1,1,1,0.8604651162790697,0.8709677419354839,0.8666666666666667,0.7262569832402236,1.0,0.8657164291072768,0.9165017727242739,0.8657005021021039,0.8222222222222222,0.8409090909090909,0.7268129499851159
0.15999999999999998,1,2,1,0.7441860465116279,0.7903225806451613,0.7714285714285715,0.5307262569832403,1.0,0.7672543135783946,0.8654226575481208,0.7669074499306874,0.7111111111111111,0.7272727272727273,0.5311325403737386
0.15999999999999998,1,3,1,0.8604651162790697,0.9516129032258065,0.9142857142857143,0.8208530805687203,1.0,0.9060390097524381,0.9247973764440811,0.9048920971181352,0.925,0.891566265060241,0.8223205701475029
0.15999999999999998,1,4,1,0.7142857142857143,0.8253968253968254,0.780952380952381,0.5418326693227092,1.0,0.7698412698412698,0.8244872707480907,0.7678340712665285,0.7317073170731707,0.7228915662650602,0.5419402061038375
0.15999999999999998,1,5,1,0.8095238095238095,0.873015873015873,0.8476190476190476,0.6825396825396824,1.0,0.8412698412698413,0.8819491583814463,0.8406706461501816,0.8095238095238095,0.8095238095238095,0.6825396825396826
0.16999999999999998,1,1,1,0.8604651162790697,0.8709677419354839,0.8666666666666667,0.7262569832402236,1.0,0.8657164291072768,0.9151876284201628,0.8657005021021039,0.8222222222222222,0.8409090909090909,0.7268129499851159
0.16999999999999998,1,2,1,0.7441860465116279,0.7903225806451613,0.7714285714285715,0.5307262569832403,1.0,0.7672543135783946,0.8652498023736557,0.7669074499306874,0.7111111111111111,0.7272727272727273,0.5311325403737386
0.16999999999999998,1,3,1,0.8837209302325582,0.9516129032258065,0.9238095238095239,0.8413298073290518,1.0,0.9176669167291823,0.9248438384157671,0.9170388432667479,0.926829268292683,0.9047619047619048,0.8419925117870131
0.16999999999999998,1,4,1,0.7142857142857143,0.8253968253968254,0.780952380952381,0.5418326693227092,1.0,0.7698412698412698,0.8236413752480335,0.7678340712665285,0.7317073170731707,0.7228915662650602,0.5419402061038375
0.16999999999999998,1,5,1,0.8095238095238095,0.873015873015873,0.8476190476190476,0.6825396825396824,1.0,0.8412698412698413,0.8818862805275153,0.8406706461501816,0.8095238095238095,0.8095238095238095,0.6825396825396826
0.17999999999999997,1,1,1,0.8604651162790697,0.8709677419354839,0.8666666666666667,0.7262569832402236,1.0,0.8657164291072768,0.9157027387507277,0.8657005021021039,0.8222222222222222,0.8409090909090909,0.7268129499851159
0.17999999999999997,1,2,1,0.7441860465116279,0.8064516129032258,0.780952380952381,0.5486824892543449,1.0,0.7753188297074268,0.8669380947150342,0.774693511983531,0.7272727272727273,0.735632183908046,0.5487881528144763
0.17999999999999997,1,3,1,0.8837209302325582,0.9516129032258065,0.9238095238095239,0.8413298073290518,1.0,0.9176669167291823,0.9256015015109271,0.9170388432667479,0.926829268292683,0.9047619047619048,0.8419925117870131
0.17999999999999997,1,4,1,0.6904761904761905,0.8253968253968254,0.7714285714285715,0.52,1.0,0.7579365079365079,0.8248206325067479,0.7549283778154993,0.725,0.7073170731707317,0.5204164998665332
