SmoothFactor,TanimotoDistance,Fold,Repeat,Sensitivity,Specificity,Accuracy,kappa,Coverage,AreaUnderTheCurve,PR_AUC,GMean,Precision,F1,MCC
0.1,1,1,1,0.5167785234899329,0.9146039603960396,0.8526645768025078,0.43495374926195646,1.0,0.7156912419429863,0.5349654532545172,0.6874937703219648,0.5273972602739726,0.5220338983050847,0.43498518563570737
0.1,1,2,1,0.49324324324324326,0.930778739184178,0.8631138975966562,0.4474912408276592,1.0,0.7120109912137106,0.5775403752308291,0.6775694237914376,0.5658914728682171,0.5270758122743683,0.44893500186664137
0.1,1,3,1,0.43243243243243246,0.9344059405940595,0.856694560669456,0.4011558790716389,1.0,0.683419186513246,0.5504219827986535,0.6356629875731354,0.5470085470085471,0.4830188679245283,0.40489031209345566
0.1,1,4,1,0.46621621621621623,0.9294554455445545,0.8577405857740585,0.4212456821338269,1.0,0.6978358308803854,0.5229367010561526,0.6582759307185244,0.5476190476190477,0.5036496350364964,0.42310403423884024
0.1,1,5,1,0.6148648648648649,0.9220297029702971,0.8744769874476988,0.5281497811852193,1.0,0.768447283917581,0.6211434009462727,0.7529433369903895,0.5909090909090909,0.6026490066225165,0.5282968283933824
0.11,1,1,1,0.5167785234899329,0.9158415841584159,0.8537095088819227,0.4374086702386749,1.0,0.7163100538241745,0.5372068396053066,0.687958764470711,0.5310344827586206,0.5238095238095238,0.43746518885755464
0.11,1,2,1,0.4864864864864865,0.9320148331273177,0.8631138975966562,0.444253334692774,1.0,0.7092506598069022,0.5803814025712821,0.6733592069032678,0.5669291338582677,0.5236363636363637,0.44602689143971785
0.11,1,3,1,0.43243243243243246,0.9344059405940595,0.856694560669456,0.4011558790716389,1.0,0.683419186513246,0.5515834466684366,0.6356629875731354,0.5470085470085471,0.4830188679245283,0.40489031209345566
0.11,1,4,1,0.4594594594594595,0.9294554455445545,0.856694560669456,0.4152722467275032,1.0,0.694457452502007,0.5265550584929245,0.6534884058662036,0.544,0.4981684981684982,0.41728772277712844
0.11,1,5,1,0.6148648648648649,0.9232673267326733,0.8755230125523012,0.5308081891218634,1.0,0.7690660957987692,0.622698652048152,0.7534484986285593,0.5947712418300654,0.6046511627906976,0.53091136570992
0.12,1,1,1,0.5167785234899329,0.9158415841584159,0.8537095088819227,0.4374086702386749,1.0,0.7163100538241745,0.540367398737435,0.687958764470711,0.5310344827586206,0.5238095238095238,0.43746518885755464
0.12,1,2,1,0.4864864864864865,0.9320148331273177,0.8631138975966562,0.444253334692774,1.0,0.7092506598069022,0.5823396542413106,0.6733592069032678,0.5669291338582677,0.5236363636363637,0.44602689143971785
0.12,1,3,1,0.43243243243243246,0.9356435643564357,0.8577405857740585,0.4037276196066919,1.0,0.684037998394434,0.5532944478882912,0.636083817137651,0.5517241379310345,0.48484848484848486,0.4077607292795098
0.12,1,4,1,0.4594594594594595,0.9294554455445545,0.856694560669456,0.4152722467275032,1.0,0.694457452502007,0.5279234641999007,0.6534884058662036,0.544,0.4981684981684982,0.41728772277712844
0.12,1,5,1,0.6081081081081081,0.9245049504950495,0.8755230125523012,0.5282399190538589,1.0,0.7663065293015788,0.6245370338255003,0.7497992773950404,0.5960264900662252,0.6020066889632107,0.5282772817546685
0.13,1,1,1,0.5100671140939598,0.9146039603960396,0.851619644723093,0.4293716512420848,1.0,0.7123355372449998,0.5419047487336142,0.6830149358675213,0.5241379310344828,0.5170068027210885,0.4294271313785461
0.13,1,2,1,0.4864864864864865,0.930778739184178,0.8620689655172413,0.4416470713035482,1.0,0.7086326128353322,0.5846275946661228,0.6729125340800486,0.5625,0.5217391304347826,0.4432360348878888
0.13,1,3,1,0.43243243243243246,0.9381188118811881,0.8598326359832636,0.40891809087888975,1.0,0.6852756221568103,0.5545157113835614,0.6369246421142816,0.5614035087719298,0.48854961832061067,0.4135960121045039
0.13,1,4,1,0.46621621621621623,0.9306930693069307,0.858786610878661,0.4238084183081235,1.0,0.6984546427615734,0.529644346157896,0.6587140511868059,0.552,0.5054945054945055,0.42586532368396024
0.13,1,5,1,0.6081081081081081,0.9245049504950495,0.8755230125523012,0.5282399190538589,1.0,0.7663065293015788,0.6249914084407512,0.7497992773950404,0.5960264900662252,0.6020066889632107,0.5282772817546685
