,,full,inside_app_dom,outside_app_dom
bbb,autoadmet-ensemble,0.4839285714285714,0.7741935483870968,0.3212996389891697
bbb,autoadmet-mordred_desc,0.5160142348754448,0.7741935483870968,0.35967302452316074
bbb,vnn-morgan_fp,0.23561151079136688,0.0,0.3094209161624891
bbb,coverage,1.0,0.3088235294117647,0.6911764705882353
herg,autoadmet-ensemble,0.5845177963115236,0.6248812915479582,0.47651006711409394
herg,autoadmet-mordred_desc,0.7086503570174412,0.7472808701215612,0.6225806451612903
herg,vnn-morgan_fp,0.5835393853761921,0.6248812915479582,0.44680851063829785
herg,coverage,1.0,0.6030534351145038,0.3969465648854962
pgp_substrates,autoadmet-ensemble,0.5802469135802469,0.6153846153846154,0.5337620578778135
pgp_substrates,autoadmet-mordred_desc,0.5925925925925926,0.7252747252747253,0.4743892828999212
pgp_substrates,vnn-morgan_fp,0.40740740740740744,0.6153846153846154,0.2496194824961948
pgp_substrates,coverage,1.0,0.46296296296296297,0.537037037037037
dili,autoadmet-ensemble,0.4040479162793169,0.48811410459587956,0.319935691318328
dili,autoadmet-mordred_desc,0.3884559116903844,0.45788043478260876,0.319935691318328
dili,vnn-morgan_fp,0.30681053736243036,0.39805385833899076,0.18635394456289978
dili,coverage,1.0,0.48014440433212996,0.5198555956678701
pgp_inhibitors,autoadmet-ensemble,0.7349716098480494,0.7101057843799234,0.6903813038130382
pgp_inhibitors,autoadmet-mordred_desc,0.7003577714634118,0.676300578034682,0.6381461675579323
pgp_inhibitors,vnn-morgan_fp,0.4474535539328959,0.5571703355417825,0.27247097051655744
pgp_inhibitors,coverage,1.0,0.5245901639344263,0.47540983606557374
hlm,autoadmet-ensemble,0.4748444661310841,0.5361730984164459,0.3411337044189481
hlm,autoadmet-morgan_fp,0.39723507058479635,0.47932323822064327,0.21970794783190273
hlm,vnn-morgan_fp,0.4321522644234854,0.4735642942473244,0.34347302768355403
hlm,coverage,1.0,0.6747967479674797,0.3252032520325203
cytotox,autoadmet-ensemble,0.3958812705351624,0.5101836899953118,0.1660423877483288
cytotox,autoadmet-morgan_fp,0.4394498187730711,0.5257431022707072,0.2881463332206827
cytotox,vnn-morgan_fp,0.40621721826728274,0.4983804231116542,0.24293899698325605
cytotox,coverage,1.0,0.5819881053525914,0.4180118946474086
mmp,autoadmet-ensemble,0.5868582686290416,0.5748502994011976,0.592318665946455
mmp,autoadmet-mordred_desc,0.5989215854987666,0.6088622754491018,0.5946582517914955
mmp,vnn-morgan_fp,0.3463799005360718,0.5149587750294464,0.24719026622020368
mmp,coverage,1.0,0.2968227424749164,0.7031772575250836
ames,autoadmet-ensemble,0.5486763890184221,0.5700132100396302,0.4611560277477793
ames,autoadmet-mordred_desc,0.5440376617972575,0.5623348745046235,0.4620457878837917
ames,vnn-morgan_fp,0.4851566025410762,0.5833292304662498,0.36216267942583735
ames,coverage,1.0,0.5027027027027027,0.4972972972972973
cyp1a2,autoadmet-ensemble,0.6082880814224098,0.6636177617656832,0.3159090909090909
cyp1a2,autoadmet-mordred_desc,0.5971506469846894,0.6447934838913267,0.3712793733681462
cyp1a2,vnn-morgan_fp,0.4794643191375201,0.5512732278045424,0.11166945840312681
cyp1a2,coverage,1.0,0.6740179186767746,0.32598208132322537
cyp2d6,autoadmet-ensemble,0.5953835510323089,0.5902074844415969,0.6033057851239669
cyp2d6,autoadmet-mordred_desc,0.5618280085094965,0.527281019884211,0.6321998612074948
cyp2d6,vnn-morgan_fp,0.4639282814785617,0.5633599862167263,0.19150891380260981
cyp2d6,coverage,1.0,0.6406779661016949,0.3593220338983051
cyp2c9,autoadmet-ensemble,0.44399108838042123,0.5621621621621622,0.13997640847048243
cyp2c9,autoadmet-morgan_fp,0.449806127323352,0.5388628064684402,0.20557835913159594
cyp2c9,vnn-morgan_fp,0.40308931026824746,0.5389150943396226,0.0642349740541085
cyp2c9,coverage,1.0,0.6701708278580815,0.32982917214191854
cyp2c19,autoadmet-ensemble,0.5087517567394915,0.6064212938887926,0.26817061107584195
cyp2c19,autoadmet-mordred_desc,0.5033146801837413,0.5792455315972069,0.34441851643235655
cyp2c19,vnn-morgan_fp,0.39922941709131576,0.4982526210683974,0.14994559627967985
cyp2c19,coverage,1.0,0.653446033810143,0.346553966189857
cyp3a4,autoadmet-ensemble,0.633778189589467,0.6682937459141425,0.3820799580203995
cyp3a4,autoadmet-morgan_fp,0.6234340271509282,0.6642987480908462,0.35394442804739223
cyp3a4,vnn-morgan_fp,0.5476118316905558,0.5839001662011567,0.19062629185613889
cyp3a4,coverage,1.0,0.6387267904509284,0.3612732095490716
