,vnn-morgan_fp,vnn-morgan_fp,vnn-morgan_fp,bhsai_automl-mordred_desc,bhsai_automl-mordred_desc,bhsai_automl-mordred_desc,bhsai_automl-ensemble,bhsai_automl-ensemble,bhsai_automl-ensemble
,full,inside_app_dom,outside_app_dom,full,inside_app_dom,outside_app_dom,full,inside_app_dom,outside_app_dom
kappa,0.4851566025410762,0.5833292304662498,0.36216267942583735,0.5440376617972575,0.5623348745046235,0.4620457878837917,0.5486763890184221,0.5700132100396302,0.4611560277477793
Pr(e),0.5335388560098985,0.6165936371079823,0.4960649666293739,0.5156410906217856,0.5998876831343012,0.5035251340611859,0.5140847631967324,0.5998876831343012,0.5043449326800663
accuracy,0.7598455598455598,0.8402457757296466,0.6785714285714286,0.7791505791505792,0.8248847926267281,0.7329192546583851,0.7806949806949807,0.8279569892473119,0.7329192546583851
recall,0.8547557840616966,0.9112050739957717,0.7672131147540984,0.7969151670951157,0.8752642706131079,0.6754098360655738,0.7917737789203085,0.8773784355179705,0.659016393442623
specificity,0.6170212765957447,0.651685393258427,0.5988200589970502,0.7524177949709865,0.6910112359550562,0.7846607669616519,0.7640232108317214,0.6966292134831461,0.799410029498525
coverage,1.0,0.5027027027027027,0.4972972972972973,1.0,0.5027027027027027,0.4972972972972973,1.0,0.5027027027027027,0.4972972972972973
tn,319.0,116.0,203.0,389.0,123.0,266.0,395.0,124.0,271.0
fp,198.0,62.0,136.0,128.0,55.0,73.0,122.0,54.0,68.0
fn,113.0,42.0,71.0,158.0,59.0,99.0,162.0,58.0,104.0
tp,665.0,431.0,234.0,620.0,414.0,206.0,616.0,415.0,201.0
negative,517.0,178.0,339.0,517.0,178.0,339.0,517.0,178.0,339.0
positive,778.0,473.0,305.0,778.0,473.0,305.0,778.0,473.0,305.0
pred_neg,432.0,158.0,274.0,547.0,182.0,365.0,557.0,182.0,375.0
pred_pos,863.0,493.0,370.0,748.0,469.0,279.0,738.0,469.0,269.0
