,vnn-morgan_fp,vnn-morgan_fp,vnn-morgan_fp,autoadmet-mordred_desc,autoadmet-mordred_desc,autoadmet-mordred_desc,autoadmet-ensemble,autoadmet-ensemble,autoadmet-ensemble
,full,inside_app_dom,outside_app_dom,full,inside_app_dom,outside_app_dom,full,inside_app_dom,outside_app_dom
kappa,0.23561151079136688,0.0,0.3094209161624891,0.5160142348754448,0.7741935483870968,0.35967302452316074,0.4839285714285714,0.7741935483870968,0.3212996389891697
Pr(e),0.5190311418685121,0.6190476190476191,0.476233589859665,0.513840830449827,0.7891156462585034,0.501584427342689,0.5155709342560554,0.7891156462585034,0.498415572657311
accuracy,0.6323529411764706,0.6190476190476191,0.6382978723404256,0.7647058823529411,0.9523809523809523,0.6808510638297872,0.75,0.9523809523809523,0.6595744680851063
recall,0.7631578947368421,0.6666666666666666,0.85,0.8421052631578947,1.0,0.7,0.8421052631578947,1.0,0.7
specificity,0.4666666666666667,0.3333333333333333,0.48148148148148145,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6333333333333333,0.6666666666666666,0.6296296296296297
coverage,1.0,0.3088235294117647,0.6911764705882353,1.0,0.3088235294117647,0.6911764705882353,1.0,0.3088235294117647,0.6911764705882353
tn,14.0,1.0,13.0,20.0,2.0,18.0,19.0,2.0,17.0
fp,16.0,2.0,14.0,10.0,1.0,9.0,11.0,1.0,10.0
fn,9.0,6.0,3.0,6.0,0.0,6.0,6.0,0.0,6.0
tp,29.0,12.0,17.0,32.0,18.0,14.0,32.0,18.0,14.0
negative,30.0,3.0,27.0,30.0,3.0,27.0,30.0,3.0,27.0
positive,38.0,18.0,20.0,38.0,18.0,20.0,38.0,18.0,20.0
pred_neg,23.0,7.0,16.0,26.0,2.0,24.0,25.0,2.0,23.0
pred_pos,45.0,14.0,31.0,42.0,19.0,23.0,43.0,19.0,24.0
