,vnn-morgan_fp,vnn-morgan_fp,vnn-morgan_fp,autoadmet-mordred_desc,autoadmet-mordred_desc,autoadmet-mordred_desc,autoadmet-ensemble,autoadmet-ensemble,autoadmet-ensemble
,full,inside_app_dom,outside_app_dom,full,inside_app_dom,outside_app_dom,full,inside_app_dom,outside_app_dom
kappa,0.4794643191375201,0.5512732278045424,0.11166945840312681,0.5971506469846894,0.6447934838913267,0.3712793733681462,0.6082880814224098,0.6636177617656832,0.3159090909090909
Pr(e),0.6954841381760529,0.6445293387029998,0.8238851467623777,0.6954841381760529,0.648811689479385,0.811691823590147,0.693863544284438,0.6413175756207109,0.8269334775554353
accuracy,0.8414886285320469,0.8404907975460123,0.8435517970401691,0.8773259820813232,0.8752556237218814,0.8816067653276956,0.8800827015851137,0.8793456032719836,0.8816067653276956
recall,0.5217391304347826,0.6351931330472103,0.12121212121212122,0.6086956521739131,0.6909871244635193,0.3181818181818182,0.6220735785953178,0.7296137339055794,0.24242424242424243
specificity,0.9244791666666666,0.9046979865771813,0.9606879606879607,0.9470486111111112,0.9328859060402684,0.972972972972973,0.9470486111111112,0.9261744966442953,0.9852579852579852
coverage,1.0,0.6740179186767746,0.32598208132322537,1.0,0.6740179186767746,0.32598208132322537,1.0,0.6740179186767746,0.32598208132322537
tn,1065.0,674.0,391.0,1091.0,695.0,396.0,1091.0,690.0,401.0
fp,87.0,71.0,16.0,61.0,50.0,11.0,61.0,55.0,6.0
fn,143.0,85.0,58.0,117.0,72.0,45.0,113.0,63.0,50.0
tp,156.0,148.0,8.0,182.0,161.0,21.0,186.0,170.0,16.0
negative,1152.0,745.0,407.0,1152.0,745.0,407.0,1152.0,745.0,407.0
positive,299.0,233.0,66.0,299.0,233.0,66.0,299.0,233.0,66.0
pred_neg,1208.0,759.0,449.0,1208.0,767.0,441.0,1204.0,753.0,451.0
pred_pos,243.0,219.0,24.0,243.0,211.0,32.0,247.0,225.0,22.0
