,vnn-morgan_fp,vnn-morgan_fp,vnn-morgan_fp,autoadmet-mordred_desc,autoadmet-mordred_desc,autoadmet-mordred_desc,autoadmet-ensemble,autoadmet-ensemble,autoadmet-ensemble
,full,inside_app_dom,outside_app_dom,full,inside_app_dom,outside_app_dom,full,inside_app_dom,outside_app_dom
kappa,0.39922941709131576,0.4982526210683974,0.14994559627967985,0.5033146801837413,0.5792455315972069,0.34441851643235655,0.5087517567394915,0.6064212938887926,0.26817061107584195
Pr(e),0.7142811243893324,0.6886502809336402,0.7638380929919849,0.6727328991935552,0.6618252023464766,0.6937825822189525,0.7154352417558818,0.6915660503452885,0.7615782378057581
accuracy,0.8283485045513654,0.8437810945273632,0.799249530956848,0.8374512353706112,0.8577114427860697,0.799249530956848,0.8602080624187256,0.8786069651741294,0.8255159474671669
recall,0.4171974522292994,0.5528846153846154,0.1509433962264151,0.6114649681528662,0.6971153846153846,0.44339622641509435,0.49044585987261147,0.625,0.22641509433962265
specificity,0.9338235294117647,0.9196988707653702,0.9601873536299765,0.8954248366013072,0.8996235884567126,0.8875878220140515,0.9550653594771242,0.944792973651192,0.9742388758782201
coverage,1.0,0.653446033810143,0.346553966189857,1.0,0.653446033810143,0.346553966189857,1.0,0.653446033810143,0.346553966189857
tn,1143.0,733.0,410.0,1096.0,717.0,379.0,1169.0,753.0,416.0
fp,81.0,64.0,17.0,128.0,80.0,48.0,55.0,44.0,11.0
fn,183.0,93.0,90.0,122.0,63.0,59.0,160.0,78.0,82.0
tp,131.0,115.0,16.0,192.0,145.0,47.0,154.0,130.0,24.0
negative,1224.0,797.0,427.0,1224.0,797.0,427.0,1224.0,797.0,427.0
positive,314.0,208.0,106.0,314.0,208.0,106.0,314.0,208.0,106.0
pred_neg,1326.0,826.0,500.0,1218.0,780.0,438.0,1329.0,831.0,498.0
pred_pos,212.0,179.0,33.0,320.0,225.0,95.0,209.0,174.0,35.0
