,vnn-morgan_fp,vnn-morgan_fp,vnn-morgan_fp,bhsai_automl-morgan_fp,bhsai_automl-morgan_fp,bhsai_automl-morgan_fp,bhsai_automl-ensemble,bhsai_automl-ensemble,bhsai_automl-ensemble
,full,inside_app_dom,outside_app_dom,full,inside_app_dom,outside_app_dom,full,inside_app_dom,outside_app_dom
kappa,0.40308931026824746,0.5389150943396226,0.0642349740541085,0.449806127323352,0.5388628064684402,0.20557835913159594,0.44399108838042123,0.5621621621621622,0.13997640847048243
Pr(e),0.817280844590336,0.8043829296424452,0.8424707544324693,0.7993778502247372,0.7788927335640139,0.8395184203425342,0.8322000065616685,0.8186274509803921,0.8587085919271122
accuracy,0.8909329829172142,0.9098039215686274,0.852589641434263,0.8896189224704336,0.8980392156862745,0.8725099601593626,0.9067017082785808,0.9205882352941176,0.8784860557768924
recall,0.3837837837837838,0.55,0.07692307692307693,0.4756756756756757,0.6416666666666667,0.16923076923076924,0.3675675675675676,0.5166666666666667,0.09230769230769231
specificity,0.9611069558713538,0.9577777777777777,0.9679633867276888,0.9468960359012715,0.9322222222222222,0.977116704805492,0.981301421091997,0.9744444444444444,0.9954233409610984
coverage,1.0,0.6701708278580815,0.32982917214191854,1.0,0.6701708278580815,0.32982917214191854,1.0,0.6701708278580815,0.32982917214191854
tn,1285.0,862.0,423.0,1266.0,839.0,427.0,1312.0,877.0,435.0
fp,52.0,38.0,14.0,71.0,61.0,10.0,25.0,23.0,2.0
fn,114.0,54.0,60.0,97.0,43.0,54.0,117.0,58.0,59.0
tp,71.0,66.0,5.0,88.0,77.0,11.0,68.0,62.0,6.0
negative,1337.0,900.0,437.0,1337.0,900.0,437.0,1337.0,900.0,437.0
positive,185.0,120.0,65.0,185.0,120.0,65.0,185.0,120.0,65.0
pred_neg,1399.0,916.0,483.0,1363.0,882.0,481.0,1429.0,935.0,494.0
pred_pos,123.0,104.0,19.0,159.0,138.0,21.0,93.0,85.0,8.0
