,vnn-morgan_fp,vnn-morgan_fp,vnn-morgan_fp,autoadmet-mordred_desc,autoadmet-mordred_desc,autoadmet-mordred_desc,autoadmet-ensemble,autoadmet-ensemble,autoadmet-ensemble
,full,inside_app_dom,outside_app_dom,full,inside_app_dom,outside_app_dom,full,inside_app_dom,outside_app_dom
kappa,0.4639282814785617,0.5633599862167263,0.19150891380260981,0.5618280085094965,0.527281019884211,0.6321998612074948,0.5953835510323089,0.5902074844415969,0.6033057851239669
Pr(e),0.7457967250790003,0.7140259231264522,0.8063011747953008,0.7122095949439816,0.6955583550292544,0.7435030259878961,0.7335832232117208,0.7133663671229808,0.7716981132075472
accuracy,0.8637288135593221,0.8751322751322751,0.8433962264150944,0.8738983050847458,0.8560846560846561,0.9056603773584906,0.8922033898305085,0.8825396825396825,0.909433962264151
recall,0.44866920152091255,0.5842696629213483,0.16470588235294117,0.623574144486692,0.6123595505617978,0.6470588235294118,0.5817490494296578,0.6067415730337079,0.5294117647058824
specificity,0.9537953795379538,0.9426336375488917,0.9730337078651685,0.9282178217821783,0.9126466753585397,0.9550561797752809,0.9595709570957096,0.9465449804432855,0.9820224719101124
coverage,1.0,0.6406779661016949,0.3593220338983051,1.0,0.6406779661016949,0.3593220338983051,1.0,0.6406779661016949,0.3593220338983051
tn,1156.0,723.0,433.0,1125.0,700.0,425.0,1163.0,726.0,437.0
fp,56.0,44.0,12.0,87.0,67.0,20.0,49.0,41.0,8.0
fn,145.0,74.0,71.0,99.0,69.0,30.0,110.0,70.0,40.0
tp,118.0,104.0,14.0,164.0,109.0,55.0,153.0,108.0,45.0
negative,1212.0,767.0,445.0,1212.0,767.0,445.0,1212.0,767.0,445.0
positive,263.0,178.0,85.0,263.0,178.0,85.0,263.0,178.0,85.0
pred_neg,1301.0,797.0,504.0,1224.0,769.0,455.0,1273.0,796.0,477.0
pred_pos,174.0,148.0,26.0,251.0,176.0,75.0,202.0,149.0,53.0
