,vnn-morgan_fp,vnn-morgan_fp,vnn-morgan_fp,autoadmet-morgan_fp,autoadmet-morgan_fp,autoadmet-morgan_fp,autoadmet-ensemble,autoadmet-ensemble,autoadmet-ensemble
,full,inside_app_dom,outside_app_dom,full,inside_app_dom,outside_app_dom,full,inside_app_dom,outside_app_dom
kappa,0.5476118316905558,0.5839001662011567,0.19062629185613889,0.6234340271509282,0.6642987480908462,0.35394442804739223,0.633778189589467,0.6682937459141425,0.3820799580203995
Pr(e),0.6341256182763546,0.5608643944327325,0.8330864389200472,0.6196255514356676,0.5546586130395912,0.7954377362477656,0.6233675041687481,0.5568067681372171,0.8027583173229315
accuracy,0.8344827586206897,0.8172757475083057,0.8649045521292217,0.8567639257294429,0.8504983388704319,0.8678414096916299,0.8620689655172413,0.8529900332225914,0.8781204111600588
recall,0.5540796963946869,0.6480186480186481,0.14285714285714285,0.6527514231499051,0.7249417249417249,0.336734693877551,0.6470588235294118,0.717948717948718,0.336734693877551
specificity,0.9432989690721649,0.9109677419354839,0.9862778730703259,0.9359351988217968,0.92,0.9571183533447685,0.9455081001472754,0.927741935483871,0.9691252144082333
coverage,1.0,0.6387267904509284,0.3612732095490716,1.0,0.6387267904509284,0.3612732095490716,1.0,0.6387267904509284,0.3612732095490716
tn,1281.0,706.0,575.0,1271.0,713.0,558.0,1284.0,719.0,565.0
fp,77.0,69.0,8.0,87.0,62.0,25.0,74.0,56.0,18.0
fn,235.0,151.0,84.0,183.0,118.0,65.0,186.0,121.0,65.0
tp,292.0,278.0,14.0,344.0,311.0,33.0,341.0,308.0,33.0
negative,1358.0,775.0,583.0,1358.0,775.0,583.0,1358.0,775.0,583.0
positive,527.0,429.0,98.0,527.0,429.0,98.0,527.0,429.0,98.0
pred_neg,1516.0,857.0,659.0,1454.0,831.0,623.0,1470.0,840.0,630.0
pred_pos,369.0,347.0,22.0,431.0,373.0,58.0,415.0,364.0,51.0
