,vnn-morgan_fp,vnn-morgan_fp,vnn-morgan_fp,bhsai_automl-morgan_fp,bhsai_automl-morgan_fp,bhsai_automl-morgan_fp,bhsai_automl-ensemble,bhsai_automl-ensemble,bhsai_automl-ensemble
,full,inside_app_dom,outside_app_dom,full,inside_app_dom,outside_app_dom,full,inside_app_dom,outside_app_dom
kappa,0.40621721826728274,0.4983804231116542,0.24293899698325605,0.4394498187730711,0.5257431022707072,0.2881463332206827,0.3958812705351624,0.5101836899953118,0.1660423877483288
Pr(e),0.5492803514544199,0.5256241675102563,0.5919178399101064,0.568029688254559,0.5444275134530343,0.608830722453566,0.5865256556384801,0.5499579093185571,0.6514806001718554
accuracy,0.7323704333050127,0.762043795620438,0.6910569105691057,0.7578589634664401,0.7839416058394161,0.7215447154471545,0.7502124044180118,0.7795620437956204,0.709349593495935
recall,0.5956416464891041,0.71484375,0.4012738853503185,0.5423728813559322,0.64453125,0.37579617834394907,0.4430992736077482,0.609375,0.17197452229299362
specificity,0.806282722513089,0.7902097902097902,0.826865671641791,0.8743455497382199,0.8671328671328671,0.8835820895522388,0.9162303664921466,0.8811188811188811,0.9611940298507463
coverage,1.0,0.5819881053525914,0.4180118946474086,1.0,0.5819881053525914,0.4180118946474086,1.0,0.5819881053525914,0.4180118946474086
tn,616.0,339.0,277.0,668.0,372.0,296.0,700.0,378.0,322.0
fp,148.0,90.0,58.0,96.0,57.0,39.0,64.0,51.0,13.0
fn,167.0,73.0,94.0,189.0,91.0,98.0,230.0,100.0,130.0
tp,246.0,183.0,63.0,224.0,165.0,59.0,183.0,156.0,27.0
negative,764.0,429.0,335.0,764.0,429.0,335.0,764.0,429.0,335.0
positive,413.0,256.0,157.0,413.0,256.0,157.0,413.0,256.0,157.0
pred_neg,783.0,412.0,371.0,857.0,463.0,394.0,930.0,478.0,452.0
pred_pos,394.0,273.0,121.0,320.0,222.0,98.0,247.0,207.0,40.0
