,vnn-morgan_fp,vnn-morgan_fp,vnn-morgan_fp,bhsai_automl-mordred_desc,bhsai_automl-mordred_desc,bhsai_automl-mordred_desc,bhsai_automl-ensemble,bhsai_automl-ensemble,bhsai_automl-ensemble
,full,inside_app_dom,outside_app_dom,full,inside_app_dom,outside_app_dom,full,inside_app_dom,outside_app_dom
kappa,0.30681053736243036,0.39805385833899076,0.18635394456289978,0.3884559116903844,0.45788043478260876,0.319935691318328,0.4040479162793169,0.48811410459587956,0.319935691318328
Pr(e),0.5156590076763675,0.5003674600033919,0.5476466049382716,0.5100288026691342,0.5007066538526768,0.5200617283950617,0.50932502704323,0.5005935892362485,0.5200617283950617
accuracy,0.6642599277978339,0.6992481203007519,0.6319444444444444,0.7003610108303249,0.7293233082706767,0.6736111111111112,0.7075812274368231,0.7443609022556391,0.6736111111111112
recall,0.7960526315789473,0.746268656716418,0.8352941176470589,0.7763157894736842,0.8208955223880597,0.7411764705882353,0.7763157894736842,0.8208955223880597,0.7411764705882353
specificity,0.504,0.6515151515151515,0.3389830508474576,0.608,0.6363636363636364,0.576271186440678,0.624,0.6666666666666666,0.576271186440678
coverage,1.0,0.48014440433212996,0.5198555956678701,1.0,0.48014440433212996,0.5198555956678701,1.0,0.48014440433212996,0.5198555956678701
tn,63.0,43.0,20.0,76.0,42.0,34.0,78.0,44.0,34.0
fp,62.0,23.0,39.0,49.0,24.0,25.0,47.0,22.0,25.0
fn,31.0,17.0,14.0,34.0,12.0,22.0,34.0,12.0,22.0
tp,121.0,50.0,71.0,118.0,55.0,63.0,118.0,55.0,63.0
negative,125.0,66.0,59.0,125.0,66.0,59.0,125.0,66.0,59.0
positive,152.0,67.0,85.0,152.0,67.0,85.0,152.0,67.0,85.0
pred_neg,94.0,60.0,34.0,110.0,54.0,56.0,112.0,56.0,56.0
pred_pos,183.0,73.0,110.0,167.0,79.0,88.0,165.0,77.0,88.0
