,vnn-morgan_fp,vnn-morgan_fp,vnn-morgan_fp,autoadmet-mordred_desc,autoadmet-mordred_desc,autoadmet-mordred_desc,autoadmet-ensemble,autoadmet-ensemble,autoadmet-ensemble
,full,inside_app_dom,outside_app_dom,full,inside_app_dom,outside_app_dom,full,inside_app_dom,outside_app_dom
kappa,0.5835393853761921,0.6248812915479582,0.44680851063829785,0.7086503570174412,0.7472808701215612,0.6225806451612903,0.5845177963115236,0.6248812915479582,0.47651006711409394
Pr(e),0.5050987704679214,0.4938311168082038,0.5828402366863905,0.5021851873433949,0.49911873097260057,0.5414201183431953,0.5039333372181108,0.4938311168082038,0.5591715976331361
accuracy,0.7938931297709924,0.810126582278481,0.7692307692307693,0.8549618320610687,0.8734177215189873,0.8269230769230769,0.7938931297709924,0.810126582278481,0.7692307692307693
recall,0.6666666666666666,0.7333333333333333,0.5,0.8095238095238095,0.8222222222222222,0.7777777777777778,0.6984126984126984,0.7333333333333333,0.6111111111111112
specificity,0.9117647058823529,0.9117647058823529,0.9117647058823529,0.8970588235294118,0.9411764705882353,0.8529411764705882,0.8823529411764706,0.9117647058823529,0.8529411764705882
coverage,1.0,0.6030534351145038,0.3969465648854962,1.0,0.6030534351145038,0.3969465648854962,1.0,0.6030534351145038,0.3969465648854962
tn,62.0,31.0,31.0,61.0,32.0,29.0,60.0,31.0,29.0
fp,6.0,3.0,3.0,7.0,2.0,5.0,8.0,3.0,5.0
fn,21.0,12.0,9.0,12.0,8.0,4.0,19.0,12.0,7.0
tp,42.0,33.0,9.0,51.0,37.0,14.0,44.0,33.0,11.0
negative,68.0,34.0,34.0,68.0,34.0,34.0,68.0,34.0,34.0
positive,63.0,45.0,18.0,63.0,45.0,18.0,63.0,45.0,18.0
pred_neg,83.0,43.0,40.0,73.0,40.0,33.0,79.0,43.0,36.0
pred_pos,48.0,36.0,12.0,58.0,39.0,19.0,52.0,36.0,16.0
