,vnn-morgan_fp,vnn-morgan_fp,vnn-morgan_fp,bhsai_automl-morgan_fp,bhsai_automl-morgan_fp,bhsai_automl-morgan_fp,bhsai_automl-ensemble,bhsai_automl-ensemble,bhsai_automl-ensemble
,full,inside_app_dom,outside_app_dom,full,inside_app_dom,outside_app_dom,full,inside_app_dom,outside_app_dom
kappa,0.4321522644234854,0.4735642942473244,0.34347302768355403,0.39723507058479635,0.47932323822064327,0.21970794783190273,0.4748444661310841,0.5361730984164459,0.3411337044189481
Pr(e),0.5332540154669839,0.5285411525620555,0.54305,0.5387110846718224,0.5325823777035854,0.55145,0.5448502875272655,0.5376339091304979,0.55985
accuracy,0.734959349593496,0.7518072289156627,0.7,0.7219512195121951,0.7566265060240964,0.65,0.7609756097560976,0.7855421686746988,0.71
recall,0.5967078189300411,0.6463414634146342,0.4936708860759494,0.5473251028806584,0.6280487804878049,0.379746835443038,0.5596707818930041,0.6341463414634146,0.4050632911392405
specificity,0.8252688172043011,0.8207171314741036,0.8347107438016529,0.8360215053763441,0.8406374501992032,0.8264462809917356,0.8924731182795699,0.8844621513944223,0.9090909090909091
coverage,1.0,0.6747967479674797,0.3252032520325203,1.0,0.6747967479674797,0.3252032520325203,1.0,0.6747967479674797,0.3252032520325203
tn,307.0,206.0,101.0,311.0,211.0,100.0,332.0,222.0,110.0
fp,65.0,45.0,20.0,61.0,40.0,21.0,40.0,29.0,11.0
fn,98.0,58.0,40.0,110.0,61.0,49.0,107.0,60.0,47.0
tp,145.0,106.0,39.0,133.0,103.0,30.0,136.0,104.0,32.0
negative,372.0,251.0,121.0,372.0,251.0,121.0,372.0,251.0,121.0
positive,243.0,164.0,79.0,243.0,164.0,79.0,243.0,164.0,79.0
pred_neg,405.0,264.0,141.0,421.0,272.0,149.0,439.0,282.0,157.0
pred_pos,210.0,151.0,59.0,194.0,143.0,51.0,176.0,133.0,43.0
