,vnn-morgan_fp,vnn-morgan_fp,vnn-morgan_fp,bhsai_automl-mordred_desc,bhsai_automl-mordred_desc,bhsai_automl-mordred_desc,bhsai_automl-ensemble,bhsai_automl-ensemble,bhsai_automl-ensemble
,full,inside_app_dom,outside_app_dom,full,inside_app_dom,outside_app_dom,full,inside_app_dom,outside_app_dom
kappa,0.4474535539328959,0.5571703355417825,0.27247097051655744,0.7003577714634118,0.676300578034682,0.6381461675579323,0.7349716098480494,0.7101057843799234,0.6903813038130382
Pr(e),0.5252976761787758,0.6269929846938775,0.49217403965153245,0.5232409545382248,0.6552136479591837,0.5099128831080589,0.5228296102101146,0.6458067602040817,0.5067824989686719
accuracy,0.7377049180327869,0.8348214285714286,0.6305418719211823,0.8571428571428571,0.8883928571428571,0.8226600985221675,0.8735362997658079,0.8973214285714286,0.8472906403940886
recall,0.8247011952191236,0.8771929824561403,0.7125,0.9163346613545816,0.9473684210526315,0.85,0.9282868525896414,0.9415204678362573,0.9
specificity,0.6136363636363636,0.6981132075471698,0.5772357723577236,0.7727272727272727,0.6981132075471698,0.8048780487804879,0.7954545454545454,0.7547169811320755,0.8130081300813008
coverage,1.0,0.5245901639344263,0.47540983606557374,1.0,0.5245901639344263,0.47540983606557374,1.0,0.5245901639344263,0.47540983606557374
tn,108.0,37.0,71.0,136.0,37.0,99.0,140.0,40.0,100.0
fp,68.0,16.0,52.0,40.0,16.0,24.0,36.0,13.0,23.0
fn,44.0,21.0,23.0,21.0,9.0,12.0,18.0,10.0,8.0
tp,207.0,150.0,57.0,230.0,162.0,68.0,233.0,161.0,72.0
negative,176.0,53.0,123.0,176.0,53.0,123.0,176.0,53.0,123.0
positive,251.0,171.0,80.0,251.0,171.0,80.0,251.0,171.0,80.0
pred_neg,152.0,58.0,94.0,157.0,46.0,111.0,158.0,50.0,108.0
pred_pos,275.0,166.0,109.0,270.0,178.0,92.0,269.0,174.0,95.0
