,vnn-morgan_fp,vnn-morgan_fp,vnn-morgan_fp,autoadmet-mordred_desc,autoadmet-mordred_desc,autoadmet-mordred_desc,autoadmet-ensemble,autoadmet-ensemble,autoadmet-ensemble
,full,inside_app_dom,outside_app_dom,full,inside_app_dom,outside_app_dom,full,inside_app_dom,outside_app_dom
kappa,0.40740740740740744,0.6153846153846154,0.2496194824961948,0.5925925925925926,0.7252747252747253,0.4743892828999212,0.5802469135802469,0.6153846153846154,0.5337620578778135
Pr(e),0.5,0.5146666666666667,0.47919143876337694,0.5,0.5146666666666667,0.49702734839476814,0.5,0.5146666666666667,0.5069361870788743
accuracy,0.7037037037037037,0.8133333333333334,0.6091954022988506,0.7962962962962963,0.8666666666666667,0.735632183908046,0.7901234567901234,0.8133333333333334,0.7701149425287356
recall,0.8024691358024691,0.8222222222222222,0.7777777777777778,0.8395061728395061,0.8666666666666667,0.8055555555555556,0.8024691358024691,0.8222222222222222,0.7777777777777778
specificity,0.6049382716049383,0.8,0.49019607843137253,0.7530864197530864,0.8666666666666667,0.6862745098039216,0.7777777777777778,0.8,0.7647058823529411
coverage,1.0,0.46296296296296297,0.537037037037037,1.0,0.46296296296296297,0.537037037037037,1.0,0.46296296296296297,0.537037037037037
tn,49.0,24.0,25.0,61.0,26.0,35.0,63.0,24.0,39.0
fp,32.0,6.0,26.0,20.0,4.0,16.0,18.0,6.0,12.0
fn,16.0,8.0,8.0,13.0,6.0,7.0,16.0,8.0,8.0
tp,65.0,37.0,28.0,68.0,39.0,29.0,65.0,37.0,28.0
negative,81.0,30.0,51.0,81.0,30.0,51.0,81.0,30.0,51.0
positive,81.0,45.0,36.0,81.0,45.0,36.0,81.0,45.0,36.0
pred_neg,65.0,32.0,33.0,74.0,32.0,42.0,79.0,32.0,47.0
pred_pos,97.0,43.0,54.0,88.0,43.0,45.0,83.0,43.0,40.0
