DISPLAY_NAME,DATASET,DISTANCE_THRESHOLD,FULL_SIZE,NUM_POS,NUM_NEG,TRAIN_SIZE,NUM_POS_TRAIN,NUM_NEG_TRAIN,TEST_SIZE,NUM_POS_TEST
AMES,ames,0.5,6477,3488,2989,5182,2710,2472,1295,517
BBB,bbb,0.6,338,195,143,270,157,113,68,30
CYP1A2,cyp1a2,0.5,7255,1325,5930,5804,1026,4778,1451,1152
CYP2C9,cyp2c9,0.5,7611,907,6704,6089,722,5367,1522,1337
CYP2C19,cyp2c19,0.5,7688,1470,6218,6150,1156,4994,1538,1224
CYP2D6,cyp2d6,0.5,7375,1215,6160,5900,952,4948,1475,1212
CYP3A4,cyp3a4,0.5,9427,2295,7132,7542,1768,5774,1885,1358
Cytotoxicity,cytotox,0.4,5883,1916,3967,4706,1503,3203,1177,764
DILI,dili,0.6,1387,763,624,1110,611,499,277,125
hERG,herg,0.7,656,276,380,525,213,312,131,68
HLM,hlm,0.4,3077,1128,1949,2462,885,1577,615,372
MMP,mmp,0.5,5978,1014,4964,4782,741,4041,1196,923
Pgp Inhibitors,pgp_inhibitors,0.5,2136,1251,885,1709,1000,709,427,176
Pgp Substrates,pgp_substrates,0.6,812,416,396,650,335,315,162,81
