dataset,Descriptor,Model,Repeat,Fold,ROC_AUC,PR_AUC,Accuracy,Sensitivity,Specificity,GMean,Precision,F1,MCC,Kappa
bbb,Morgan,KNN,1,1,0.7138849929873773,0.7065913770512261,0.6481481481481481,1.0,0.1739130434782608,0.4170288281141495,0.62,0.7654320987654321,0.3283688276260731,0.1946624803767661
bbb,Morgan,KNN,1,2,0.8330995792426368,0.8088442698910021,0.6481481481481481,1.0,0.1739130434782608,0.4170288281141495,0.62,0.7654320987654321,0.3283688276260731,0.1946624803767661
bbb,Morgan,KNN,1,3,0.7748948106591865,0.7719477816668242,0.6481481481481481,1.0,0.1739130434782608,0.4170288281141495,0.62,0.7654320987654321,0.3283688276260731,0.1946624803767661
bbb,Morgan,KNN,1,4,0.6938920454545455,0.7098198180787467,0.6851851851851852,1.0,0.2272727272727272,0.4767312946227962,0.6530612244897959,0.7901234567901234,0.3852570642647097,0.2584814216478189
bbb,Morgan,KNN,1,5,0.7840909090909091,0.7806896551724138,0.6296296296296297,1.0,0.0909090909090909,0.3015113445777636,0.6153846153846154,0.7619047619047619,0.236524958395633,0.1059602649006623
bbb,Morgan,KNN,2,1,0.7594670406732118,0.7471671050554216,0.6296296296296297,0.967741935483871,0.1739130434782608,0.4102474196159468,0.6122448979591837,0.75,0.2416537654323936,0.157566302652106
bbb,Morgan,KNN,2,2,0.758765778401122,0.7372828784119108,0.6666666666666666,1.0,0.217391304347826,0.4662524041201569,0.6326530612244898,0.775,0.3708547885348616,0.2418096723868954
bbb,Morgan,KNN,2,3,0.8646563814866761,0.845400545517611,0.6851851851851852,1.0,0.2608695652173913,0.5107539184552492,0.6458333333333334,0.7848101265822784,0.4104610345325914,0.2883720930232557
bbb,Morgan,KNN,2,4,0.7208806818181818,0.7261797916254968,0.6481481481481481,1.0,0.1363636363636363,0.3692744729379982,0.6274509803921569,0.7710843373493976,0.2925089696508522,0.1576354679802956
bbb,Morgan,KNN,2,5,0.7436079545454546,0.747280162064826,0.6851851851851852,1.0,0.2272727272727272,0.4767312946227962,0.6530612244897959,0.7901234567901234,0.3852570642647097,0.2584814216478189
