dataset,Descriptor,Model,ROC_AUC,PR_AUC,Accuracy,Sensitivity,Specificity,GMean,Precision,F1,MCC,Kappa
bbb,Mordred,Bayesian,0.9,0.923,0.812,0.781,0.855,0.815,0.887,0.828,0.632,0.622
bbb,Mordred,KNN,0.833,0.819,0.844,0.898,0.768,0.829,0.844,0.869,0.681,0.675
bbb,Mordred,LightGBM,0.969,0.98,0.924,0.931,0.913,0.921,0.938,0.934,0.845,0.843
bbb,Mordred,LogisticRegression,0.961,0.975,0.89,0.901,0.874,0.886,0.911,0.905,0.776,0.773
bbb,Mordred,RandomForest,0.963,0.975,0.896,0.907,0.879,0.892,0.914,0.909,0.789,0.786
bbb,Mordred,XGBoost,0.968,0.98,0.914,0.935,0.885,0.909,0.921,0.927,0.825,0.822
bbb,Morgan,Bayesian,0.913,0.929,0.844,0.848,0.837,0.841,0.881,0.863,0.685,0.681
bbb,Morgan,KNN,0.771,0.763,0.661,0.995,0.196,0.436,0.633,0.773,0.335,0.214
bbb,Morgan,LightGBM,0.961,0.975,0.907,0.922,0.886,0.903,0.922,0.921,0.813,0.809
bbb,Morgan,LogisticRegression,0.946,0.959,0.872,0.876,0.865,0.869,0.904,0.887,0.743,0.738
bbb,Morgan,RandomForest,0.938,0.954,0.872,0.89,0.846,0.867,0.891,0.889,0.74,0.737
bbb,Morgan,XGBoost,0.946,0.959,0.901,0.915,0.881,0.896,0.918,0.914,0.8,0.796
bbb,Morgan,vNN,0.8222270655361469,0.9353060462296884,0.8392592592592593,0.9273790322580644,0.7170750988142293,0.8139327143356688,0.8218482162455996,0.8706058219230696,0.6713579534652425,0.6604955590558846
herg,Mordred,Bayesian,0.865,0.799,0.771,0.879,0.697,0.782,0.667,0.758,0.569,0.549
herg,Mordred,KNN,0.893,0.837,0.829,0.804,0.845,0.823,0.781,0.791,0.648,0.646
herg,Mordred,LightGBM,0.925,0.897,0.862,0.831,0.883,0.856,0.833,0.83,0.716,0.714
herg,Mordred,LogisticRegression,0.896,0.841,0.838,0.829,0.844,0.835,0.787,0.806,0.669,0.667
herg,Mordred,RandomForest,0.923,0.897,0.856,0.838,0.869,0.853,0.817,0.826,0.705,0.704
herg,Mordred,XGBoost,0.922,0.891,0.865,0.833,0.887,0.859,0.837,0.833,0.721,0.72
herg,Morgan,Bayesian,0.912,0.897,0.851,0.738,0.928,0.827,0.877,0.8,0.691,0.683
herg,Morgan,KNN,0.826,0.784,0.788,0.502,0.983,0.701,0.952,0.656,0.581,0.524
herg,Morgan,LightGBM,0.903,0.877,0.833,0.771,0.876,0.821,0.811,0.789,0.653,0.651
herg,Morgan,LogisticRegression,0.915,0.898,0.846,0.79,0.885,0.835,0.828,0.807,0.682,0.68
herg,Morgan,RandomForest,0.913,0.897,0.842,0.753,0.903,0.824,0.843,0.794,0.671,0.666
herg,Morgan,XGBoost,0.906,0.881,0.835,0.776,0.875,0.823,0.812,0.792,0.657,0.655
herg,Morgan,vNN,0.8348383524452543,0.8880484513850593,0.8468571428571429,0.7708748615725359,0.8988018433179724,0.832062575042595,0.84035381106362,0.8033786521588984,0.6808621790623144,0.678396294234545
pgp_substrates,Mordred,Bayesian,0.702,0.71,0.651,0.723,0.575,0.643,0.644,0.681,0.302,0.299
pgp_substrates,Mordred,KNN,0.698,0.651,0.699,0.739,0.658,0.696,0.698,0.717,0.399,0.397
pgp_substrates,Mordred,LightGBM,0.795,0.805,0.72,0.74,0.698,0.717,0.726,0.731,0.441,0.438
pgp_substrates,Mordred,LogisticRegression,0.782,0.786,0.718,0.739,0.697,0.716,0.722,0.729,0.437,0.435
pgp_substrates,Mordred,RandomForest,0.796,0.813,0.725,0.752,0.695,0.722,0.726,0.737,0.45,0.448
pgp_substrates,Mordred,XGBoost,0.804,0.812,0.726,0.75,0.701,0.723,0.73,0.738,0.454,0.452
pgp_substrates,Morgan,Bayesian,0.753,0.772,0.668,0.584,0.757,0.663,0.722,0.643,0.348,0.34
pgp_substrates,Morgan,KNN,0.662,0.625,0.661,0.627,0.697,0.659,0.69,0.655,0.326,0.323
pgp_substrates,Morgan,LightGBM,0.758,0.776,0.687,0.695,0.679,0.685,0.701,0.696,0.376,0.374
pgp_substrates,Morgan,LogisticRegression,0.762,0.778,0.705,0.697,0.714,0.703,0.724,0.708,0.412,0.41
pgp_substrates,Morgan,RandomForest,0.768,0.793,0.686,0.619,0.758,0.683,0.736,0.67,0.382,0.375
pgp_substrates,Morgan,XGBoost,0.759,0.771,0.696,0.705,0.686,0.694,0.707,0.705,0.393,0.391
pgp_substrates,Morgan,vNN,0.6854726368159204,0.7653751666930537,0.6864615384615385,0.7176119402985074,0.6533333333333333,0.6834973092115958,0.6882285518842681,0.7016081592790486,0.3731496056727493,0.3714880357922904
dili,Mordred,Bayesian,0.682,0.72,0.638,0.623,0.656,0.638,0.691,0.654,0.279,0.276
dili,Mordred,KNN,0.71,0.721,0.668,0.683,0.651,0.665,0.707,0.694,0.334,0.332
dili,Mordred,LightGBM,0.741,0.767,0.692,0.756,0.613,0.679,0.706,0.729,0.374,0.372
dili,Mordred,LogisticRegression,0.713,0.732,0.678,0.687,0.667,0.676,0.718,0.701,0.354,0.353
dili,Mordred,RandomForest,0.751,0.781,0.701,0.769,0.617,0.688,0.712,0.739,0.392,0.389
dili,Mordred,XGBoost,0.748,0.778,0.701,0.778,0.607,0.687,0.709,0.741,0.392,0.389
dili,Morgan,Bayesian,0.707,0.735,0.661,0.714,0.596,0.651,0.685,0.698,0.313,0.312
dili,Morgan,KNN,0.662,0.659,0.629,0.543,0.734,0.631,0.715,0.616,0.28,0.27
dili,Morgan,LightGBM,0.701,0.73,0.653,0.708,0.585,0.643,0.677,0.692,0.296,0.295
dili,Morgan,LogisticRegression,0.704,0.736,0.655,0.671,0.635,0.652,0.693,0.681,0.306,0.305
dili,Morgan,RandomForest,0.724,0.752,0.665,0.694,0.63,0.66,0.698,0.695,0.325,0.324
dili,Morgan,XGBoost,0.705,0.739,0.656,0.73,0.566,0.641,0.675,0.7,0.301,0.299
dili,Morgan,vNN,0.667813485514885,0.7450900646193415,0.6792792792792792,0.7816633346661335,0.5539636363636364,0.6571613097401355,0.6829119746322055,0.7285492151943432,0.3462999542558529,0.3410440193554808
pgp_inhibitors,Mordred,Bayesian,0.82,0.855,0.768,0.853,0.649,0.744,0.774,0.812,0.517,0.513
pgp_inhibitors,Mordred,KNN,0.898,0.899,0.832,0.888,0.754,0.818,0.836,0.861,0.653,0.65
pgp_inhibitors,Mordred,LightGBM,0.937,0.949,0.874,0.915,0.815,0.863,0.875,0.894,0.739,0.737
pgp_inhibitors,Mordred,LogisticRegression,0.919,0.933,0.851,0.865,0.832,0.848,0.879,0.872,0.695,0.694
pgp_inhibitors,Mordred,RandomForest,0.938,0.953,0.874,0.918,0.811,0.863,0.873,0.895,0.739,0.737
